Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.5507379508561278,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Create Hello World Function,80.0,0.8182503818859103,https://leetcode.com/problems/create-hello-world-function,
EASY,Merge Strings Alternately,74.7,0.8181647377753473,https://leetcode.com/problems/merge-strings-alternately,"Two Pointers, String"
EASY,Recyclable and Low Fat Products,74.7,0.8937634256619811,https://leetcode.com/problems/recyclable-and-low-fat-products,Database
EASY,Merge Sorted Array,70.2,0.5225683871742244,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Longest Common Prefix,66.1,0.44887898798329745,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Add Two Numbers,64.4,0.4543965080767522,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
EASY,Remove Duplicates from Sorted Array,64.4,0.5945074620755648,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
HARD,Median of Two Sorted Arrays,62.7,0.429393695737594,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
HARD,Trapping Rain Water,62.7,0.6428753017089767,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Climbing Stairs,62.7,0.5334305798456781,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Longest Substring Without Repeating Characters,60.8,0.3632668601107121,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Add Two Integers,60.8,0.8811604823847654,https://leetcode.com/problems/add-two-integers,Math
EASY,Pascal's Triangle,60.8,0.7642548455060169,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
MEDIUM,3Sum,58.7,0.36423060075594826,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Maximal Square,58.7,0.4822792020688925,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
EASY,Palindrome Number,58.7,0.586536002116664,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Design a Number Container System,58.7,0.5816330728095433,https://leetcode.com/problems/design-a-number-container-system,"Hash Table, Design, Heap (Priority Queue), Ordered Set"
EASY,Single Number,58.7,0.7533125320290354,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
MEDIUM,Longest Palindromic Substring,56.3,0.35298351728815647,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Roman to Integer,53.6,0.6415380784258702,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Top K Frequent Elements,53.6,0.6408009414896952,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Longest Consecutive Sequence,53.6,0.47190664042974156,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
EASY,Merge Two Sorted Lists,53.6,0.66289514052412,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Count Number of Bad Pairs,53.6,0.5448559854835412,https://leetcode.com/problems/count-number-of-bad-pairs,"Array, Hash Table, Math, Counting"
MEDIUM,Maximum Subarray,53.6,0.5173369560272215,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,LRU Cache,50.5,0.4443099993738651,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Search in Rotated Sorted Array,50.5,0.4232396700246752,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
HARD,Finding MK Average,50.5,0.3795608908545254,https://leetcode.com/problems/finding-mk-average,"Design, Queue, Heap (Priority Queue), Data Stream, Ordered Set"
HARD,Largest Rectangle in Histogram,50.5,0.46599430727940705,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
MEDIUM,Generate Parentheses,50.5,0.7652984707443845,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
EASY,Contains Duplicate II,50.5,0.48127754997240196,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
HARD,Sliding Window Maximum,50.5,0.4724660010659033,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
EASY,Create a DataFrame from List,50.5,0.8143275733177517,https://leetcode.com/problems/create-a-dataframe-from-list,
HARD,N-Queens,50.5,0.7166910476136805,https://leetcode.com/problems/n-queens,"Array, Backtracking"
MEDIUM,Rotate Image,50.5,0.7717075756878434,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Zigzag Conversion,50.5,0.5079123792658975,https://leetcode.com/problems/zigzag-conversion,String
EASY,Search Insert Position,46.9,0.48338374370417647,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
MEDIUM,Spiral Matrix,46.9,0.5293292273196886,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Majority Element,46.9,0.6549768718528167,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
MEDIUM,Single Element in a Sorted Array,46.9,0.5915651550824035,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search"
EASY,Valid Anagram,46.9,0.6615041387591161,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Reverse Words in a String,46.9,0.5006636000457989,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
MEDIUM,Container With Most Water,46.9,0.5717349107192083,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Rotate Array,46.9,0.4246122078866147,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
EASY,Remove Element,46.9,0.594380162102366,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
EASY,Special Array I,42.4,0.8211341941120445,https://leetcode.com/problems/special-array-i,Array
EASY,Article Views I,42.4,0.7712504128034772,https://leetcode.com/problems/article-views-i,Database
EASY,Clear Digits,42.4,0.8275591952999822,https://leetcode.com/problems/clear-digits,"String, Stack, Simulation"
MEDIUM,Decode String,42.4,0.6068660634109276,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
HARD,Candy,42.4,0.4438421040357648,https://leetcode.com/problems/candy,"Array, Greedy"
MEDIUM,Merge Intervals,42.4,0.4880649271096516,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Find the Number of Distinct Colors Among the Balls,42.4,0.5430930089798767,https://leetcode.com/problems/find-the-number-of-distinct-colors-among-the-balls,"Array, Hash Table, Simulation"
MEDIUM,Subsets,42.4,0.8025894997461674,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Remove All Occurrences of a Substring,42.4,0.7798068651327348,https://leetcode.com/problems/remove-all-occurrences-of-a-substring,"String, Stack, Simulation"
MEDIUM,Next Permutation,42.4,0.423240509456743,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
EASY,Max Consecutive Ones,42.4,0.6177042105813005,https://leetcode.com/problems/max-consecutive-ones,Array
MEDIUM,Reverse Integer,42.4,0.2986431235283417,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Kth Largest Element in an Array,36.7,0.676204131851813,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,"Pow(x, n)",36.7,0.3647742538790063,https://leetcode.com/problems/powx-n,"Math, Recursion"
HARD,Russian Doll Envelopes,36.7,0.3719137919994145,https://leetcode.com/problems/russian-doll-envelopes,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Coin Change,36.7,0.4581322419962037,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
EASY,Valid Palindrome II,36.7,0.4247643132821805,https://leetcode.com/problems/valid-palindrome-ii,"Two Pointers, String, Greedy"
EASY,Valid Parentheses,36.7,0.41845176476558377,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Palindrome Partitioning,36.7,0.7138387050735545,https://leetcode.com/problems/palindrome-partitioning,"String, Dynamic Programming, Backtracking"
MEDIUM,Number of Islands,36.7,0.6158088481082719,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Tuple with Same Product,36.7,0.7024833515722166,https://leetcode.com/problems/tuple-with-same-product,"Array, Hash Table, Counting"
EASY,Big Countries,36.7,0.6820234299281646,https://leetcode.com/problems/big-countries,Database
MEDIUM,Group Anagrams,36.7,0.7033699077307562,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Move Zeroes,36.7,0.6254444097752963,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Product of Array Except Self,36.7,0.6738352589943034,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
EASY,Average Time of Process per Machine,36.7,0.6887760578951257,https://leetcode.com/problems/average-time-of-process-per-machine,Database
MEDIUM,House Robber,36.7,0.5198830720979272,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
HARD,Binary Tree Maximum Path Sum,36.7,0.40904480368731844,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
