Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.5507379508561278,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Merge Strings Alternately,80.7,0.8181647377753473,https://leetcode.com/problems/merge-strings-alternately,"Two Pointers, String"
EASY,Create Hello World Function,79.9,0.8182503818859103,https://leetcode.com/problems/create-hello-world-function,
EASY,Merge Sorted Array,79.1,0.5225683871742244,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Recyclable and Low Fat Products,76.9,0.8937634256619811,https://leetcode.com/problems/recyclable-and-low-fat-products,Database
MEDIUM,Add Two Numbers,72.1,0.4543965080767522,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
EASY,Palindrome Number,68.4,0.586536002116664,https://leetcode.com/problems/palindrome-number,Math
EASY,Longest Common Prefix,67.4,0.44887898798329745,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
HARD,Median of Two Sorted Arrays,65.1,0.429393695737594,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,Remove Duplicates from Sorted Array,64.4,0.5945074620755648,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Climbing Stairs,64.4,0.5334305798456781,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,3Sum,63.8,0.36423060075594826,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,62.4,0.3632668601107121,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Majority Element,61.7,0.6549768718528167,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
HARD,Trapping Rain Water,61.0,0.6428753017089767,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Longest Palindromic Substring,60.2,0.35298351728815647,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Valid Parentheses,59.3,0.41845176476558377,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Generate Parentheses,59.3,0.7652984707443845,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
EASY,Add Two Integers,59.3,0.8811604823847654,https://leetcode.com/problems/add-two-integers,Math
MEDIUM,Next Permutation,59.3,0.423240509456743,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Reverse Integer,58.5,0.2986431235283417,https://leetcode.com/problems/reverse-integer,Math
EASY,Roman to Integer,58.5,0.6415380784258702,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Maximum Subarray,58.5,0.5173369560272215,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Rotate Array,57.6,0.4246122078866147,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
EASY,Best Time to Buy and Sell Stock,57.6,0.5476982268271333,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Number of Islands,56.6,0.6158088481082719,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Remove Element,56.6,0.594380162102366,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
EASY,Single Number,55.6,0.7533125320290354,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
EASY,Create a DataFrame from List,55.6,0.8143275733177517,https://leetcode.com/problems/create-a-dataframe-from-list,
MEDIUM,Merge Intervals,55.6,0.4880649271096516,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Container With Most Water,54.6,0.5717349107192083,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Spiral Matrix,54.6,0.5293292273196886,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Rotate Image,54.6,0.7717075756878434,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Subarray Sum Equals K,52.3,0.44931294221552387,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
HARD,N-Queens,52.3,0.7166910476136805,https://leetcode.com/problems/n-queens,"Array, Backtracking"
