Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Merge Intervals,100.0,0.4880663892565131,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Remove All Adjacent Duplicates In String,95.5,0.7106661551649438,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string,"String, Stack"
MEDIUM,Remove All Adjacent Duplicates in String II,89.8,0.5910188914000947,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,"String, Stack"
MEDIUM,Insert Delete GetRandom O(1),84.3,0.5490670294993965,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Generate Parentheses,79.6,0.7652988696533802,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Search in Rotated Sorted Array,79.6,0.423240596684246,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
EASY,Sqrt(x),73.5,0.4002713314398575,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
MEDIUM,Vowel Spellchecker,73.5,0.5148869926199262,https://leetcode.com/problems/vowel-spellchecker,"Array, Hash Table, String"
EASY,Perfect Number,69.6,0.43952606651533493,https://leetcode.com/problems/perfect-number,Math
HARD,Word Break II,69.6,0.5293088581143587,https://leetcode.com/problems/word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
MEDIUM,Repeated DNA Sequences,69.6,0.5071108370184008,https://leetcode.com/problems/repeated-dna-sequences,"Hash Table, String, Bit Manipulation, Sliding Window, Rolling Hash, Hash Function"
EASY,Climbing Stairs,69.6,0.5334306415400593,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Backspace String Compare,69.6,0.4939404934884166,https://leetcode.com/problems/backspace-string-compare,"Two Pointers, String, Stack, Simulation"
MEDIUM,Word Break,64.9,0.4787518863227984,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,Word Search,64.9,0.4462623708743378,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Number of Islands,58.8,0.6158108005549446,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Sum of Left Leaves,58.8,0.6139222337387777,https://leetcode.com/problems/sum-of-left-leaves,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Implement Trie (Prefix Tree),58.8,0.6744651193259369,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
EASY,Logger Rate Limiter,50.3,0.7635642018282964,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
HARD,Special Binary String,50.3,0.633049992796427,https://leetcode.com/problems/special-binary-string,"String, Recursion"
MEDIUM,Decode the Slanted Ciphertext,50.3,0.48965067130780704,https://leetcode.com/problems/decode-the-slanted-ciphertext,"String, Simulation"
MEDIUM,Evaluate Reverse Polish Notation,50.3,0.5407078092768072,https://leetcode.com/problems/evaluate-reverse-polish-notation,"Array, Math, Stack"
EASY,Set Mismatch,50.3,0.4479672257091282,https://leetcode.com/problems/set-mismatch,"Array, Hash Table, Bit Manipulation, Sorting"
MEDIUM,Maximum Palindromes After Operations,50.3,0.43223684210526314,https://leetcode.com/problems/maximum-palindromes-after-operations,"Array, Hash Table, String, Greedy, Sorting, Counting"
EASY,Sleep,50.3,0.8769389914634551,https://leetcode.com/problems/sleep,
MEDIUM,Clone Graph,50.3,0.6119147875149796,https://leetcode.com/problems/clone-graph,"Hash Table, Depth-First Search, Breadth-First Search, Graph"
