Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Maximum Points Inside the Square,100.0,0.3896997497914929,https://leetcode.com/problems/maximum-points-inside-the-square,"Array, Hash Table, String, Binary Search, Sorting"
EASY,Find Candidates for Data Scientist Position,100.0,0.7564075849135237,https://leetcode.com/problems/find-candidates-for-data-scientist-position,Database
HARD,Maximize Items,100.0,0.7429231658001156,https://leetcode.com/problems/maximize-items,Database
HARD,Count the Number of Powerful Integers,83.4,0.2678150070788108,https://leetcode.com/problems/count-the-number-of-powerful-integers,"Math, String, Dynamic Programming"
MEDIUM,Minimize Length of Array Using Operations,83.4,0.3476772057984248,https://leetcode.com/problems/minimize-length-of-array-using-operations,"Array, Math, Greedy, Number Theory"
MEDIUM,Maximum Subarray,71.1,0.5173372732024585,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,3Sum,61.5,0.36423176607915947,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Best Time to Buy and Sell Stock,61.5,0.5476984827628782,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Trapping Rain Water,61.5,0.6428748683711646,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Minimum Cost to Make Array Equal,61.5,0.4614550971750596,https://leetcode.com/problems/minimum-cost-to-make-array-equal,"Array, Binary Search, Greedy, Sorting, Prefix Sum"
MEDIUM,Next Permutation,61.5,0.42324095720823524,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
HARD,Chalkboard XOR Game,61.5,0.6252776543758329,https://leetcode.com/problems/chalkboard-xor-game,"Array, Math, Bit Manipulation, Brainteaser, Game Theory"
MEDIUM,Jump Game II,61.5,0.4113848250972967,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Jump Game,61.5,0.39113616836064774,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Beautiful Arrangement,61.5,0.6445062035406557,https://leetcode.com/problems/beautiful-arrangement,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
