Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.550738508221924,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Valid Parentheses,100.0,0.41845178794535315,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Decode String,93.9,0.6068663102813175,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Number of Islands,75.2,0.6158100483120172,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,24 Game,75.2,0.4981143934632307,https://leetcode.com/problems/24-game,"Array, Math, Backtracking"
MEDIUM,Combination Sum,75.2,0.7393135274920926,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Daily Temperatures,75.2,0.669688431874366,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
HARD,Minimum Number of Visited Cells in a Grid,75.2,0.23276601830663615,https://leetcode.com/problems/minimum-number-of-visited-cells-in-a-grid,"Array, Dynamic Programming, Stack, Breadth-First Search, Union Find, Heap (Priority Queue), Matrix, Monotonic Stack"
MEDIUM,Maximum Binary String After Change,75.2,0.4704652047154265,https://leetcode.com/problems/maximum-binary-string-after-change,"String, Greedy"
MEDIUM,Generate Parentheses,75.2,0.7652988101630223,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
