Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Count Ways to Group Overlapping Ranges,100.0,0.3766412332003563,https://leetcode.com/problems/count-ways-to-group-overlapping-ranges,"Array, Sorting"
EASY,Minimum Operations to Make Columns Strictly Increasing,92.5,0.7314138271962188,https://leetcode.com/problems/minimum-operations-to-make-columns-strictly-increasing,"Array, Greedy, Matrix"
MEDIUM,Count Vowel Strings in Ranges,87.6,0.6793653971643827,https://leetcode.com/problems/count-vowel-strings-in-ranges,"Array, String, Prefix Sum"
MEDIUM,Integer to Roman,84.6,0.6785810066657022,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
EASY,Minimum Absolute Difference,84.6,0.7032792719819835,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
MEDIUM,Merge Intervals,81.2,0.488065181473074,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Find Pivot Index,81.2,0.5989552769707727,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
EASY,Largest Number After Digit Swaps by Parity,72.2,0.6332682306986376,https://leetcode.com/problems/largest-number-after-digit-swaps-by-parity,"Sorting, Heap (Priority Queue)"
EASY,Merge Strings Alternately,72.2,0.818165042810747,https://leetcode.com/problems/merge-strings-alternately,"Two Pointers, String"
EASY,Height Checker,72.2,0.8103064541229046,https://leetcode.com/problems/height-checker,"Array, Sorting, Counting Sort"
MEDIUM,Longest Consecutive Sequence,65.8,0.4719071172408352,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
MEDIUM,Make Lexicographically Smallest Array by Swapping Elements,65.8,0.604568349390175,https://leetcode.com/problems/make-lexicographically-smallest-array-by-swapping-elements,"Array, Union Find, Sorting"
EASY,Best Time to Buy and Sell Stock,65.8,0.5476981006566758,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Longest Substring Without Repeating Characters,56.8,0.36326712740677,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Kth Missing Positive Number,56.8,0.6176335609118228,https://leetcode.com/problems/kth-missing-positive-number,"Array, Binary Search"
EASY,Fizz Buzz,56.8,0.7390293520807135,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation"
