Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Exclusive Time of Functions,100.0,0.6405240431075608,https://leetcode.com/problems/exclusive-time-of-functions,"Array, Stack"
EASY,Roman to Integer,86.8,0.6415383513370404,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Best Time to Buy and Sell Stock,85.6,0.5476981006566758,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Integer to Roman,82.9,0.6785810066657022,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Meeting Rooms II,82.9,0.5191552987461305,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
EASY,Two Sum,81.4,0.5507380725498713,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Fizz Buzz,79.8,0.7390293520807135,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation"
MEDIUM,The kth Factor of n,74.1,0.6925428721066084,https://leetcode.com/problems/the-kth-factor-of-n,"Math, Number Theory"
HARD,Count the Number of Incremovable Subarrays II,74.1,0.40221132335226295,https://leetcode.com/problems/count-the-number-of-incremovable-subarrays-ii,"Array, Two Pointers, Binary Search"
EASY,Longest Common Prefix,71.8,0.44887913224555637,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Get Equal Substrings Within Budget,69.2,0.5868489592051259,https://leetcode.com/problems/get-equal-substrings-within-budget,"String, Binary Search, Sliding Window, Prefix Sum"
EASY,Minimum Absolute Difference,69.2,0.7032792719819835,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
HARD,Numbers With Repeated Digits,66.3,0.42888248619878155,https://leetcode.com/problems/numbers-with-repeated-digits,"Math, Dynamic Programming"
MEDIUM,String Compression,66.3,0.572726390092523,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Number of Divisible Triplet Sums,66.3,0.6598439298963796,https://leetcode.com/problems/number-of-divisible-triplet-sums,"Array, Hash Table"
MEDIUM,Minimum Suffix Flips,66.3,0.7347614676623087,https://leetcode.com/problems/minimum-suffix-flips,"String, Greedy"
EASY,Count Binary Substrings,66.3,0.6582761050252741,https://leetcode.com/problems/count-binary-substrings,"Two Pointers, String"
EASY,Merge Sorted Array,59.1,0.522568464804908,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Valid Parentheses,59.1,0.41845163960279785,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Lexicographically Smallest String After Substring Operation,59.1,0.3255306806462702,https://leetcode.com/problems/lexicographically-smallest-string-after-substring-operation,"String, Greedy"
MEDIUM,Letter Combinations of a Phone Number,59.1,0.6308020674822422,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Shortest and Lexicographically Smallest Beautiful String,59.1,0.3973141311087312,https://leetcode.com/problems/shortest-and-lexicographically-smallest-beautiful-string,"String, Sliding Window"
MEDIUM,Subarray Product Less Than K,54.2,0.5237852374403545,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Longest Substring Without Repeating Characters,54.2,0.3632671742677257,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Count Ways to Group Overlapping Ranges,54.2,0.3766412332003563,https://leetcode.com/problems/count-ways-to-group-overlapping-ranges,"Array, Sorting"
MEDIUM,Minimum Operations to Make Median of Array Equal to K,54.2,0.47933545825246177,https://leetcode.com/problems/minimum-operations-to-make-median-of-array-equal-to-k,"Array, Greedy, Sorting"
MEDIUM,Maximum Profitable Triplets With Increasing Prices I,48.0,0.5425454545454546,https://leetcode.com/problems/maximum-profitable-triplets-with-increasing-prices-i,"Array, Binary Indexed Tree, Segment Tree"
MEDIUM,Single-Threaded CPU,48.0,0.4609771502041369,https://leetcode.com/problems/single-threaded-cpu,"Array, Sorting, Heap (Priority Queue)"
EASY,Find the Index of the First Occurrence in a String,48.0,0.4446359243488162,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
EASY,Intersection of Two Arrays,48.0,0.7600191609864649,https://leetcode.com/problems/intersection-of-two-arrays,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
MEDIUM,Number of Operations to Make Network Connected,48.0,0.6408071370953178,https://leetcode.com/problems/number-of-operations-to-make-network-connected,"Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,Activity Participants,48.0,0.7240975785399226,https://leetcode.com/problems/activity-participants,Database
MEDIUM,Product of Array Except Self,48.0,0.6738351091964073,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
