Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Exclusive Time of Functions,100.0,0.6405240431075608,https://leetcode.com/problems/exclusive-time-of-functions,"Array, Stack"
MEDIUM,Integer to Roman,92.0,0.6785810066657022,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
EASY,Fizz Buzz,90.0,0.7390293520807135,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation"
EASY,Best Time to Buy and Sell Stock,88.9,0.5476981006566758,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Roman to Integer,88.9,0.6415383513370404,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Count Ways to Group Overlapping Ranges,85.4,0.3766412332003563,https://leetcode.com/problems/count-ways-to-group-overlapping-ranges,"Array, Sorting"
EASY,Two Sum,85.4,0.5507380876414956,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Meeting Rooms II,81.2,0.5191552987461305,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
EASY,Minimum Absolute Difference,81.2,0.7032792719819835,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
MEDIUM,Number of Divisible Triplet Sums,81.2,0.6598439298963796,https://leetcode.com/problems/number-of-divisible-triplet-sums,"Array, Hash Table"
MEDIUM,Minimum Operations to Make All Array Elements Equal,79.6,0.3656143411154547,https://leetcode.com/problems/minimum-operations-to-make-all-array-elements-equal,"Array, Binary Search, Sorting, Prefix Sum"
MEDIUM,Rotate Image,77.9,0.7717077385834604,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Minimum Operations to Make Median of Array Equal to K,76.0,0.47933545825246177,https://leetcode.com/problems/minimum-operations-to-make-median-of-array-equal-to-k,"Array, Greedy, Sorting"
MEDIUM,Maximum Profitable Triplets With Increasing Prices I,74.0,0.5425454545454546,https://leetcode.com/problems/maximum-profitable-triplets-with-increasing-prices-i,"Array, Binary Indexed Tree, Segment Tree"
MEDIUM,Activity Participants,74.0,0.7240975785399226,https://leetcode.com/problems/activity-participants,Database
MEDIUM,The kth Factor of n,74.0,0.6925428721066084,https://leetcode.com/problems/the-kth-factor-of-n,"Math, Number Theory"
MEDIUM,Minimum Levels to Gain More Points,71.8,0.40046814913893997,https://leetcode.com/problems/minimum-levels-to-gain-more-points,"Array, Prefix Sum"
EASY,Type of Triangle,71.8,0.3835854061548396,https://leetcode.com/problems/type-of-triangle,"Array, Math, Sorting"
EASY,Average Value of Even Numbers That Are Divisible by Three,71.8,0.6133306790839378,https://leetcode.com/problems/average-value-of-even-numbers-that-are-divisible-by-three,"Array, Math"
MEDIUM,Taking Maximum Energy From the Mystic Dungeon,71.8,0.4105490196078431,https://leetcode.com/problems/taking-maximum-energy-from-the-mystic-dungeon,"Array, Prefix Sum"
HARD,Find Products of Elements of Big Array,71.8,0.23010397434651636,https://leetcode.com/problems/find-products-of-elements-of-big-array,"Array, Binary Search, Bit Manipulation"
MEDIUM,Find The First Player to win K Games in a Row,71.8,0.3943132276146218,https://leetcode.com/problems/find-the-first-player-to-win-k-games-in-a-row,"Array, Simulation"
MEDIUM,String Compression,71.8,0.572726390092523,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Sort the Students by Their Kth Score,71.8,0.8557787899105265,https://leetcode.com/problems/sort-the-students-by-their-kth-score,"Array, Sorting, Matrix"
EASY,Find the Array Concatenation Value,71.8,0.7074742268041238,https://leetcode.com/problems/find-the-array-concatenation-value,"Array, Two Pointers, Simulation"
HARD,Count the Number of Incremovable Subarrays II,71.8,0.40221132335226295,https://leetcode.com/problems/count-the-number-of-incremovable-subarrays-ii,"Array, Two Pointers, Binary Search"
MEDIUM,Minimum Length of String After Operations,71.8,0.7523953830384599,https://leetcode.com/problems/minimum-length-of-string-after-operations,"Hash Table, String, Counting"
MEDIUM,Count Vowel Strings in Ranges,71.8,0.6793653971643827,https://leetcode.com/problems/count-vowel-strings-in-ranges,"Array, String, Prefix Sum"
MEDIUM,Find Occurrences of an Element in an Array,71.8,0.7289993066008219,https://leetcode.com/problems/find-occurrences-of-an-element-in-an-array,"Array, Hash Table"
HARD,Maximum Profitable Triplets With Increasing Prices II,71.8,0.45454545454545453,https://leetcode.com/problems/maximum-profitable-triplets-with-increasing-prices-ii,"Array, Binary Indexed Tree, Segment Tree"
MEDIUM,Longest Substring Without Repeating Characters,69.4,0.3632672070494797,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Longest Common Prefix,69.4,0.44887913224555637,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Valid Parentheses,69.4,0.41845163960279785,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Maximum Units on a Truck,69.4,0.7403914669012537,https://leetcode.com/problems/maximum-units-on-a-truck,"Array, Greedy, Sorting"
MEDIUM,Merge Intervals,66.7,0.488065181473074,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Count Binary Substrings,66.7,0.6582761050252741,https://leetcode.com/problems/count-binary-substrings,"Two Pointers, String"
MEDIUM,Get Equal Substrings Within Budget,66.7,0.5868489592051259,https://leetcode.com/problems/get-equal-substrings-within-budget,"String, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Minimum Suffix Flips,63.6,0.7347614676623087,https://leetcode.com/problems/minimum-suffix-flips,"String, Greedy"
HARD,Numbers With Repeated Digits,63.6,0.42888248619878155,https://leetcode.com/problems/numbers-with-repeated-digits,"Math, Dynamic Programming"
MEDIUM,Maximum Sum of Distinct Subarrays With Length K,63.6,0.42614454488049275,https://leetcode.com/problems/maximum-sum-of-distinct-subarrays-with-length-k,"Array, Hash Table, Sliding Window"
MEDIUM,Letter Combinations of a Phone Number,63.6,0.6308021633706362,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Longest Consecutive Sequence,60.1,0.4719071172408352,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
EASY,Merge Sorted Array,60.1,0.522568464804908,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Lexicographically Smallest String After Substring Operation,60.1,0.3255306806462702,https://leetcode.com/problems/lexicographically-smallest-string-after-substring-operation,"String, Greedy"
MEDIUM,Number of Divisible Substrings,55.9,0.7350262213635109,https://leetcode.com/problems/number-of-divisible-substrings,"Hash Table, String, Counting, Prefix Sum"
EASY,Count Pairs Of Similar Strings,55.9,0.7213646642414708,https://leetcode.com/problems/count-pairs-of-similar-strings,"Array, Hash Table, String, Bit Manipulation, Counting"
MEDIUM,Shortest and Lexicographically Smallest Beautiful String,55.9,0.3973141311087312,https://leetcode.com/problems/shortest-and-lexicographically-smallest-beautiful-string,"String, Sliding Window"
MEDIUM,Longest Palindromic Substring,55.9,0.3529834662412073,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Subarray Product Less Than K,50.8,0.5237852374403545,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Find The Original Array of Prefix Xor,50.8,0.8806034413162469,https://leetcode.com/problems/find-the-original-array-of-prefix-xor,"Array, Bit Manipulation"
MEDIUM,Validate Binary Search Tree,50.8,0.3398043230955565,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Smallest Missing Non-negative Integer After Operations,50.8,0.39556054101861643,https://leetcode.com/problems/smallest-missing-non-negative-integer-after-operations,"Array, Hash Table, Math, Greedy"
MEDIUM,Product of Array Except Self,50.8,0.6738351734962912,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Divide Players Into Teams of Equal Skill,50.8,0.6896085266420401,https://leetcode.com/problems/divide-players-into-teams-of-equal-skill,"Array, Hash Table, Two Pointers, Sorting"
HARD,Merge k Sorted Lists,44.3,0.5579529096492184,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Single-Threaded CPU,44.3,0.4609771502041369,https://leetcode.com/problems/single-threaded-cpu,"Array, Sorting, Heap (Priority Queue)"
EASY,Backspace String Compare,44.3,0.49393990684766464,https://leetcode.com/problems/backspace-string-compare,"Two Pointers, String, Stack, Simulation"
MEDIUM,Maximum Subarray,44.3,0.5173371676806704,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Find Minimum in Rotated Sorted Array,44.3,0.5215055922755125,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Next Permutation,44.3,0.42324033755035606,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Group Anagrams,44.3,0.703369959503934,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
HARD,Trapping Rain Water,44.3,0.6428747125433004,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Number of Operations to Make Network Connected,44.3,0.6408071370953178,https://leetcode.com/problems/number-of-operations-to-make-network-connected,"Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,Subarray Sum Equals K,44.3,0.4493131491276949,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
EASY,Climbing Stairs,44.3,0.5334308644653196,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Rotate Array,44.3,0.42461244076968824,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
EASY,Palindrome Number,44.3,0.5865360049422652,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Spiral Matrix,44.3,0.529329348111295,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Subsets,44.3,0.8025896337279499,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
EASY,Flipping an Image,44.3,0.8277533266856927,https://leetcode.com/problems/flipping-an-image,"Array, Two Pointers, Bit Manipulation, Matrix, Simulation"
MEDIUM,Flip String to Monotone Increasing,44.3,0.6163541917087881,https://leetcode.com/problems/flip-string-to-monotone-increasing,"String, Dynamic Programming"
