Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.5507382278353108,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Find Building Where Alice and Bob Can Meet,96.5,0.528604118993135,https://leetcode.com/problems/find-building-where-alice-and-bob-can-meet,"Array, Binary Search, Stack, Binary Indexed Tree, Segment Tree, Heap (Priority Queue), Monotonic Stack"
HARD,Minimum Reverse Operations,94.5,0.16603663003663002,https://leetcode.com/problems/minimum-reverse-operations,"Array, Breadth-First Search, Ordered Set"
HARD,Maximum Sum of Subsequence With Non-adjacent Elements,90.1,0.16383062920459043,https://leetcode.com/problems/maximum-sum-of-subsequence-with-non-adjacent-elements,"Array, Divide and Conquer, Dynamic Programming, Segment Tree"
EASY,Valid Parentheses,90.1,0.41845165353577485,https://leetcode.com/problems/valid-parentheses,"String, Stack"
HARD,Find the Number of Subsequences With Equal GCD,87.6,0.3890677311357198,https://leetcode.com/problems/find-the-number-of-subsequences-with-equal-gcd,"Array, Math, Dynamic Programming, Number Theory"
HARD,Minimum Total Distance Traveled,87.6,0.5905687288286682,https://leetcode.com/problems/minimum-total-distance-traveled,"Array, Dynamic Programming, Sorting"
EASY,Best Time to Buy and Sell Stock,87.6,0.5476981897257429,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Longest Well-Performing Interval,87.6,0.3570521087070736,https://leetcode.com/problems/longest-well-performing-interval,"Array, Hash Table, Stack, Monotonic Stack, Prefix Sum"
MEDIUM,Maximum Product After K Increments,87.6,0.41985190209711154,https://leetcode.com/problems/maximum-product-after-k-increments,"Array, Greedy, Heap (Priority Queue)"
HARD,Count the Number of Ideal Arrays,87.6,0.27314106337061017,https://leetcode.com/problems/count-the-number-of-ideal-arrays,"Math, Dynamic Programming, Combinatorics, Number Theory"
HARD,Maximum Segment Sum After Removals,87.6,0.48124826372812296,https://leetcode.com/problems/maximum-segment-sum-after-removals,"Array, Union Find, Prefix Sum, Ordered Set"
MEDIUM,Minimum Addition to Make Integer Beautiful,87.6,0.37900094901216463,https://leetcode.com/problems/minimum-addition-to-make-integer-beautiful,"Math, Greedy"
MEDIUM,Number of Nodes With Value One,87.6,0.6561210453920219,https://leetcode.com/problems/number-of-nodes-with-value-one,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,Stone Game VIII,87.6,0.5291698916408669,https://leetcode.com/problems/stone-game-viii,"Array, Math, Dynamic Programming, Prefix Sum, Game Theory"
EASY,Merge Sorted Array,87.6,0.5225685479196926,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,The Number of Beautiful Subsets,87.6,0.5086746676344583,https://leetcode.com/problems/the-number-of-beautiful-subsets,"Array, Hash Table, Math, Dynamic Programming, Backtracking, Sorting, Combinatorics"
MEDIUM,Determine the Minimum Sum of a k-avoiding Array,87.6,0.60694761380986,https://leetcode.com/problems/determine-the-minimum-sum-of-a-k-avoiding-array,"Math, Greedy"
MEDIUM,Maximum Number of Consecutive Values You Can Make,87.6,0.616147149677057,https://leetcode.com/problems/maximum-number-of-consecutive-values-you-can-make,"Array, Greedy, Sorting"
HARD,Number of Beautiful Integers in the Range,87.6,0.1903162911611785,https://leetcode.com/problems/number-of-beautiful-integers-in-the-range,"Math, Dynamic Programming"
MEDIUM,Find the Minimum Possible Sum of a Beautiful Array,87.6,0.3680456490727532,https://leetcode.com/problems/find-the-minimum-possible-sum-of-a-beautiful-array,"Math, Greedy"
