Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Find Consecutive Integers from a Data Stream,100.0,0.5039886515353805,https://leetcode.com/problems/find-consecutive-integers-from-a-data-stream,"Hash Table, Design, Queue, Counting, Data Stream"
EASY,Maximum Nesting Depth of the Parentheses,100.0,0.8416774274634454,https://leetcode.com/problems/maximum-nesting-depth-of-the-parentheses,"String, Stack"
HARD,Trapping Rain Water,100.0,0.6428745738503359,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Copy List with Random Pointer,94.4,0.5950412448736729,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
MEDIUM,Number of Islands,91.1,0.6158105111509724,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Valid Parentheses,87.2,0.41845171347286486,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Longest Substring Without Repeating Characters,69.8,0.36326734447174247,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Count Primes,69.8,0.34430337744312645,https://leetcode.com/problems/count-primes,"Array, Math, Enumeration, Number Theory"
EASY,Two Sum,69.8,0.550738586592287,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Best Time to Buy and Sell Stock II,69.8,0.6885635654788532,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
EASY,Best Time to Buy and Sell Stock,69.8,0.5476984895253054,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Reverse Words in a String,59.7,0.5006661305062892,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
MEDIUM,Reverse Integer,59.7,0.2986434722555557,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Add Two Numbers,59.7,0.45439813370636256,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
EASY,Climbing Stairs,59.7,0.5334307129383083,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Merge Two Sorted Lists,59.7,0.6628956463758056,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,LRU Cache,59.7,0.4443110186522549,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Palindrome Number,59.7,0.5865356090015613,https://leetcode.com/problems/palindrome-number,Math
EASY,Remove Duplicates from Sorted Array,59.7,0.5945076146786737,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Container With Most Water,59.7,0.5717354224112939,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Merge Sorted Array,59.7,0.5225686538198901,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Rotate Image,59.7,0.7717071569622557,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
