Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Minimum Number of Taps to Open to Water a Garden,100.0,0.5070611850526068,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
MEDIUM,Most Profitable Path in a Tree,92.0,0.6807515945526633,https://leetcode.com/problems/most-profitable-path-in-a-tree,"Array, Tree, Depth-First Search, Breadth-First Search, Graph"
MEDIUM,Course Schedule II,92.0,0.5263015586396242,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
EASY,Valid Parentheses,90.0,0.41845173990002593,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Maximum Product of Three Numbers,87.9,0.45242243877476596,https://leetcode.com/problems/maximum-product-of-three-numbers,"Array, Math, Sorting"
MEDIUM,LRU Cache,87.9,0.4443104468827379,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Make String Anti-palindrome,85.6,0.42302357836338417,https://leetcode.com/problems/make-string-anti-palindrome,"String, Greedy, Sorting, Counting Sort"
MEDIUM,Number of Distinct Substrings in a String,85.6,0.6439558170744296,https://leetcode.com/problems/number-of-distinct-substrings-in-a-string,"String, Trie, Rolling Hash, Suffix Array, Hash Function"
HARD,Basic Calculator IV,85.6,0.5476815398075241,https://leetcode.com/problems/basic-calculator-iv,"Hash Table, Math, String, Stack, Recursion"
MEDIUM,Max Area of Island,85.6,0.7292316786396303,https://leetcode.com/problems/max-area-of-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Number of Substrings With Fixed Ratio,85.6,0.5553253211769581,https://leetcode.com/problems/number-of-substrings-with-fixed-ratio,"Hash Table, Math, String, Prefix Sum"
MEDIUM,Length of the Longest Subsequence That Sums to Target,85.6,0.3667140707194831,https://leetcode.com/problems/length-of-the-longest-subsequence-that-sums-to-target,"Array, Dynamic Programming"
MEDIUM,Destroy Sequential Targets,85.6,0.40236008362817627,https://leetcode.com/problems/destroy-sequential-targets,"Array, Hash Table, Counting"
HARD,Maximum Total Beauty of the Gardens,85.6,0.2980751670988714,https://leetcode.com/problems/maximum-total-beauty-of-the-gardens,"Array, Two Pointers, Binary Search, Greedy, Sorting"
MEDIUM,Maximum Difference Score in a Grid,85.6,0.4700528548742623,https://leetcode.com/problems/maximum-difference-score-in-a-grid,"Array, Dynamic Programming, Matrix"
MEDIUM,Product of Array Except Self,83.0,0.6738345050611465,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
HARD,Sudoku Solver,83.0,0.636724036210914,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
MEDIUM,Rotting Oranges,80.1,0.5596874418968774,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
EASY,Two Sum,73.0,0.5507381893780934,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Word Break,68.6,0.47875205709549057,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
EASY,Logger Rate Limiter,68.6,0.7635642018282964,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
MEDIUM,Longest Substring Without Repeating Characters,68.6,0.3632672026351713,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Spiral Matrix,68.6,0.5293294861000031,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Top K Frequent Elements,63.1,0.6408024023259269,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Longest Increasing Subsequence,63.1,0.5717087413452131,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
MEDIUM,Heaters,63.1,0.3940185763508764,https://leetcode.com/problems/heaters,"Array, Two Pointers, Binary Search, Sorting"
EASY,Plus One,63.1,0.4704636694726021,https://leetcode.com/problems/plus-one,"Array, Math"
MEDIUM,Group Anagrams,63.1,0.7033699745496969,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Min Stack,63.1,0.5591510655741915,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,3Sum,63.1,0.3642307856518855,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,Trapping Rain Water,63.1,0.6428746605407334,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Russian Doll Envelopes,56.1,0.3719137919994145,https://leetcode.com/problems/russian-doll-envelopes,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Design Circular Queue,56.1,0.5236253635437477,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
EASY,Unique Email Addresses,56.1,0.674802342830053,https://leetcode.com/problems/unique-email-addresses,"Array, Hash Table, String"
EASY,Middle of the Linked List,56.1,0.8011815154246367,https://leetcode.com/problems/middle-of-the-linked-list,"Linked List, Two Pointers"
MEDIUM,Minimum Cost For Tickets,56.1,0.6740565179518804,https://leetcode.com/problems/minimum-cost-for-tickets,"Array, Dynamic Programming"
MEDIUM,Generate Parentheses,56.1,0.7652986107087103,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
EASY,Best Time to Buy and Sell Stock,56.1,0.5476981071147623,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,House Robber,56.1,0.5198830266901029,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Coin Change,56.1,0.4581322512204496,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Insert Delete GetRandom O(1),56.1,0.5490690532656376,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,132 Pattern,56.1,0.3385544114775322,https://leetcode.com/problems/132-pattern,"Array, Binary Search, Stack, Monotonic Stack, Ordered Set"
HARD,Maximal Rectangle,46.3,0.5288766460503644,https://leetcode.com/problems/maximal-rectangle,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
MEDIUM,Decode Ways,46.3,0.3610502373265567,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
MEDIUM,Number of Longest Increasing Subsequence,46.3,0.49373773567242013,https://leetcode.com/problems/number-of-longest-increasing-subsequence,"Array, Dynamic Programming, Binary Indexed Tree, Segment Tree"
