Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Sort Integers by The Number of 1 Bits,100.0,0.7856592284271785,https://leetcode.com/problems/sort-integers-by-the-number-of-1-bits,"Array, Bit Manipulation, Sorting, Counting"
HARD,Reaching Points,97.1,0.335514463131133,https://leetcode.com/problems/reaching-points,Math
MEDIUM,Least Number of Unique Integers after K Removals,96.1,0.6326020024727872,https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals,"Array, Hash Table, Greedy, Sorting, Counting"
MEDIUM,Remove Colored Pieces if Both Neighbors are the Same Color,91.9,0.6287870255659421,https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color,"Math, String, Greedy, Game Theory"
MEDIUM,Minimum Suffix Flips,89.0,0.7347614676623087,https://leetcode.com/problems/minimum-suffix-flips,"String, Greedy"
MEDIUM,Next Permutation,88.3,0.4232402325551396,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Break a Palindrome,87.4,0.5153242459429931,https://leetcode.com/problems/break-a-palindrome,"String, Greedy"
EASY,Check Whether Two Strings are Almost Equivalent,81.8,0.6399535648640805,https://leetcode.com/problems/check-whether-two-strings-are-almost-equivalent,"Hash Table, String, Counting"
EASY,Minimum Absolute Difference,80.7,0.7032792719819835,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
EASY,Valid Parentheses,74.0,0.4184516447677094,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Best Time to Buy and Sell Stock,74.0,0.5476981745558533,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Merge Intervals,72.3,0.48806518536591015,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Numbers With Repeated Digits,70.6,0.42888248619878155,https://leetcode.com/problems/numbers-with-repeated-digits,"Math, Dynamic Programming"
MEDIUM,Pairs of Songs With Total Durations Divisible by 60,66.4,0.5315074798619103,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,"Array, Hash Table, Counting"
EASY,Climbing Stairs,66.4,0.5334307843368624,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Longest Palindromic Substring,64.0,0.3529834605616351,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Count Numbers with Unique Digits,64.0,0.5396033497347898,https://leetcode.com/problems/count-numbers-with-unique-digits,"Math, Dynamic Programming, Backtracking"
