Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Sort Integers by The Number of 1 Bits,100.0,0.7856592284271785,https://leetcode.com/problems/sort-integers-by-the-number-of-1-bits,"Array, Bit Manipulation, Sorting, Counting"
HARD,Reaching Points,97.1,0.335514463131133,https://leetcode.com/problems/reaching-points,Math
MEDIUM,Least Number of Unique Integers after K Removals,96.0,0.6326020024727872,https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals,"Array, Hash Table, Greedy, Sorting, Counting"
MEDIUM,Remove Colored Pieces if Both Neighbors are the Same Color,91.8,0.6287870255659421,https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color,"Math, String, Greedy, Game Theory"
MEDIUM,Minimum Suffix Flips,88.9,0.7347614676623087,https://leetcode.com/problems/minimum-suffix-flips,"String, Greedy"
MEDIUM,Next Permutation,88.1,0.4232402325551396,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Break a Palindrome,87.3,0.5153242459429931,https://leetcode.com/problems/break-a-palindrome,"String, Greedy"
EASY,Check Whether Two Strings are Almost Equivalent,81.5,0.6399535648640805,https://leetcode.com/problems/check-whether-two-strings-are-almost-equivalent,"Hash Table, String, Counting"
EASY,Minimum Absolute Difference,80.4,0.7032792719819835,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
EASY,Valid Parentheses,73.6,0.4184516447677094,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Group Anagrams,73.6,0.7033698794136874,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Best Time to Buy and Sell Stock,73.6,0.5476981745558533,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Determine Color of a Chessboard Square,71.9,0.7913132353651274,https://leetcode.com/problems/determine-color-of-a-chessboard-square,"Math, String"
MEDIUM,Merge Intervals,71.9,0.48806518536591015,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Numbers With Repeated Digits,70.1,0.42888248619878155,https://leetcode.com/problems/numbers-with-repeated-digits,"Math, Dynamic Programming"
MEDIUM,Minimum Swaps to Make Strings Equal,70.1,0.6453830901128373,https://leetcode.com/problems/minimum-swaps-to-make-strings-equal,"Math, String, Greedy"
MEDIUM,Display Table of Food Orders in a Restaurant,68.1,0.756690547723596,https://leetcode.com/problems/display-table-of-food-orders-in-a-restaurant,"Array, Hash Table, String, Sorting, Ordered Set"
