Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Text Justification,100.0,0.47093350390662947,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
EASY,Find Words That Can Be Formed by Characters,85.7,0.7090272206023366,https://leetcode.com/problems/find-words-that-can-be-formed-by-characters,"Array, Hash Table, String, Counting"
MEDIUM,Word Search,84.0,0.44626252285651224,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
EASY,Check if Every Row and Column Contains All Numbers,82.2,0.5252827334914578,https://leetcode.com/problems/check-if-every-row-and-column-contains-all-numbers,"Array, Hash Table, Matrix"
MEDIUM,Alert Using Same Key-Card Three or More Times in a One Hour Period,72.2,0.4618695359784802,https://leetcode.com/problems/alert-using-same-key-card-three-or-more-times-in-a-one-hour-period,"Array, Hash Table, String, Sorting"
MEDIUM,Course Schedule,68.7,0.48476944400747646,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Number of Islands,58.8,0.6158107282039925,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Ransom Note,58.8,0.6391437631956618,https://leetcode.com/problems/ransom-note,"Hash Table, String, Counting"
EASY,Two Sum,50.9,0.5507386552323487,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Valid Sudoku,50.9,0.6165265534638352,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Subdomain Visit Count,50.9,0.7674168269819203,https://leetcode.com/problems/subdomain-visit-count,"Array, Hash Table, String, Counting"
HARD,Word Search II,50.9,0.3701605260358258,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
MEDIUM,Course Schedule II,50.9,0.526302956042273,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Maximal Square,50.9,0.4822803101091829,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Jump Game,50.9,0.3911357948180106,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
