Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,All O`one Data Structure,100.0,0.4483506170768279,https://leetcode.com/problems/all-oone-data-structure,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Nested List Weight Sum II,97.8,0.6494839484737678,https://leetcode.com/problems/nested-list-weight-sum-ii,"Stack, Depth-First Search, Breadth-First Search"
HARD,Max Stack,94.6,0.452812440007679,https://leetcode.com/problems/max-stack,"Linked List, Stack, Design, Doubly-Linked List, Ordered Set"
EASY,Valid Parentheses,86.0,0.4184517208023701,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Max Consecutive Ones III,86.0,0.6522469813861362,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Nested List Weight Sum,79.8,0.8517364406270648,https://leetcode.com/problems/nested-list-weight-sum,"Depth-First Search, Breadth-First Search"
MEDIUM,Shortest Word Distance II,78.0,0.6185566620684442,https://leetcode.com/problems/shortest-word-distance-ii,"Array, Hash Table, Two Pointers, String, Design"
MEDIUM,Maximum Subarray,76.0,0.5173370618539692,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Number of Islands,76.0,0.6158089204601095,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Find the Celebrity,73.7,0.4819098081002611,https://leetcode.com/problems/find-the-celebrity,"Two Pointers, Graph, Interactive"
HARD,Word Ladder,73.7,0.418467367072222,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
EASY,Can Place Flowers,73.7,0.288215581580734,https://leetcode.com/problems/can-place-flowers,"Array, Greedy"
MEDIUM,Find Leaves of Binary Tree,71.2,0.8095490763622055,https://leetcode.com/problems/find-leaves-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Max Area of Island,65.1,0.7292312901550388,https://leetcode.com/problems/max-area-of-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Search in Rotated Sorted Array,65.1,0.42323970839729985,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Paint House,65.1,0.6342340874879238,https://leetcode.com/problems/paint-house,"Array, Dynamic Programming"
MEDIUM,Partition to K Equal Sum Subsets,65.1,0.38087397461509076,https://leetcode.com/problems/partition-to-k-equal-sum-subsets,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask"
MEDIUM,Insert Delete GetRandom O(1),65.1,0.5490690532656376,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Letter Combinations of a Phone Number,61.3,0.6308017798167616,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
EASY,Sqrt(x),61.3,0.4002709051008038,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
EASY,Second Minimum Node In a Binary Tree,61.3,0.4512995731167131,https://leetcode.com/problems/second-minimum-node-in-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Longest Palindromic Subsequence,56.6,0.6366039736819323,https://leetcode.com/problems/longest-palindromic-subsequence,"String, Dynamic Programming"
MEDIUM,Binary Tree Upside Down,56.6,0.6408924972985602,https://leetcode.com/problems/binary-tree-upside-down,"Tree, Depth-First Search, Binary Tree"
EASY,Shortest Word Distance,56.6,0.6577336656167434,https://leetcode.com/problems/shortest-word-distance,"Array, String"
MEDIUM,Number of Divisible Triplet Sums,56.6,0.6598439298963796,https://leetcode.com/problems/number-of-divisible-triplet-sums,"Array, Hash Table"
HARD,Insert Delete GetRandom O(1) - Duplicates allowed,56.6,0.35806734953411395,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Lowest Common Ancestor of a Binary Tree,50.5,0.6566966933432192,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Can I Win,50.5,0.3011986628871247,https://leetcode.com/problems/can-i-win,"Math, Dynamic Programming, Bit Manipulation, Memoization, Game Theory, Bitmask"
MEDIUM,Lowest Common Ancestor of a Binary Search Tree,50.5,0.6742160964158788,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Find K Pairs with Smallest Sums,50.5,0.40430283680400775,https://leetcode.com/problems/find-k-pairs-with-smallest-sums,"Array, Heap (Priority Queue)"
MEDIUM,Exclusive Time of Functions,50.5,0.6405231636427691,https://leetcode.com/problems/exclusive-time-of-functions,"Array, Stack"
HARD,Minimum Window Substring,50.5,0.44664959668017445,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Find First and Last Position of Element in Sorted Array,50.5,0.46149675744309815,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Kth Largest Element in an Array,50.5,0.6762042791578762,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,LRU Cache,50.5,0.44431012363701083,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Number of Connected Components in an Undirected Graph,50.5,0.6377466894637381,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph,"Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,Rotate List,50.5,0.39402541769303256,https://leetcode.com/problems/rotate-list,"Linked List, Two Pointers"
MEDIUM,Bulb Switcher,50.5,0.5371863022251513,https://leetcode.com/problems/bulb-switcher,"Math, Brainteaser"
MEDIUM,Possible Bipartition,50.5,0.5118928487242096,https://leetcode.com/problems/possible-bipartition,"Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,"Pow(x, n)",50.5,0.3647741902866651,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Shuffle an Array,42.0,0.5883885960363152,https://leetcode.com/problems/shuffle-an-array,"Array, Math, Design, Randomized"
HARD,Closest Binary Search Tree Value II,42.0,0.5998232923377856,https://leetcode.com/problems/closest-binary-search-tree-value-ii,"Two Pointers, Stack, Tree, Depth-First Search, Binary Search Tree, Heap (Priority Queue), Binary Tree"
MEDIUM,Valid Parenthesis String,42.0,0.3862398506476899,https://leetcode.com/problems/valid-parenthesis-string,"String, Dynamic Programming, Stack, Greedy"
EASY,Maximum Depth of Binary Tree,42.0,0.7675473188918835,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Find Smallest Letter Greater Than Target,42.0,0.5360757225184043,https://leetcode.com/problems/find-smallest-letter-greater-than-target,"Array, Binary Search"
MEDIUM,Closest Leaf in a Binary Tree,42.0,0.4690468695024166,https://leetcode.com/problems/closest-leaf-in-a-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,Robot Room Cleaner,42.0,0.7716242395404955,https://leetcode.com/problems/robot-room-cleaner,"Backtracking, Interactive"
MEDIUM,Find K Closest Elements,42.0,0.48347356981898526,https://leetcode.com/problems/find-k-closest-elements,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)"
HARD,Expression Add Operators,42.0,0.41073437651800293,https://leetcode.com/problems/expression-add-operators,"Math, String, Backtracking"
HARD,Kth Smallest Product of Two Sorted Arrays,42.0,0.29970981852830353,https://leetcode.com/problems/kth-smallest-product-of-two-sorted-arrays,"Array, Binary Search"
MEDIUM,H-Index,42.0,0.39927123523661623,https://leetcode.com/problems/h-index,"Array, Sorting, Counting Sort"
EASY,Two Sum,42.0,0.5507380160879811,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Flatten Nested List Iterator,42.0,0.6515931812407496,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
MEDIUM,Koko Eating Bananas,42.0,0.4882386058875497,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Partition Labels,42.0,0.8020099218886544,https://leetcode.com/problems/partition-labels,"Hash Table, Two Pointers, String, Greedy"
MEDIUM,Combination Sum II,42.0,0.5721007171008698,https://leetcode.com/problems/combination-sum-ii,"Array, Backtracking"
MEDIUM,01 Matrix,42.0,0.5068422605829691,https://leetcode.com/problems/01-matrix,"Array, Dynamic Programming, Breadth-First Search, Matrix"
MEDIUM,Maximum Product Subarray,42.0,0.34529577590337285,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
EASY,Long Pressed Name,42.0,0.3237277841389954,https://leetcode.com/problems/long-pressed-name,"Two Pointers, String"
MEDIUM,Delete Node in a BST,42.0,0.5252910567130332,https://leetcode.com/problems/delete-node-in-a-bst,"Tree, Binary Search Tree, Binary Tree"
