Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Max Stack,100.0,0.452812440007679,https://leetcode.com/problems/max-stack,"Linked List, Stack, Design, Doubly-Linked List, Ordered Set"
MEDIUM,Nested List Weight Sum II,100.0,0.6494839484737678,https://leetcode.com/problems/nested-list-weight-sum-ii,"Stack, Depth-First Search, Breadth-First Search"
HARD,All O`one Data Structure,99.5,0.4483506170768279,https://leetcode.com/problems/all-oone-data-structure,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Valid Parentheses,85.2,0.4184517208023701,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Max Consecutive Ones III,83.2,0.6522469813861362,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Maximum Subarray,78.6,0.5173370618539692,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Find the Celebrity,77.3,0.4819098081002611,https://leetcode.com/problems/find-the-celebrity,"Two Pointers, Graph, Interactive"
MEDIUM,Shortest Word Distance II,77.3,0.6185566620684442,https://leetcode.com/problems/shortest-word-distance-ii,"Array, Hash Table, Two Pointers, String, Design"
MEDIUM,Nested List Weight Sum,77.3,0.8517364406270648,https://leetcode.com/problems/nested-list-weight-sum,"Depth-First Search, Breadth-First Search"
MEDIUM,Find Leaves of Binary Tree,75.9,0.8095490763622055,https://leetcode.com/problems/find-leaves-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
HARD,Word Ladder,75.9,0.418467367072222,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Number of Islands,74.4,0.6158089204601095,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Find First and Last Position of Element in Sorted Array,70.9,0.46149675744309815,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
EASY,Can Place Flowers,70.9,0.288215581580734,https://leetcode.com/problems/can-place-flowers,"Array, Greedy"
MEDIUM,Insert Delete GetRandom O(1),68.9,0.5490690532656376,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Maximum Product Subarray,68.9,0.34529577590337285,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
MEDIUM,Lowest Common Ancestor of a Binary Search Tree,66.8,0.6742160964158788,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Binary Tree Upside Down,64.3,0.6408924972985602,https://leetcode.com/problems/binary-tree-upside-down,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Letter Combinations of a Phone Number,64.3,0.6308017798167616,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Partition to K Equal Sum Subsets,64.3,0.38087397461509076,https://leetcode.com/problems/partition-to-k-equal-sum-subsets,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask"
HARD,Insert Delete GetRandom O(1) - Duplicates allowed,61.6,0.35806734953411395,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Paint House,61.6,0.6342340874879238,https://leetcode.com/problems/paint-house,"Array, Dynamic Programming"
MEDIUM,Search in Rotated Sorted Array,61.6,0.42323970839729985,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Lowest Common Ancestor of a Binary Tree III,58.4,0.8189664475620524,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii,"Hash Table, Two Pointers, Tree, Binary Tree"
EASY,Second Minimum Node In a Binary Tree,58.4,0.4512995731167131,https://leetcode.com/problems/second-minimum-node-in-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,LRU Cache,58.4,0.44431012363701083,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
