Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Nested List Weight Sum II,96.6,0.6494839484737678,https://leetcode.com/problems/nested-list-weight-sum-ii,"Stack, Depth-First Search, Breadth-First Search"
HARD,All O`one Data Structure,94.6,0.4483506170768279,https://leetcode.com/problems/all-oone-data-structure,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Find the Celebrity,80.7,0.4819098081002611,https://leetcode.com/problems/find-the-celebrity,"Two Pointers, Graph, Interactive"
MEDIUM,Maximum Subarray,79.6,0.5173370618539692,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Valid Parentheses,79.1,0.4184517632037405,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Shortest Word Distance II,79.1,0.6185566620684442,https://leetcode.com/problems/shortest-word-distance-ii,"Array, Hash Table, Two Pointers, String, Design"
HARD,Word Ladder,78.5,0.418467367072222,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Nested List Weight Sum,78.5,0.8517364406270648,https://leetcode.com/problems/nested-list-weight-sum,"Depth-First Search, Breadth-First Search"
MEDIUM,Find Leaves of Binary Tree,77.9,0.8095490763622055,https://leetcode.com/problems/find-leaves-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Number of Islands,76.1,0.6158089204601095,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Maximum Product Subarray,75.4,0.34529577590337285,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
EASY,Can Place Flowers,74.0,0.288215581580734,https://leetcode.com/problems/can-place-flowers,"Array, Greedy"
MEDIUM,Search in Rotated Sorted Array,73.2,0.42323970839729985,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Binary Tree Upside Down,69.9,0.6408924972985602,https://leetcode.com/problems/binary-tree-upside-down,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Find First and Last Position of Element in Sorted Array,69.9,0.46149675744309815,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Paint House,69.0,0.6342340874879238,https://leetcode.com/problems/paint-house,"Array, Dynamic Programming"
HARD,Serialize and Deserialize Binary Tree,69.0,0.5835188850889353,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
MEDIUM,Lowest Common Ancestor of a Binary Tree,68.1,0.6566966933432192,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Merge Intervals,68.1,0.4880650144927678,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Shortest Word Distance,67.0,0.6577336656167434,https://leetcode.com/problems/shortest-word-distance,"Array, String"
MEDIUM,Factor Combinations,66.0,0.5013237483801256,https://leetcode.com/problems/factor-combinations,Backtracking
HARD,Minimum Window Substring,66.0,0.44664959668017445,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
EASY,Maximum Depth of Binary Tree,66.0,0.7675473660343625,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Isomorphic Strings,64.9,0.46416500218786366,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
MEDIUM,"Pow(x, n)",63.7,0.3647741902866651,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Lowest Common Ancestor of a Binary Search Tree,63.7,0.6742160964158788,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
