Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Time Based Key-Value Store,100.0,0.4936204160978852,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
HARD,Read N Characters Given read4 II - Call Multiple Times,96.3,0.42749409638038893,https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times,"Array, Simulation, Interactive"
HARD,Minimum Window Substring,96.3,0.44664916426578677,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Rotting Oranges,94.2,0.5596871096393305,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Convert Sorted List to Binary Search Tree,84.6,0.6386789577936919,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree,"Linked List, Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
HARD,Max Stack,84.6,0.452812440007679,https://leetcode.com/problems/max-stack,"Linked List, Stack, Design, Doubly-Linked List, Ordered Set"
HARD,Smallest Range Covering Elements from K Lists,80.8,0.698285078618604,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,"Array, Hash Table, Greedy, Sliding Window, Sorting, Heap (Priority Queue)"
MEDIUM,Car Pooling,80.8,0.5597648303996677,https://leetcode.com/problems/car-pooling,"Array, Sorting, Heap (Priority Queue), Simulation, Prefix Sum"
MEDIUM,String Compression,80.8,0.5727267889171925,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Range Sum Query 2D - Immutable,76.1,0.5600333430399854,https://leetcode.com/problems/range-sum-query-2d-immutable,"Array, Design, Matrix, Prefix Sum"
MEDIUM,Min Stack,73.3,0.5591510888058357,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Longest Consecutive Sequence,66.3,0.47190680833777776,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
HARD,Word Ladder II,61.6,0.2711824702996659,https://leetcode.com/problems/word-ladder-ii,"Hash Table, String, Backtracking, Breadth-First Search"
MEDIUM,Longest Substring Without Repeating Characters,61.6,0.363267339012417,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Water and Jug Problem,61.6,0.42504812276572873,https://leetcode.com/problems/water-and-jug-problem,"Math, Depth-First Search, Breadth-First Search"
MEDIUM,Decode Ways,55.6,0.361050543696366,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
MEDIUM,Asteroid Collision,55.6,0.4510768278911376,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
MEDIUM,Meeting Rooms II,55.6,0.5191547661608963,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Implement Trie (Prefix Tree),55.6,0.6744646075005423,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
MEDIUM,Process Tasks Using Servers,47.2,0.4075473290981617,https://leetcode.com/problems/process-tasks-using-servers,"Array, Heap (Priority Queue)"
HARD,Find Minimum Time to Finish All Jobs,47.2,0.4301764348002434,https://leetcode.com/problems/find-minimum-time-to-finish-all-jobs,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
MEDIUM,Coordinate With Maximum Network Quality,47.2,0.3826822112415071,https://leetcode.com/problems/coordinate-with-maximum-network-quality,"Array, Enumeration"
