Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,First Missing Positive,100.0,0.406343094117015,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Cheapest Flights Within K Stops,85.5,0.4006128058922746,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
MEDIUM,Jump Game,85.5,0.39113610620616535,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
HARD,Trapping Rain Water,78.0,0.6428747297381544,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Jump Game II,78.0,0.41138487015293157,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Spiral Matrix,78.0,0.5293306764008043,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Generate Parentheses,78.0,0.7652990096158296,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
HARD,Reverse Nodes in k-Group,67.5,0.6204637494253157,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Longest Substring Without Repeating Characters,67.5,0.3632673318555743,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Best Time to Buy and Sell Stock,67.5,0.5476985892546647,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Length of Longest Subarray With at Most K Frequency,67.5,0.558925001447454,https://leetcode.com/problems/length-of-longest-subarray-with-at-most-k-frequency,"Array, Hash Table, Sliding Window"
HARD,Sum Of Special Evenly-Spaced Elements In Array,67.5,0.491751269035533,https://leetcode.com/problems/sum-of-special-evenly-spaced-elements-in-array,"Array, Dynamic Programming"
MEDIUM,Reachable Nodes With Restrictions,67.5,0.5938011071950186,https://leetcode.com/problems/reachable-nodes-with-restrictions,"Array, Hash Table, Tree, Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,Longest Ideal Subsequence,67.5,0.4699683794152771,https://leetcode.com/problems/longest-ideal-subsequence,"Hash Table, String, Dynamic Programming"
MEDIUM,Increasing Triplet Subsequence,67.5,0.3917257198689761,https://leetcode.com/problems/increasing-triplet-subsequence,"Array, Greedy"
HARD,Minimum Window Substring,67.5,0.44665223897490824,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Find First and Last Position of Element in Sorted Array,67.5,0.46149788623254195,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Product of Array Except Self,67.5,0.6738339829003215,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
EASY,Majority Element,67.5,0.6549761868324245,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
MEDIUM,LRU Cache,67.5,0.44431141661297974,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Permutations,67.5,0.8014001494087492,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Merge Intervals,67.5,0.48806700871204584,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
