Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Reachable Nodes With Restrictions,100.0,0.5938011071950186,https://leetcode.com/problems/reachable-nodes-with-restrictions,"Array, Hash Table, Tree, Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,Length of Longest Subarray With at Most K Frequency,100.0,0.558925001447454,https://leetcode.com/problems/length-of-longest-subarray-with-at-most-k-frequency,"Array, Hash Table, Sliding Window"
MEDIUM,Longest Ideal Subsequence,100.0,0.4699683794152771,https://leetcode.com/problems/longest-ideal-subsequence,"Hash Table, String, Dynamic Programming"
HARD,Sum Of Special Evenly-Spaced Elements In Array,100.0,0.491751269035533,https://leetcode.com/problems/sum-of-special-evenly-spaced-elements-in-array,"Array, Dynamic Programming"
HARD,First Missing Positive,94.5,0.406343094117015,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Cheapest Flights Within K Stops,77.2,0.40061315570921735,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
MEDIUM,Jump Game,77.2,0.39113610620616535,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Spiral Matrix,70.1,0.5293306764008043,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
HARD,Minimum Window Substring,70.1,0.44665223897490824,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Jump Game II,70.1,0.41138487015293157,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
HARD,Trapping Rain Water,70.1,0.6428747297381544,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Generate Parentheses,70.1,0.7652990096158296,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
EASY,Best Time to Buy and Sell Stock,60.1,0.5476985892546647,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Merge Intervals,60.1,0.48806700871204584,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Maximum Product Subarray,60.1,0.34529663530599936,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
MEDIUM,Longest Substring Without Repeating Characters,60.1,0.36326736463704173,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Longest Valid Parentheses,60.1,0.3569449089385175,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack"
EASY,Majority Element,60.1,0.654976078935395,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
MEDIUM,Product of Array Except Self,60.1,0.6738339829003215,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Increasing Triplet Subsequence,60.1,0.3917257198689761,https://leetcode.com/problems/increasing-triplet-subsequence,"Array, Greedy"
HARD,Reverse Nodes in k-Group,60.1,0.6204637494253157,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,LRU Cache,60.1,0.44431141661297974,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Permutations,60.1,0.8014001494087492,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Find First and Last Position of Element in Sorted Array,60.1,0.46149788623254195,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Evaluate Division,60.1,0.6274981482914535,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
