Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Count Subarrays With Fixed Bounds,100.0,0.6772227032141168,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,"Array, Queue, Sliding Window, Monotonic Queue"
MEDIUM,Maximum Number of Alloys,84.1,0.39034839345069555,https://leetcode.com/problems/maximum-number-of-alloys,"Array, Binary Search"
HARD,String Transformation,74.8,0.30690389819773134,https://leetcode.com/problems/string-transformation,"Math, String, Dynamic Programming, String Matching"
MEDIUM,Longest String Chain,68.3,0.6169817180366625,https://leetcode.com/problems/longest-string-chain,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
HARD,Sum of Distances in Tree,68.3,0.6529179912996663,https://leetcode.com/problems/sum-of-distances-in-tree,"Dynamic Programming, Tree, Depth-First Search, Graph"
EASY,Reshape the Matrix,68.3,0.6370807917417826,https://leetcode.com/problems/reshape-the-matrix,"Array, Matrix, Simulation"
EASY,Two Sum,59.0,0.5507384585782354,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Total Cost to Hire K Workers,59.0,0.42885848212354993,https://leetcode.com/problems/total-cost-to-hire-k-workers,"Array, Two Pointers, Heap (Priority Queue), Simulation"
HARD,Reverse Nodes in k-Group,59.0,0.6204629349973686,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Break a Palindrome,59.0,0.5153242459429931,https://leetcode.com/problems/break-a-palindrome,"String, Greedy"
MEDIUM,Earliest Second to Mark Indices I,59.0,0.3604086353122591,https://leetcode.com/problems/earliest-second-to-mark-indices-i,"Array, Binary Search"
HARD,Earliest Second to Mark Indices II,59.0,0.2112336571470309,https://leetcode.com/problems/earliest-second-to-mark-indices-ii,"Array, Binary Search, Greedy, Heap (Priority Queue)"
MEDIUM,Maximum Palindromes After Operations,59.0,0.43223684210526314,https://leetcode.com/problems/maximum-palindromes-after-operations,"Array, Hash Table, String, Greedy, Sorting, Counting"
EASY,Keyboard Row,59.0,0.7206970592644949,https://leetcode.com/problems/keyboard-row,"Array, Hash Table, String"
MEDIUM,Minimum Cost Tree From Leaf Values,59.0,0.6766106607378416,https://leetcode.com/problems/minimum-cost-tree-from-leaf-values,"Array, Dynamic Programming, Stack, Greedy, Monotonic Stack"
HARD,Last Substring in Lexicographical Order,59.0,0.3445779791069612,https://leetcode.com/problems/last-substring-in-lexicographical-order,"Two Pointers, String"
HARD,Count Anagrams,59.0,0.3472806312904598,https://leetcode.com/problems/count-anagrams,"Hash Table, Math, String, Combinatorics, Counting"
MEDIUM,Beautiful Arrangement,59.0,0.6445062035406557,https://leetcode.com/problems/beautiful-arrangement,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
MEDIUM,Remove Colored Pieces if Both Neighbors are the Same Color,59.0,0.6287870255659421,https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color,"Math, String, Greedy, Game Theory"
HARD,Remove Boxes,59.0,0.48160728616487186,https://leetcode.com/problems/remove-boxes,"Array, Dynamic Programming, Memoization"
HARD,Split Array Largest Sum,59.0,0.5740382233990272,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
HARD,Cherry Pickup,59.0,0.3756434374547785,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix"
MEDIUM,Fraction to Recurring Decimal,59.0,0.2588380732395776,https://leetcode.com/problems/fraction-to-recurring-decimal,"Hash Table, Math, String"
EASY,Pass the Pillow,59.0,0.566564423203747,https://leetcode.com/problems/pass-the-pillow,"Math, Simulation"
