Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Maximum Number of Alloys,100.0,0.39034839345069555,https://leetcode.com/problems/maximum-number-of-alloys,"Array, Binary Search"
HARD,Count Subarrays With Fixed Bounds,100.0,0.6772227032141168,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,"Array, Queue, Sliding Window, Monotonic Queue"
MEDIUM,Total Cost to Hire K Workers,92.7,0.42885848212354993,https://leetcode.com/problems/total-cost-to-hire-k-workers,"Array, Two Pointers, Heap (Priority Queue), Simulation"
EASY,Reshape the Matrix,92.7,0.6370807917417826,https://leetcode.com/problems/reshape-the-matrix,"Array, Matrix, Simulation"
MEDIUM,Maximum Palindromes After Operations,90.4,0.43223684210526314,https://leetcode.com/problems/maximum-palindromes-after-operations,"Array, Hash Table, String, Greedy, Sorting, Counting"
MEDIUM,Minimum Cost Tree From Leaf Values,90.4,0.6766106607378416,https://leetcode.com/problems/minimum-cost-tree-from-leaf-values,"Array, Dynamic Programming, Stack, Greedy, Monotonic Stack"
EASY,Keyboard Row,90.4,0.7206970592644949,https://leetcode.com/problems/keyboard-row,"Array, Hash Table, String"
MEDIUM,Earliest Second to Mark Indices I,90.4,0.3604086353122591,https://leetcode.com/problems/earliest-second-to-mark-indices-i,"Array, Binary Search"
HARD,Earliest Second to Mark Indices II,90.4,0.2112336571470309,https://leetcode.com/problems/earliest-second-to-mark-indices-ii,"Array, Binary Search, Greedy, Heap (Priority Queue)"
HARD,Last Substring in Lexicographical Order,90.4,0.3445779791069612,https://leetcode.com/problems/last-substring-in-lexicographical-order,"Two Pointers, String"
MEDIUM,Remove Colored Pieces if Both Neighbors are the Same Color,90.4,0.6287870255659421,https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color,"Math, String, Greedy, Game Theory"
HARD,Count Anagrams,90.4,0.3472806312904598,https://leetcode.com/problems/count-anagrams,"Hash Table, Math, String, Combinatorics, Counting"
HARD,String Transformation,82.0,0.30690389819773134,https://leetcode.com/problems/string-transformation,"Math, String, Dynamic Programming, String Matching"
EASY,Pass the Pillow,78.3,0.566564423203747,https://leetcode.com/problems/pass-the-pillow,"Math, Simulation"
HARD,Minimum Edge Reversals So Every Node Is Reachable,74.0,0.5750719404164081,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph"
MEDIUM,Longest String Chain,62.0,0.6169817180366625,https://leetcode.com/problems/longest-string-chain,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
MEDIUM,Number of Divisible Triplet Sums,62.0,0.6597595292913787,https://leetcode.com/problems/number-of-divisible-triplet-sums,"Array, Hash Table"
HARD,Sum of Distances in Tree,62.0,0.6529179912996663,https://leetcode.com/problems/sum-of-distances-in-tree,"Dynamic Programming, Tree, Depth-First Search, Graph"
HARD,Split Array Largest Sum,62.0,0.5740382233990272,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
MEDIUM,Break a Palindrome,62.0,0.5153242459429931,https://leetcode.com/problems/break-a-palindrome,"String, Greedy"
EASY,Maximum Difference Between Increasing Elements,52.4,0.5862710115644212,https://leetcode.com/problems/maximum-difference-between-increasing-elements,Array
EASY,Convert Binary Number in a Linked List to Integer,52.4,0.8121762073862552,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer,"Linked List, Math"
EASY,Two Sum,52.4,0.5507384585782354,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Reverse Nodes in k-Group,52.4,0.6204629349973686,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Beautiful Arrangement,52.4,0.6445062035406557,https://leetcode.com/problems/beautiful-arrangement,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
HARD,Cherry Pickup,52.4,0.3756434374547785,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix"
MEDIUM,Fraction to Recurring Decimal,52.4,0.2588380732395776,https://leetcode.com/problems/fraction-to-recurring-decimal,"Hash Table, Math, String"
HARD,Remove Boxes,52.4,0.48160728616487186,https://leetcode.com/problems/remove-boxes,"Array, Dynamic Programming, Memoization"
MEDIUM,Longest Repeating Character Replacement,52.4,0.5641856108587795,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
