Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Number of Strings Which Can Be Rearranged to Contain Substring,100.0,0.5585424597933338,https://leetcode.com/problems/number-of-strings-which-can-be-rearranged-to-contain-substring,"Math, Dynamic Programming, Combinatorics"
HARD,Number of Possible Sets of Closing Branches,95.7,0.5095238095238095,https://leetcode.com/problems/number-of-possible-sets-of-closing-branches,"Bit Manipulation, Graph, Heap (Priority Queue), Enumeration, Shortest Path"
HARD,Count Complete Substrings,95.7,0.2764697876973326,https://leetcode.com/problems/count-complete-substrings,"Hash Table, String, Sliding Window"
HARD,Minimum Edge Reversals So Every Node Is Reachable,95.7,0.5750719404164081,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph"
HARD,Making A Large Island,79.3,0.5425545322015887,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,Minimum Number of Taps to Open to Water a Garden,74.1,0.5070611850526068,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
MEDIUM,Delete and Earn,74.1,0.5663150421083978,https://leetcode.com/problems/delete-and-earn,"Array, Hash Table, Dynamic Programming"
HARD,Painting the Walls,67.3,0.503165279937505,https://leetcode.com/problems/painting-the-walls,"Array, Dynamic Programming"
HARD,Subsequence With the Minimum Score,67.3,0.3244274809160305,https://leetcode.com/problems/subsequence-with-the-minimum-score,"Two Pointers, String, Binary Search"
EASY,Two Sum,67.3,0.5507388674735357,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Count Subarrays With Fixed Bounds,67.3,0.6772211214052375,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,"Array, Queue, Sliding Window, Monotonic Queue"
MEDIUM,Consecutive Numbers,57.7,0.4538023253743567,https://leetcode.com/problems/consecutive-numbers,Database
HARD,Number of Ways to Form a Target String Given a Dictionary,57.7,0.5729969314694852,https://leetcode.com/problems/number-of-ways-to-form-a-target-string-given-a-dictionary,"Array, String, Dynamic Programming"
MEDIUM,Minimum Time to Complete Trips,57.7,0.3892450509298253,https://leetcode.com/problems/minimum-time-to-complete-trips,"Array, Binary Search"
MEDIUM,Second Highest Salary,57.7,0.4297689435818552,https://leetcode.com/problems/second-highest-salary,Database
MEDIUM,Find the Longest Equal Subarray,57.7,0.3645028609589145,https://leetcode.com/problems/find-the-longest-equal-subarray,"Array, Hash Table, Binary Search, Sliding Window"
MEDIUM,Search Suggestions System,57.7,0.6504522992244536,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
MEDIUM,Jump Game,57.7,0.3911360991634624,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Longest Non-decreasing Subarray From Two Arrays,57.7,0.2989623190816836,https://leetcode.com/problems/longest-non-decreasing-subarray-from-two-arrays,"Array, Dynamic Programming"
HARD,Minimum Degree of a Connected Trio in a Graph,57.7,0.43319019532490105,https://leetcode.com/problems/minimum-degree-of-a-connected-trio-in-a-graph,Graph
MEDIUM,Asteroid Collision,57.7,0.4510767903592822,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
