Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Binary Tree Vertical Order Traversal,100.0,0.5656256331650766,https://leetcode.com/problems/binary-tree-vertical-order-traversal,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
EASY,Valid Word Abbreviation,99.3,0.3661202043910849,https://leetcode.com/problems/valid-word-abbreviation,"Two Pointers, String"
MEDIUM,Minimum Remove to Make Valid Parentheses,95.8,0.7021813233962461,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses,"String, Stack"
MEDIUM,Basic Calculator II,89.5,0.4525727790930288,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Buildings With an Ocean View,88.9,0.8051517608367972,https://leetcode.com/problems/buildings-with-an-ocean-view,"Array, Stack, Monotonic Stack"
MEDIUM,Lowest Common Ancestor of a Binary Tree III,88.9,0.8189684562161684,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii,"Hash Table, Two Pointers, Tree, Binary Tree"
MEDIUM,Find Peak Element,88.3,0.46335509327822505,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,Kth Largest Element in an Array,87.7,0.6762046146263659,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
EASY,Diameter of Binary Tree,87.1,0.6275677346995255,https://leetcode.com/problems/diameter-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
EASY,Merge Sorted Array,86.4,0.5225683291634523,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Subarray Sum Equals K,85.8,0.44931294221552387,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Nested List Weight Sum,85.1,0.8517364406270648,https://leetcode.com/problems/nested-list-weight-sum,"Depth-First Search, Breadth-First Search"
MEDIUM,Simplify Path,84.4,0.4659588384849148,https://leetcode.com/problems/simplify-path,"String, Stack"
EASY,Valid Palindrome II,84.4,0.4247643132821805,https://leetcode.com/problems/valid-palindrome-ii,"Two Pointers, String, Greedy"
MEDIUM,Lowest Common Ancestor of a Binary Tree,82.1,0.656696581898547,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Random Pick with Weight,81.3,0.4820817185952007,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
MEDIUM,Copy List with Random Pointer,79.6,0.5950407415071429,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
EASY,Moving Average from Data Stream,78.7,0.7958752895040448,https://leetcode.com/problems/moving-average-from-data-stream,"Array, Design, Queue, Data Stream"
MEDIUM,"Pow(x, n)",77.7,0.36477414313789447,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Dot Product of Two Sparse Vectors,76.7,0.8990960800276102,https://leetcode.com/problems/dot-product-of-two-sparse-vectors,"Array, Hash Table, Two Pointers, Design"
EASY,Range Sum of BST,75.7,0.8734529139523056,https://leetcode.com/problems/range-sum-of-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Top K Frequent Elements,74.6,0.6408010960254608,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
EASY,Valid Palindrome,73.4,0.5015482365524061,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Custom Sort String,73.4,0.7171039441098149,https://leetcode.com/problems/custom-sort-string,"Hash Table, String, Sorting"
MEDIUM,Sum Root to Leaf Numbers,73.4,0.6788846173944515,https://leetcode.com/problems/sum-root-to-leaf-numbers,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Binary Tree Right Side View,72.2,0.6563558604499753,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Maximum Swap,72.2,0.5172307260216262,https://leetcode.com/problems/maximum-swap,"Math, Greedy"
MEDIUM,LRU Cache,72.2,0.4443099993738651,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Merge Intervals,70.9,0.48806475234316266,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,K Closest Points to Origin,70.9,0.675534008616372,https://leetcode.com/problems/k-closest-points-to-origin,"Array, Math, Divide and Conquer, Geometry, Sorting, Heap (Priority Queue), Quickselect"
HARD,Vertical Order Traversal of a Binary Tree,69.5,0.5037496864925847,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
HARD,Valid Number,69.5,0.2110761208014496,https://leetcode.com/problems/valid-number,String
HARD,Making A Large Island,68.0,0.5425498577924621,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Best Time to Buy and Sell Stock,66.4,0.5476981855215786,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Two Sum,66.4,0.5507379576737024,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Shortest Path in Binary Matrix,64.7,0.4915708785069427,https://leetcode.com/problems/shortest-path-in-binary-matrix,"Array, Breadth-First Search, Matrix"
MEDIUM,Max Consecutive Ones III,64.7,0.6522474623640848,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Interval List Intersections,62.8,0.7245817856967963,https://leetcode.com/problems/interval-list-intersections,"Array, Two Pointers, Line Sweep"
MEDIUM,Binary Search Tree Iterator,60.8,0.7424899300788685,https://leetcode.com/problems/binary-search-tree-iterator,"Stack, Tree, Design, Binary Search Tree, Binary Tree, Iterator"
MEDIUM,Group Shifted Strings,60.8,0.6694679874596193,https://leetcode.com/problems/group-shifted-strings,"Array, Hash Table, String"
MEDIUM,All Nodes Distance K in Binary Tree,60.8,0.6585736370270115,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Contains Duplicate II,58.5,0.48127773496282145,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
EASY,Closest Binary Search Tree Value,58.5,0.5016664917724777,https://leetcode.com/problems/closest-binary-search-tree-value,"Binary Search, Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Clone Graph,58.5,0.6119109626062601,https://leetcode.com/problems/clone-graph,"Hash Table, Depth-First Search, Breadth-First Search, Graph"
MEDIUM,Continuous Subarray Sum,58.5,0.30705623787976727,https://leetcode.com/problems/continuous-subarray-sum,"Array, Hash Table, Math, Prefix Sum"
HARD,Merge k Sorted Lists,58.5,0.5579527291964019,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Exclusive Time of Functions,56.0,0.6405222841736741,https://leetcode.com/problems/exclusive-time-of-functions,"Array, Stack"
MEDIUM,Next Permutation,56.0,0.423240509456743,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
EASY,Valid Parentheses,56.0,0.41845187491341784,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Remove Nth Node From End of List,56.0,0.48105414743517527,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
MEDIUM,Insert into a Sorted Circular Linked List,53.1,0.3764637280826153,https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list,Linked List
EASY,Remove All Adjacent Duplicates In String,53.1,0.7106656932917788,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string,"String, Stack"
MEDIUM,Course Schedule,53.1,0.4847667258580437,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Diagonal Traverse,53.1,0.6245941241734044,https://leetcode.com/problems/diagonal-traverse,"Array, Matrix, Simulation"
MEDIUM,Find First and Last Position of Element in Sorted Array,53.1,0.46149691260376985,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
EASY,Merge Strings Alternately,49.8,0.8181646360966532,https://leetcode.com/problems/merge-strings-alternately,"Two Pointers, String"
EASY,Create Hello World Function,49.8,0.8182503818859103,https://leetcode.com/problems/create-hello-world-function,
EASY,Recyclable and Low Fat Products,49.8,0.8937638410051859,https://leetcode.com/problems/recyclable-and-low-fat-products,Database
EASY,Longest Common Prefix,49.8,0.4488788610623963,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Kth Missing Positive Number,49.8,0.6176335609118228,https://leetcode.com/problems/kth-missing-positive-number,"Array, Binary Search"
MEDIUM,Convert Binary Search Tree to Sorted Doubly Linked List,46.0,0.6535539206314003,https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list,"Linked List, Stack, Tree, Depth-First Search, Binary Search Tree, Binary Tree, Doubly-Linked List"
HARD,Minimum Window Substring,46.0,0.4466497179189848,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
EASY,Add Strings,46.0,0.5173800837939878,https://leetcode.com/problems/add-strings,"Math, String, Simulation"
EASY,Move Zeroes,46.0,0.6254444097752963,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Subsets,46.0,0.8025894997461674,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Flatten Nested List Iterator,46.0,0.6515931812407496,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
MEDIUM,Random Pick Index,41.2,0.642945627748862,https://leetcode.com/problems/random-pick-index,"Hash Table, Math, Reservoir Sampling, Randomized"
HARD,Remove Invalid Parentheses,41.2,0.4891971726975419,https://leetcode.com/problems/remove-invalid-parentheses,"String, Backtracking, Breadth-First Search"
EASY,Goat Latin,41.2,0.6912545580367836,https://leetcode.com/problems/goat-latin,String
MEDIUM,Add Two Numbers,41.2,0.4543965080767522,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
HARD,Alien Dictionary,41.2,0.36424325014905035,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Sliding Window Maximum,41.2,0.4724661805396223,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
EASY,Remove Duplicates from Sorted Array,41.2,0.5945073984213194,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
HARD,Word Break II,35.2,0.5293054213916105,https://leetcode.com/problems/word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
HARD,Sliding Window Median,35.2,0.3868060246831565,https://leetcode.com/problems/sliding-window-median,"Array, Hash Table, Sliding Window, Heap (Priority Queue)"
MEDIUM,Minesweeper,35.2,0.6774623867813696,https://leetcode.com/problems/minesweeper,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Search in Rotated Sorted Array,35.2,0.4232396508383484,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Multiply Strings,35.2,0.4183027909548512,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
EASY,Flood Fill,35.2,0.6582849719954111,https://leetcode.com/problems/flood-fill,"Array, Depth-First Search, Breadth-First Search, Matrix"
EASY,Plus One,35.2,0.4704645158930268,https://leetcode.com/problems/plus-one,"Array, Math"
MEDIUM,Non-overlapping Intervals,35.2,0.5494387133189621,https://leetcode.com/problems/non-overlapping-intervals,"Array, Dynamic Programming, Greedy, Sorting"
MEDIUM,Insert Delete GetRandom O(1),35.2,0.5490693218065985,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Meeting Rooms II,35.2,0.519155338047899,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Longest Consecutive Sequence,35.2,0.47190632479749517,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
MEDIUM,Sort Colors,35.2,0.6636206582225733,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
HARD,Median of Two Sorted Arrays,35.2,0.429393695737594,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Longest Substring Without Repeating Characters,35.2,0.3632668506547916,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Word Break,35.2,0.4787520054450873,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,Diagonal Traverse II,35.2,0.577147568253783,https://leetcode.com/problems/diagonal-traverse-ii,"Array, Sorting, Heap (Priority Queue)"
EASY,Missing Ranges,35.2,0.3498456055087059,https://leetcode.com/problems/missing-ranges,Array
EASY,Find Customer Referee,27.0,0.7160244833030334,https://leetcode.com/problems/find-customer-referee,Database
MEDIUM,Check Completeness of a Binary Tree,27.0,0.580393205662229,https://leetcode.com/problems/check-completeness-of-a-binary-tree,"Tree, Breadth-First Search, Binary Tree"
EASY,Palindrome Number,27.0,0.5865359955319197,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Accounts Merge,27.0,0.5887667076183465,https://leetcode.com/problems/accounts-merge,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting"
MEDIUM,Balance a Binary Search Tree,27.0,0.8467931151276288,https://leetcode.com/problems/balance-a-binary-search-tree,"Divide and Conquer, Greedy, Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Construct Binary Tree from String,27.0,0.5798745211375226,https://leetcode.com/problems/construct-binary-tree-from-string,"String, Stack, Tree, Depth-First Search, Binary Tree"
EASY,Toeplitz Matrix,27.0,0.6956063237586284,https://leetcode.com/problems/toeplitz-matrix,"Array, Matrix"
EASY,Check if One String Swap Can Make Strings Equal,27.0,0.4946871351172619,https://leetcode.com/problems/check-if-one-string-swap-can-make-strings-equal,"Hash Table, String, Counting"
MEDIUM,Cutting Ribbons,27.0,0.5173833547775445,https://leetcode.com/problems/cutting-ribbons,"Array, Binary Search"
HARD,Word Ladder,27.0,0.41846764065379655,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
