Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Minimum Remove to Make Valid Parentheses,100.0,0.7021813233962461,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses,"String, Stack"
MEDIUM,Binary Tree Vertical Order Traversal,99.3,0.5656256331650766,https://leetcode.com/problems/binary-tree-vertical-order-traversal,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
EASY,Valid Word Abbreviation,98.4,0.3661202043910849,https://leetcode.com/problems/valid-word-abbreviation,"Two Pointers, String"
EASY,Valid Palindrome II,95.8,0.4247643132821805,https://leetcode.com/problems/valid-palindrome-ii,"Two Pointers, String, Greedy"
MEDIUM,Kth Largest Element in an Array,94.8,0.6762046146263659,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Basic Calculator II,91.5,0.4525727790930288,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
EASY,Merge Sorted Array,90.8,0.5225683871742244,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Lowest Common Ancestor of a Binary Tree III,90.1,0.8189684562161684,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii,"Hash Table, Two Pointers, Tree, Binary Tree"
MEDIUM,Find Peak Element,89.4,0.46335509327822505,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,Random Pick with Weight,88.5,0.4820817185952007,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
MEDIUM,Nested List Weight Sum,87.2,0.8517364406270648,https://leetcode.com/problems/nested-list-weight-sum,"Depth-First Search, Breadth-First Search"
MEDIUM,Simplify Path,86.9,0.4659588384849148,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Lowest Common Ancestor of a Binary Tree,86.9,0.656696581898547,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
EASY,Diameter of Binary Tree,86.7,0.6275677346995255,https://leetcode.com/problems/diameter-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Subarray Sum Equals K,86.4,0.44931294221552387,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Buildings With an Ocean View,85.3,0.8051517608367972,https://leetcode.com/problems/buildings-with-an-ocean-view,"Array, Stack, Monotonic Stack"
MEDIUM,"Pow(x, n)",82.1,0.36477414313789447,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Dot Product of Two Sparse Vectors,81.4,0.8990960800276102,https://leetcode.com/problems/dot-product-of-two-sparse-vectors,"Array, Hash Table, Two Pointers, Design"
EASY,Valid Palindrome,80.7,0.5015482365524061,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Shortest Path in Binary Matrix,78.8,0.4915708785069427,https://leetcode.com/problems/shortest-path-in-binary-matrix,"Array, Breadth-First Search, Matrix"
MEDIUM,Top K Frequent Elements,78.8,0.6408010960254608,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Sum Root to Leaf Numbers,78.4,0.6788846173944515,https://leetcode.com/problems/sum-root-to-leaf-numbers,"Tree, Depth-First Search, Binary Tree"
EASY,Moving Average from Data Stream,78.4,0.7958752895040448,https://leetcode.com/problems/moving-average-from-data-stream,"Array, Design, Queue, Data Stream"
MEDIUM,Interval List Intersections,78.0,0.7245817856967963,https://leetcode.com/problems/interval-list-intersections,"Array, Two Pointers, Line Sweep"
MEDIUM,LRU Cache,76.7,0.4443099993738651,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Binary Tree Right Side View,76.7,0.6563558604499753,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Copy List with Random Pointer,76.3,0.5950407415071429,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
