Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Merge Sorted Array,87.3,0.5225683871742244,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Find Peak Element,87.0,0.46335509327822505,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,Simplify Path,84.3,0.4659588384849148,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,"Pow(x, n)",82.4,0.36477414313789447,https://leetcode.com/problems/powx-n,"Math, Recursion"
EASY,Valid Palindrome,79.4,0.50154829986792,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Merge Intervals,77.1,0.48806475623614565,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Copy List with Random Pointer,76.5,0.5950407415071429,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
EASY,Two Sum,76.5,0.5507379576737024,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,LRU Cache,76.3,0.4443099993738651,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Sum Root to Leaf Numbers,75.2,0.6788846173944515,https://leetcode.com/problems/sum-root-to-leaf-numbers,"Tree, Depth-First Search, Binary Tree"
HARD,Merge k Sorted Lists,73.2,0.5579527291964019,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Next Permutation,71.1,0.423240509456743,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
HARD,Valid Number,67.9,0.2110761208014496,https://leetcode.com/problems/valid-number,String
EASY,Best Time to Buy and Sell Stock,67.9,0.5476981855215786,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Clone Graph,65.9,0.6119109626062601,https://leetcode.com/problems/clone-graph,"Hash Table, Depth-First Search, Breadth-First Search, Graph"
MEDIUM,Find First and Last Position of Element in Sorted Array,64.4,0.46149691260376985,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
HARD,Minimum Window Substring,62.8,0.4466497179189848,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
EASY,Longest Common Prefix,62.8,0.4488789191360456,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,3Sum,62.3,0.3642306605668603,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Valid Parentheses,60.0,0.41845184440356065,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Remove Nth Node From End of List,59.5,0.48105414743517527,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
MEDIUM,Add Two Numbers,58.5,0.4543965080767522,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Binary Search Tree Iterator,57.9,0.7424899300788685,https://leetcode.com/problems/binary-search-tree-iterator,"Stack, Tree, Design, Binary Search Tree, Binary Tree, Iterator"
EASY,Missing Ranges,56.8,0.3498456055087059,https://leetcode.com/problems/missing-ranges,Array
MEDIUM,Subsets,56.8,0.8025894997461674,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Word Break,54.3,0.4787520054450873,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
EASY,Palindrome Number,53.6,0.5865359955319197,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Longest Substring Without Repeating Characters,52.9,0.3632668506547916,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Median of Two Sorted Arrays,52.1,0.429393695737594,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Longest Palindromic Substring,52.1,0.35298351728815647,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Letter Combinations of a Phone Number,49.7,0.6308014642059613,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,String to Integer (atoi),49.7,0.18717126532626452,https://leetcode.com/problems/string-to-integer-atoi,String
EASY,Majority Element,48.8,0.6549769797512746,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
HARD,Word Ladder,48.8,0.41846764065379655,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
EASY,Remove Duplicates from Sorted Array,48.8,0.5945073984213194,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
HARD,Trapping Rain Water,47.9,0.6428754576577578,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Populating Next Right Pointers in Each Node,47.9,0.6484020545884662,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Roman to Integer,46.9,0.6415382480497384,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Generate Parentheses,45.9,0.7652987331459865,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Longest Consecutive Sequence,44.8,0.47190632479749517,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
MEDIUM,Sort Colors,43.6,0.6636206582225733,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
HARD,Binary Tree Maximum Path Sum,43.6,0.4090446420757854,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
EASY,Plus One,43.6,0.4704645158930268,https://leetcode.com/problems/plus-one,"Array, Math"
MEDIUM,Rotate Image,42.3,0.7717074942399478,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Multiply Strings,42.3,0.4183027909548512,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
EASY,Merge Two Sorted Lists,42.3,0.662895049775997,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Group Anagrams,41.0,0.7033699077307562,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Maximum Subarray,41.0,0.5173369031138303,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Reverse Integer,39.6,0.2986430694213895,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Spiral Matrix,39.6,0.5293292273196886,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Search in Rotated Sorted Array,39.6,0.4232396508383484,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
EASY,Climbing Stairs,39.6,0.5334306510493801,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
HARD,Word Break II,38.0,0.5293054213916105,https://leetcode.com/problems/word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
MEDIUM,House Robber,38.0,0.5198829807257334,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Count and Say,38.0,0.5789703915376176,https://leetcode.com/problems/count-and-say,String
MEDIUM,Unique Paths,38.0,0.6540336762085056,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
MEDIUM,3Sum Closest,36.3,0.46598247796697967,https://leetcode.com/problems/3sum-closest,"Array, Two Pointers, Sorting"
MEDIUM,Binary Tree Zigzag Level Order Traversal,36.3,0.6100934725237581,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
EASY,Pascal's Triangle,36.3,0.7642548455060169,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
EASY,Add Binary,36.3,0.5519212953877572,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
EASY,Remove Element,34.4,0.594380280067151,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
MEDIUM,Reverse Words in a String,32.3,0.5006634850103071,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
MEDIUM,Combination Sum II,32.3,0.5721005932784472,https://leetcode.com/problems/combination-sum-ii,"Array, Backtracking"
EASY,Single Number,32.3,0.7533124786878482,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
MEDIUM,Divide Two Integers,32.3,0.18146015060319276,https://leetcode.com/problems/divide-two-integers,"Math, Bit Manipulation"
MEDIUM,Two Sum II - Input Array Is Sorted,29.9,0.6287752957485065,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,"Array, Two Pointers, Binary Search"
HARD,Regular Expression Matching,29.9,0.2897187162810312,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
HARD,Largest Rectangle in Histogram,29.9,0.46599450145130683,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
EASY,Find the Index of the First Occurrence in a String,29.9,0.4446359717405063,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
MEDIUM,Palindrome Partitioning,29.9,0.7138387050735545,https://leetcode.com/problems/palindrome-partitioning,"String, Dynamic Programming, Backtracking"
MEDIUM,Find Minimum in Rotated Sorted Array,29.9,0.5215056217210431,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,4Sum,27.3,0.37601615398210986,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
MEDIUM,Container With Most Water,27.3,0.5717349963766004,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Valid Sudoku,27.3,0.6165258867173954,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Set Matrix Zeroes,27.3,0.5893209483631097,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
MEDIUM,Jump Game,27.3,0.39113621520091657,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Word Search,27.3,0.4462624819827438,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Insert Interval,27.3,0.42944184191386364,https://leetcode.com/problems/insert-interval,Array
MEDIUM,Flatten Binary Tree to Linked List,27.3,0.6768333214668846,https://leetcode.com/problems/flatten-binary-tree-to-linked-list,"Linked List, Stack, Tree, Depth-First Search, Binary Tree"
