Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,"Pow(x, n)",88.9,0.36477414313789447,https://leetcode.com/problems/powx-n,"Math, Recursion"
EASY,Merge Sorted Array,88.5,0.5225683871742244,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Simplify Path,87.0,0.4659588384849148,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Merge Intervals,86.6,0.48806483972644993,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,3Sum,84.6,0.3642306605668603,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Two Sum,83.3,0.5507379576737024,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Next Permutation,79.2,0.423240509456743,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
HARD,Merge k Sorted Lists,74.7,0.5579527291964019,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Find First and Last Position of Element in Sorted Array,73.2,0.46149691260376985,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
EASY,Valid Parentheses,73.2,0.4184518138937079,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Letter Combinations of a Phone Number,69.4,0.6308014642059613,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
HARD,Valid Number,68.9,0.2110761208014496,https://leetcode.com/problems/valid-number,String
EASY,Longest Common Prefix,67.8,0.4488789191360456,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
HARD,Trapping Rain Water,67.3,0.6428754576577578,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Add Two Numbers,65.2,0.4543965080767522,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Subsets,64.9,0.8025894997461674,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Longest Substring Without Repeating Characters,64.2,0.3632668506547916,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Roman to Integer,62.9,0.6415382480497384,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
HARD,Minimum Window Substring,62.9,0.4466497179189848,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,String to Integer (atoi),61.8,0.18717126532626452,https://leetcode.com/problems/string-to-integer-atoi,String
EASY,Best Time to Buy and Sell Stock,61.8,0.5476981855215786,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Remove Nth Node From End of List,60.6,0.48105414743517527,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
MEDIUM,Longest Palindromic Substring,59.8,0.35298351728815647,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Search in Rotated Sorted Array,59.4,0.4232396508383484,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
HARD,Median of Two Sorted Arrays,58.0,0.429393695737594,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Container With Most Water,57.1,0.5717349963766004,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Count and Say,56.1,0.5789703915376176,https://leetcode.com/problems/count-and-say,String
EASY,Remove Duplicates from Sorted Array,55.0,0.5945073984213194,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Climbing Stairs,55.0,0.5334306510493801,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Merge Two Sorted Lists,54.5,0.662895049775997,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Palindrome Number,54.5,0.5865359955319197,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Set Matrix Zeroes,52.7,0.5893209483631097,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
MEDIUM,Reverse Integer,52.7,0.2986430694213895,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Group Anagrams,52.7,0.7033699077307562,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Flatten Binary Tree to Linked List,52.1,0.6768333214668846,https://leetcode.com/problems/flatten-binary-tree-to-linked-list,"Linked List, Stack, Tree, Depth-First Search, Binary Tree"
MEDIUM,Maximum Subarray,52.1,0.5173369031138303,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Spiral Matrix,49.4,0.5293292273196886,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Word Search,49.4,0.4462624819827438,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
EASY,Add Binary,49.4,0.5519212953877572,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
HARD,Regular Expression Matching,47.9,0.2897187162810312,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
