Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Merge Sorted Array,89.6,0.5225683871742244,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,"Pow(x, n)",88.0,0.36477414313789447,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Simplify Path,87.6,0.4659588384849148,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Merge Intervals,84.8,0.48806483972644993,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Two Sum,82.6,0.5507379391732659,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,3Sum,79.8,0.3642306306614018,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Next Permutation,77.7,0.423240509456743,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
HARD,Merge k Sorted Lists,76.7,0.5579527291964019,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Find First and Last Position of Element in Sorted Array,71.8,0.46149691260376985,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
EASY,Valid Parentheses,71.5,0.41845178338385963,https://leetcode.com/problems/valid-parentheses,"String, Stack"
HARD,Valid Number,70.6,0.2110761208014496,https://leetcode.com/problems/valid-number,String
EASY,Longest Common Prefix,68.0,0.4488789191360456,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Letter Combinations of a Phone Number,66.7,0.630801560094736,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
HARD,Minimum Window Substring,66.7,0.4466497179189848,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Subsets,65.6,0.8025894997461674,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Add Two Numbers,64.9,0.4543965080767522,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
