Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.5507379625389874,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Merge Strings Alternately,85.0,0.8181647377753473,https://leetcode.com/problems/merge-strings-alternately,"Two Pointers, String"
EASY,Merge Sorted Array,84.0,0.5225683816898407,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Create Hello World Function,81.7,0.8182506138241885,https://leetcode.com/problems/create-hello-world-function,
EASY,Best Time to Buy and Sell Stock,79.2,0.5476980767748527,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Add Two Numbers,73.2,0.454396553222087,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
EASY,Recyclable and Low Fat Products,73.2,0.89376348169127,https://leetcode.com/problems/recyclable-and-low-fat-products,Database
EASY,Palindrome Number,73.2,0.5865360087014019,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,LRU Cache,71.4,0.44431012363701083,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Substring Without Repeating Characters,71.4,0.3632668554873839,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Majority Element,71.4,0.6549766560560076,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
EASY,Longest Common Prefix,69.5,0.44887905683050566,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Merge Intervals,65.0,0.4880648475123527,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Climbing Stairs,62.4,0.5334306421245619,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,3Sum,62.4,0.36423051103961707,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,Median of Two Sorted Arrays,62.4,0.42939363827074994,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
HARD,Trapping Rain Water,62.4,0.6428753017089767,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Search Insert Position,59.4,0.48338374370417647,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
MEDIUM,Maximum Subarray,59.4,0.5173369560272215,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Single Number,59.4,0.7533124224816593,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
MEDIUM,Number of Islands,59.4,0.6158088481082719,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Reverse Linked List,59.4,0.7865003484224354,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Subarray Sum Equals K,59.4,0.44931294221552387,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
EASY,Remove Element,59.4,0.594380162102366,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
MEDIUM,Sort Colors,59.4,0.6636207416579357,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Top K Frequent Elements,56.0,0.6408012013631335,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
EASY,Valid Parentheses,56.0,0.4184517461473161,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Group Anagrams,56.0,0.7033700829574029,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Merge Two Sorted Lists,56.0,0.6628951851492473,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
