Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.5507379927222766,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Merge Sorted Array,82.9,0.5225683816898407,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Best Time to Buy and Sell Stock,76.7,0.5476980767748527,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,LRU Cache,76.0,0.44431012363701083,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Add Two Numbers,74.7,0.454396553222087,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Longest Substring Without Repeating Characters,74.0,0.3632668882691999,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Trapping Rain Water,71.8,0.6428753017089767,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Number of Islands,69.4,0.6158088481082719,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Majority Element,69.4,0.6549766560560076,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
MEDIUM,Longest Palindromic Substring,65.5,0.3529835796249885,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Palindrome Number,65.5,0.5865360087014019,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Group Anagrams,64.4,0.7033701413662389,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Longest Common Prefix,64.4,0.44887905683050566,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
HARD,Median of Two Sorted Arrays,63.3,0.42939363827074994,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Merge Intervals,63.3,0.4880648475123527,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,House Robber,62.1,0.519883064529942,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
EASY,Climbing Stairs,62.1,0.5334307044034291,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
