Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.5507379927222766,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Merge Sorted Array,82.2,0.5225683816898407,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,80.5,0.3632668882691999,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Add Two Numbers,78.2,0.454396553222087,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
HARD,Trapping Rain Water,77.6,0.6428753017089767,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Longest Palindromic Substring,76.6,0.3529835796249885,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Valid Parentheses,74.9,0.41845171563748834,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Maximum Subarray,74.0,0.5173369560272215,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Merge Intervals,73.6,0.4880648475123527,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Roman to Integer,73.3,0.6415381287729184,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
HARD,Reverse Nodes in k-Group,73.0,0.6204624534215137,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,3Sum,71.3,0.3642304811341831,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,Median of Two Sorted Arrays,71.3,0.42939363827074994,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Spiral Matrix,70.9,0.5293292273196886,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Group Anagrams,70.9,0.7033701413662389,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Container With Most Water,69.0,0.5717349748819156,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Merge Two Sorted Lists,69.0,0.6628951851492473,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Search in Rotated Sorted Array,68.1,0.4232397421055795,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Rotate Image,66.8,0.7717075756878434,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
HARD,Merge k Sorted Lists,66.4,0.5579528330363718,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
EASY,Climbing Stairs,66.4,0.5334307044034291,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Palindrome Number,65.4,0.5865359513308419,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Letter Combinations of a Phone Number,65.4,0.6308016839281684,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
EASY,Longest Common Prefix,64.4,0.44887905683050566,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Minimum Path Sum,63.3,0.6584778180276342,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
MEDIUM,Set Matrix Zeroes,62.8,0.5893209483631097,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
MEDIUM,Reverse Integer,62.2,0.2986431235283417,https://leetcode.com/problems/reverse-integer,Math
EASY,Remove Duplicates from Sorted Array,61.6,0.5945074427312362,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Generate Parentheses,61.0,0.7652982888162224,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Sort Colors,60.4,0.6636207416579357,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Word Search,59.1,0.4462623818840988,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Next Permutation,56.9,0.423240509456743,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
HARD,Largest Rectangle in Histogram,56.1,0.46599452979030864,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
HARD,Regular Expression Matching,56.1,0.2897188257598535,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Valid Sudoku,55.3,0.6165261376179263,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
HARD,First Missing Positive,55.3,0.4063430766564612,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Jump Game,54.5,0.39113622224358663,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
EASY,Remove Element,53.6,0.594380162102366,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
MEDIUM,String to Integer (atoi),53.6,0.18717137188755856,https://leetcode.com/problems/string-to-integer-atoi,String
MEDIUM,Binary Tree Zigzag Level Order Traversal,52.6,0.6100932081428964,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Jump Game II,51.7,0.41138459817569833,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Remove Nth Node From End of List,51.7,0.48105414743517527,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
MEDIUM,Combination Sum,51.7,0.7393128715843367,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
