Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Best Time to Buy and Sell Stock,100.0,0.5476983765752247,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Merge Intervals,89.4,0.4880655426823789,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Two Sum,89.4,0.5507384079422633,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Valid Parentheses,78.9,0.4184518013986907,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Jump Game,78.9,0.3911360915057918,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Longest Substring Without Repeating Characters,78.9,0.3632673205188923,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,LRU Cache,78.9,0.4443107452209858,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Minimum Cost to Move Chips to The Same Position,71.4,0.7206209531790927,https://leetcode.com/problems/minimum-cost-to-move-chips-to-the-same-position,"Array, Math, Greedy"
HARD,Minimum Number of Refueling Stops,71.4,0.4040695614250279,https://leetcode.com/problems/minimum-number-of-refueling-stops,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)"
MEDIUM,Longest Palindromic Substring,71.4,0.3529838232226668,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Find The Original Array of Prefix Xor,71.4,0.8806034413162469,https://leetcode.com/problems/find-the-original-array-of-prefix-xor,"Array, Bit Manipulation"
HARD,First Missing Positive,71.4,0.4063426612974502,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
HARD,Count of Range Sum,60.9,0.3662059128190325,https://leetcode.com/problems/count-of-range-sum,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set"
MEDIUM,Minimum Number of Lines to Cover Points,60.9,0.42696016008732035,https://leetcode.com/problems/minimum-number-of-lines-to-cover-points,"Array, Hash Table, Math, Dynamic Programming, Backtracking, Bit Manipulation, Geometry, Bitmask"
HARD,Find the Longest Valid Obstacle Course at Each Position,60.9,0.6282704108791065,https://leetcode.com/problems/find-the-longest-valid-obstacle-course-at-each-position,"Array, Binary Search, Binary Indexed Tree"
MEDIUM,Best Team With No Conflicts,60.9,0.5037733619219665,https://leetcode.com/problems/best-team-with-no-conflicts,"Array, Dynamic Programming, Sorting"
EASY,Find Subarrays With Equal Sum,60.9,0.6592230958285605,https://leetcode.com/problems/find-subarrays-with-equal-sum,"Array, Hash Table"
EASY,The Employee That Worked on the Longest Task,60.9,0.5064382721686606,https://leetcode.com/problems/the-employee-that-worked-on-the-longest-task,Array
MEDIUM,Subarray Sum Equals K,60.9,0.44931310925440554,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
EASY,Count Binary Substrings,60.9,0.6582761050252741,https://leetcode.com/problems/count-binary-substrings,"Two Pointers, String"
EASY,Next Greater Element I,60.9,0.7392600600434117,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack"
MEDIUM,Unique Paths,60.9,0.6540335163803137,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Sort Colors,60.9,0.6636210799315214,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Number of Closed Islands,60.9,0.6665858030431677,https://leetcode.com/problems/number-of-closed-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,Count of Integers,60.9,0.35204309478620066,https://leetcode.com/problems/count-of-integers,"Math, String, Dynamic Programming"
MEDIUM,Reverse Words in a String,60.9,0.5006660154720163,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
EASY,Subtree of Another Tree,60.9,0.4948131829122244,https://leetcode.com/problems/subtree-of-another-tree,"Tree, Depth-First Search, String Matching, Binary Tree, Hash Function"
EASY,Reverse String,60.9,0.7951850212423244,https://leetcode.com/problems/reverse-string,"Two Pointers, String"
MEDIUM,Steps to Make Array Non-decreasing,60.9,0.22837633455938286,https://leetcode.com/problems/steps-to-make-array-non-decreasing,"Array, Linked List, Stack, Monotonic Stack"
MEDIUM,Lowest Common Ancestor of a Binary Tree,60.9,0.6566973911361085,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,House Robber,60.9,0.519882296273191,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Copy List with Random Pointer,60.9,0.5950411609797426,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
MEDIUM,Best Time to Buy and Sell Stock II,60.9,0.6885634945046377,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Decode Ways,60.9,0.3610500594532455,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
EASY,Sqrt(x),60.9,0.4002710033328747,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
MEDIUM,Rotate List,60.9,0.3940258818260374,https://leetcode.com/problems/rotate-list,"Linked List, Two Pointers"
MEDIUM,Maximum Subarray,60.9,0.5173373717312947,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
HARD,Count Subarrays With Fixed Bounds,60.9,0.6772227032141168,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,"Array, Queue, Sliding Window, Monotonic Queue"
