Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Best Time to Buy and Sell Stock,100.0,0.5476983765752247,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Best Team With No Conflicts,88.6,0.5037733619219665,https://leetcode.com/problems/best-team-with-no-conflicts,"Array, Dynamic Programming, Sorting"
MEDIUM,Find The Original Array of Prefix Xor,88.6,0.8806034413162469,https://leetcode.com/problems/find-the-original-array-of-prefix-xor,"Array, Bit Manipulation"
EASY,Minimum Cost to Move Chips to The Same Position,88.6,0.7206209531790927,https://leetcode.com/problems/minimum-cost-to-move-chips-to-the-same-position,"Array, Math, Greedy"
EASY,The Employee That Worked on the Longest Task,86.3,0.5064382721686606,https://leetcode.com/problems/the-employee-that-worked-on-the-longest-task,Array
EASY,Find Subarrays With Equal Sum,86.3,0.6592230958285605,https://leetcode.com/problems/find-subarrays-with-equal-sum,"Array, Hash Table"
HARD,Find the Longest Valid Obstacle Course at Each Position,86.3,0.6282704108791065,https://leetcode.com/problems/find-the-longest-valid-obstacle-course-at-each-position,"Array, Binary Search, Binary Indexed Tree"
MEDIUM,Minimum Number of Lines to Cover Points,86.3,0.42696016008732035,https://leetcode.com/problems/minimum-number-of-lines-to-cover-points,"Array, Hash Table, Math, Dynamic Programming, Backtracking, Bit Manipulation, Geometry, Bitmask"
EASY,Two Sum,78.1,0.5507384079422633,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Merge Intervals,74.5,0.4880655426823789,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Count Subarrays With Fixed Bounds,70.2,0.6772227032141168,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,"Array, Queue, Sliding Window, Monotonic Queue"
MEDIUM,Copy List with Random Pointer,65.1,0.5950411609797426,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
MEDIUM,Longest Substring Without Repeating Characters,65.1,0.3632672831138727,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,LRU Cache,65.1,0.4443107452209858,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Valid Parentheses,65.1,0.4184517708890569,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Jump Game,65.1,0.3911360915057918,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
HARD,Minimum Number of Refueling Stops,58.4,0.4040695614250279,https://leetcode.com/problems/minimum-number-of-refueling-stops,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)"
MEDIUM,Longest Palindromic Substring,58.4,0.3529838232226668,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
HARD,First Missing Positive,58.4,0.4063426612974502,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Kth Largest Element in an Array,58.4,0.6762037623396214,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
HARD,Count of Integers,49.1,0.35204309478620066,https://leetcode.com/problems/count-of-integers,"Math, String, Dynamic Programming"
EASY,Remove Duplicates from Sorted Array,49.1,0.5945075482142833,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Next Greater Element I,49.1,0.7392600600434117,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack"
MEDIUM,3Sum,49.1,0.3642312021787483,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Contiguous Array,49.1,0.489314156401685,https://leetcode.com/problems/contiguous-array,"Array, Hash Table, Prefix Sum"
HARD,Longest Valid Parentheses,49.1,0.35694499667833895,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack"
HARD,Minimum Number of Taps to Open to Water a Garden,49.1,0.5070611850526068,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
HARD,Count of Range Sum,49.1,0.3662059128190325,https://leetcode.com/problems/count-of-range-sum,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set"
MEDIUM,Subarray Sum Equals K,49.1,0.44931310925440554,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
EASY,Merge Two Sorted Lists,49.1,0.6628953741335585,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Group Anagrams,49.1,0.7033699395969084,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Meeting Rooms II,49.1,0.5191547661608963,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
HARD,Subarrays with K Different Integers,49.1,0.6508083495467054,https://leetcode.com/problems/subarrays-with-k-different-integers,"Array, Hash Table, Sliding Window, Counting"
EASY,Reverse String,49.1,0.7951850212423244,https://leetcode.com/problems/reverse-string,"Two Pointers, String"
EASY,Count Binary Substrings,49.1,0.6582761050252741,https://leetcode.com/problems/count-binary-substrings,"Two Pointers, String"
EASY,Subtree of Another Tree,49.1,0.4948131829122244,https://leetcode.com/problems/subtree-of-another-tree,"Tree, Depth-First Search, String Matching, Binary Tree, Hash Function"
MEDIUM,Number of Closed Islands,49.1,0.6665858030431677,https://leetcode.com/problems/number-of-closed-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Steps to Make Array Non-decreasing,49.1,0.22837633455938286,https://leetcode.com/problems/steps-to-make-array-non-decreasing,"Array, Linked List, Stack, Monotonic Stack"
MEDIUM,Lowest Common Ancestor of a Binary Tree,49.1,0.6566973911361085,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,House Robber,49.1,0.519882296273191,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Reverse Words in a String,49.1,0.5006660154720163,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
MEDIUM,Best Time to Buy and Sell Stock II,49.1,0.6885634945046377,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Decode Ways,49.1,0.3610500594532455,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
MEDIUM,Sort Colors,49.1,0.6636210799315214,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
EASY,Sqrt(x),49.1,0.4002710033328747,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
MEDIUM,Rotate List,49.1,0.3940258818260374,https://leetcode.com/problems/rotate-list,"Linked List, Two Pointers"
MEDIUM,Maximum Subarray,49.1,0.5173374246445591,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Letter Combinations of a Phone Number,49.1,0.630802670755703,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Unique Paths,49.1,0.6540335163803137,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
