Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Maximum Earnings From Taxi,100.0,0.44553291536050155,https://leetcode.com/problems/maximum-earnings-from-taxi,"Array, Hash Table, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Asteroid Collision,83.5,0.4510767903592822,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
HARD,Trapping Rain Water,71.3,0.6428748683711646,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,LRU Cache,71.3,0.44431181403736075,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Largest Number,71.3,0.40860620343184306,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
MEDIUM,3Sum,71.3,0.3642318335003621,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,First Missing Positive,71.3,0.4063431032774664,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
HARD,Largest Rectangle in Histogram,71.3,0.4659928431424838,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
EASY,Best Time to Buy and Sell Stock,61.7,0.5476984175761835,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Rotting Oranges,61.7,0.5596875625366657,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Wiggle Sort,61.7,0.6810139557244778,https://leetcode.com/problems/wiggle-sort,"Array, Greedy, Sorting"
MEDIUM,Minimum Time to Collect All Apples in a Tree,61.7,0.6282789389769297,https://leetcode.com/problems/minimum-time-to-collect-all-apples-in-a-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search"
MEDIUM,Group Anagrams,61.7,0.7033700365062675,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Lowest Common Ancestor of a Binary Tree,61.7,0.6566994068207337,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
EASY,Repeated Substring Pattern,61.7,0.4662240636557581,https://leetcode.com/problems/repeated-substring-pattern,"String, String Matching"
MEDIUM,Maximal Square,61.7,0.4822809470584508,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
HARD,Word Break II,61.7,0.5293088153153647,https://leetcode.com/problems/word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
MEDIUM,Flatten Binary Tree to Linked List,61.7,0.6768326866640542,https://leetcode.com/problems/flatten-binary-tree-to-linked-list,"Linked List, Stack, Tree, Depth-First Search, Binary Tree"
MEDIUM,Target Sum,61.7,0.5031067797933216,https://leetcode.com/problems/target-sum,"Array, Dynamic Programming, Backtracking"
