Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Merge Intervals,100.0,0.4880655232188065,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Random Pick with Weight,90.8,0.4820830430913521,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
HARD,First Missing Positive,88.4,0.40634301339349543,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
EASY,Logger Rate Limiter,82.6,0.7635642018282964,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
MEDIUM,Flatten Nested List Iterator,82.6,0.6515950546651197,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
MEDIUM,Time Based Key-Value Store,79.1,0.4936199637111147,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Top K Frequent Elements,79.1,0.6408020932560018,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Meeting Rooms II,75.0,0.5191547661608963,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,LRU Cache,75.0,0.4443104468827379,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Insert Delete GetRandom O(1),69.9,0.5490690532656376,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Kth Largest Element in an Array,63.3,0.6762036989000015,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Daily Temperatures,63.3,0.6696879068677921,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Spiral Matrix,63.3,0.5293294861000031,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Summary Ranges,63.3,0.525608088788803,https://leetcode.com/problems/summary-ranges,Array
EASY,Best Time to Buy and Sell Stock,63.3,0.547698231031222,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Top K Frequent Words,63.3,0.5892386871724881,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
MEDIUM,Find Duplicate File in System,54.1,0.6759464818329718,https://leetcode.com/problems/find-duplicate-file-in-system,"Array, Hash Table, String"
MEDIUM,Course Schedule II,54.1,0.5263017521159113,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Minimum Remove to Make Valid Parentheses,54.1,0.7021814745339241,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses,"String, Stack"
EASY,Implement Queue using Stacks,54.1,0.6773487243241104,https://leetcode.com/problems/implement-queue-using-stacks,"Stack, Design, Queue"
EASY,Valid Parentheses,54.1,0.4184516044079303,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Longest Substring Without Repeating Characters,54.1,0.3632674369395297,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Search in Rotated Sorted Array,54.1,0.4232400926516318,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
HARD,Reconstruct Itinerary,54.1,0.4342853599010642,https://leetcode.com/problems/reconstruct-itinerary,"Depth-First Search, Graph, Eulerian Circuit"
MEDIUM,Rotate Array,54.1,0.4246125681625666,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
HARD,Text Justification,54.1,0.4709325342277451,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Rotate Image,54.1,0.7717078200311817,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
EASY,Contains Duplicate II,54.1,0.48127856127839214,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
