Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Merge Intervals,100.0,0.4880655232188065,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Meeting Rooms II,89.6,0.5191547661608963,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
HARD,First Missing Positive,87.8,0.40634301339349543,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
EASY,Logger Rate Limiter,85.9,0.7635642018282964,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
MEDIUM,Random Pick with Weight,83.8,0.4820830430913521,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
MEDIUM,LRU Cache,76.1,0.4443104468827379,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Top K Frequent Elements,76.1,0.6408020932560018,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Flatten Nested List Iterator,76.1,0.6515950546651197,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
EASY,Summary Ranges,72.7,0.525608088788803,https://leetcode.com/problems/summary-ranges,Array
MEDIUM,Time Based Key-Value Store,72.7,0.4936199637111147,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Insert Delete GetRandom O(1),63.9,0.5490690532656376,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
HARD,Reconstruct Itinerary,57.7,0.4342853599010642,https://leetcode.com/problems/reconstruct-itinerary,"Depth-First Search, Graph, Eulerian Circuit"
MEDIUM,Search in Rotated Sorted Array,57.7,0.4232400926516318,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Daily Temperatures,57.7,0.6696879068677921,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Kth Largest Element in an Array,57.7,0.6762036989000015,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Course Schedule II,57.7,0.5263017521159113,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Top K Frequent Words,57.7,0.5892386871724881,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
MEDIUM,Spiral Matrix,57.7,0.5293294861000031,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Best Time to Buy and Sell Stock,57.7,0.547698231031222,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Contains Duplicate II,48.9,0.48127856127839214,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
EASY,Valid Parentheses,48.9,0.4184516044079303,https://leetcode.com/problems/valid-parentheses,"String, Stack"
HARD,Number of Flowers in Full Bloom,48.9,0.5705492453710908,https://leetcode.com/problems/number-of-flowers-in-full-bloom,"Array, Hash Table, Binary Search, Sorting, Prefix Sum, Ordered Set"
EASY,Merge Sorted Array,48.9,0.5225683574349476,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Cache With Time Limit,48.9,0.7549734954786405,https://leetcode.com/problems/cache-with-time-limit,
MEDIUM,Coin Change,48.9,0.45813207779457465,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Word Break,48.9,0.47875218380231854,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,Longest Substring Without Repeating Characters,48.9,0.3632674369395297,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Minimum Remove to Make Valid Parentheses,48.9,0.7021814745339241,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses,"String, Stack"
EASY,Implement Queue using Stacks,48.9,0.6773487243241104,https://leetcode.com/problems/implement-queue-using-stacks,"Stack, Design, Queue"
MEDIUM,Rotate Array,48.9,0.42461265174916846,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,Find Duplicate File in System,48.9,0.6759464818329718,https://leetcode.com/problems/find-duplicate-file-in-system,"Array, Hash Table, String"
HARD,Text Justification,48.9,0.4709325342277451,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Rotate Image,48.9,0.7717078200311817,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Generate Parentheses,48.9,0.7652983483077801,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
