Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,First Missing Positive,100.0,0.4063421918370058,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
EASY,Two Sum,84.7,0.5507385486314618,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Check If Word Is Valid After Substitutions,84.7,0.6059548305939002,https://leetcode.com/problems/check-if-word-is-valid-after-substitutions,"String, Stack"
MEDIUM,Pacific Atlantic Water Flow,84.7,0.5691465973316736,https://leetcode.com/problems/pacific-atlantic-water-flow,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Car Fleet,84.7,0.5294768111290762,https://leetcode.com/problems/car-fleet,"Array, Stack, Sorting, Monotonic Stack"
MEDIUM,LRU Cache,84.7,0.4443108943898094,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Rotting Oranges,84.7,0.5596867189747665,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
HARD,Online Majority Element In Subarray,72.5,0.42200279502394106,https://leetcode.com/problems/online-majority-element-in-subarray,"Array, Binary Search, Design, Binary Indexed Tree, Segment Tree"
HARD,Reverse Nodes in k-Group,72.5,0.620463138604683,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Broken Calculator,72.5,0.5497359422108011,https://leetcode.com/problems/broken-calculator,"Math, Greedy"
MEDIUM,Maximum Sum of an Hourglass,72.5,0.7580736355472777,https://leetcode.com/problems/maximum-sum-of-an-hourglass,"Array, Matrix, Prefix Sum"
MEDIUM,Swap For Longest Repeated Character Substring,72.5,0.4368318338590699,https://leetcode.com/problems/swap-for-longest-repeated-character-substring,"Hash Table, String, Sliding Window"
MEDIUM,Longest Palindromic Substring,72.5,0.3529838855593192,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Partitioning Into Minimum Number Of Deci-Binary Numbers,72.5,0.8876803883132642,https://leetcode.com/problems/partitioning-into-minimum-number-of-deci-binary-numbers,"String, Greedy"
EASY,Best Time to Buy and Sell Stock,72.5,0.5476983417277067,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Grumpy Bookstore Owner,72.5,0.6410552934283159,https://leetcode.com/problems/grumpy-bookstore-owner,"Array, Sliding Window"
HARD,Delivering Boxes from Storage to Ports,72.5,0.39180497925311203,https://leetcode.com/problems/delivering-boxes-from-storage-to-ports,"Array, Dynamic Programming, Segment Tree, Queue, Heap (Priority Queue), Prefix Sum, Monotonic Queue"
MEDIUM,Detect Cycles in 2D Grid,72.5,0.49614139905402044,https://leetcode.com/problems/detect-cycles-in-2d-grid,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Maximum Product of Three Numbers,72.5,0.4524232930666796,https://leetcode.com/problems/maximum-product-of-three-numbers,"Array, Math, Sorting"
MEDIUM,Minimum Processing Time,72.5,0.6956656346749226,https://leetcode.com/problems/minimum-processing-time,"Array, Greedy, Sorting"
MEDIUM,Add Two Numbers,72.5,0.45439808101489754,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
EASY,Longest Common Prefix,72.5,0.4488793519217786,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Container With Most Water,72.5,0.5717353155814536,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Product of Array Except Self,72.5,0.6738342224272461,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Coin Change,72.5,0.45813218245345644,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,All Nodes Distance K in Binary Tree,72.5,0.6585740529583175,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,Sliding Window Maximum,72.5,0.4724674456414386,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,72.5,0.5669944968727209,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
EASY,Degree of an Array,72.5,0.5713919458681063,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
MEDIUM,Boundary of Binary Tree,72.5,0.46787119736548405,https://leetcode.com/problems/boundary-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Heaters,72.5,0.3940185763508764,https://leetcode.com/problems/heaters,"Array, Two Pointers, Binary Search, Sorting"
MEDIUM,Course Schedule,72.5,0.48476879827024805,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Word Ladder,72.5,0.4184674434956454,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Group Anagrams,72.5,0.7033701148221215,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Jump Game II,72.5,0.4113848395686171,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Amount of Time for Binary Tree to Be Infected,72.5,0.6318869294231363,https://leetcode.com/problems/amount-of-time-for-binary-tree-to-be-infected,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
