Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Car Fleet,100.0,0.5294768111290762,https://leetcode.com/problems/car-fleet,"Array, Stack, Sorting, Monotonic Stack"
MEDIUM,Check If Word Is Valid After Substitutions,100.0,0.6059548305939002,https://leetcode.com/problems/check-if-word-is-valid-after-substitutions,"String, Stack"
HARD,Delivering Boxes from Storage to Ports,97.5,0.39180497925311203,https://leetcode.com/problems/delivering-boxes-from-storage-to-ports,"Array, Dynamic Programming, Segment Tree, Queue, Heap (Priority Queue), Prefix Sum, Monotonic Queue"
MEDIUM,Minimum Processing Time,97.5,0.6956656346749226,https://leetcode.com/problems/minimum-processing-time,"Array, Greedy, Sorting"
MEDIUM,Swap For Longest Repeated Character Substring,97.5,0.4368318338590699,https://leetcode.com/problems/swap-for-longest-repeated-character-substring,"Hash Table, String, Sliding Window"
MEDIUM,Maximum Sum of an Hourglass,97.5,0.7580736355472777,https://leetcode.com/problems/maximum-sum-of-an-hourglass,"Array, Matrix, Prefix Sum"
MEDIUM,Detect Cycles in 2D Grid,97.5,0.49614139905402044,https://leetcode.com/problems/detect-cycles-in-2d-grid,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Grumpy Bookstore Owner,97.5,0.6410552934283159,https://leetcode.com/problems/grumpy-bookstore-owner,"Array, Sliding Window"
HARD,Online Majority Element In Subarray,97.5,0.42200279502394106,https://leetcode.com/problems/online-majority-element-in-subarray,"Array, Binary Search, Design, Binary Indexed Tree, Segment Tree"
MEDIUM,Partitioning Into Minimum Number Of Deci-Binary Numbers,97.5,0.8876803883132642,https://leetcode.com/problems/partitioning-into-minimum-number-of-deci-binary-numbers,"String, Greedy"
MEDIUM,Broken Calculator,97.5,0.5497359422108011,https://leetcode.com/problems/broken-calculator,"Math, Greedy"
HARD,First Missing Positive,88.1,0.4063421918370058,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,LRU Cache,79.3,0.4443108943898094,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Pacific Atlantic Water Flow,73.5,0.5691465973316736,https://leetcode.com/problems/pacific-atlantic-water-flow,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Group Anagrams,73.5,0.7033701148221215,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Rotting Oranges,73.5,0.5596867189747665,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Boundary of Binary Tree,73.5,0.46787119736548405,https://leetcode.com/problems/boundary-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Top K Frequent Elements,65.9,0.6408029102905588,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
