Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Search in Rotated Sorted Array,100.0,0.4232396555027368,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Rotate List,100.0,0.3940256152163199,https://leetcode.com/problems/rotate-list,"Linked List, Two Pointers"
MEDIUM,4Sum,93.7,0.37601615398210986,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
EASY,Two Sum,85.5,0.5507380058616134,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Unique Paths II,85.5,0.42759293119426867,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
MEDIUM,Dot Product of Two Sparse Vectors,74.1,0.8990963458650579,https://leetcode.com/problems/dot-product-of-two-sparse-vectors,"Array, Hash Table, Two Pointers, Design"
MEDIUM,Group Anagrams,74.1,0.7033699811854448,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Reverse Bits,74.1,0.6216915560375843,https://leetcode.com/problems/reverse-bits,"Divide and Conquer, Bit Manipulation"
MEDIUM,Remove Stones to Minimize the Total,74.1,0.6413420909509268,https://leetcode.com/problems/remove-stones-to-minimize-the-total,"Array, Greedy, Heap (Priority Queue)"
MEDIUM,Longest Substring Without Repeating Characters,74.1,0.36326698199128166,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Valid Parentheses,74.1,0.4184517326939315,https://leetcode.com/problems/valid-parentheses,"String, Stack"
HARD,Integer to English Words,74.1,0.3425973688509723,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
MEDIUM,String to Integer (atoi),74.1,0.1871713595677563,https://leetcode.com/problems/string-to-integer-atoi,String
MEDIUM,Restore IP Addresses,74.1,0.5238319309402614,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
MEDIUM,Maximum Subarray,74.1,0.5173370618539692,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Best Time to Buy and Sell Stock,74.1,0.5476980593511396,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
