Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Special Binary String,100.0,0.633049992796427,https://leetcode.com/problems/special-binary-string,"String, Recursion"
MEDIUM,Group Anagrams,79.7,0.7033699811854448,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,79.7,0.3632669960705072,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Reverse Bits,75.3,0.6216915560375843,https://leetcode.com/problems/reverse-bits,"Divide and Conquer, Bit Manipulation"
MEDIUM,Rotate List,75.3,0.3940256152163199,https://leetcode.com/problems/rotate-list,"Linked List, Two Pointers"
MEDIUM,Search in Rotated Sorted Array,75.3,0.4232396555027368,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Dot Product of Two Sparse Vectors,75.3,0.8990963458650579,https://leetcode.com/problems/dot-product-of-two-sparse-vectors,"Array, Hash Table, Two Pointers, Design"
MEDIUM,Unique Paths II,69.9,0.42759293119426867,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
EASY,Valid Parentheses,69.9,0.418451702184127,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Reverse Words in a String,69.9,0.5006642902576368,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
MEDIUM,4Sum,69.9,0.37601615398210986,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
MEDIUM,Remove Stones to Minimize the Total,69.9,0.6413420909509268,https://leetcode.com/problems/remove-stones-to-minimize-the-total,"Array, Greedy, Heap (Priority Queue)"
EASY,Two Sum,69.9,0.5507380058616134,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Number of Islands,69.9,0.6158089928119199,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,Merge k Sorted Lists,69.9,0.5579528330363718,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
EASY,Best Time to Buy and Sell Stock,69.9,0.5476980593511396,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Max Sum of a Pair With Equal Sum of Digits,63.0,0.6603021377453575,https://leetcode.com/problems/max-sum-of-a-pair-with-equal-sum-of-digits,"Array, Hash Table, Sorting, Heap (Priority Queue)"
