Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Last Stone Weight,100.0,0.6579792315865604,https://leetcode.com/problems/last-stone-weight,"Array, Heap (Priority Queue)"
MEDIUM,LRU Cache,85.9,0.4443100242806049,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Group Anagrams,74.8,0.7033699811854448,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Missing Number,74.8,0.6934723928402792,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
EASY,Best Time to Buy and Sell Stock,74.8,0.5476980593511396,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Two Sum,74.8,0.5507379873611884,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Add Two Numbers,71.7,0.45439671129839154,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
EASY,Move Zeroes,68.2,0.6254443679238937,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Minimum Operations to Reduce an Integer to 0,68.2,0.5668778099042334,https://leetcode.com/problems/minimum-operations-to-reduce-an-integer-to-0,"Dynamic Programming, Greedy, Bit Manipulation"
MEDIUM,Longest Substring Without Repeating Characters,68.2,0.36326697736793706,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Task Scheduler II,68.2,0.5364620089390731,https://leetcode.com/problems/task-scheduler-ii,"Array, Hash Table, Simulation"
MEDIUM,Number of Islands,68.2,0.6158089928119199,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,Trapping Rain Water,64.0,0.6428751630743017,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Merge Intervals,64.0,0.4880650144927678,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Fibonacci Number,64.0,0.7253651472515383,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
HARD,Find Median from Data Stream,64.0,0.5297426733978764,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Copy List with Random Pointer,64.0,0.5950406672934385,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
EASY,Reverse Bits,64.0,0.6216915560375843,https://leetcode.com/problems/reverse-bits,"Divide and Conquer, Bit Manipulation"
EASY,Intersection of Two Linked Lists,58.9,0.6025967730144908,https://leetcode.com/problems/intersection-of-two-linked-lists,"Hash Table, Linked List, Two Pointers"
HARD,Binary Tree Maximum Path Sum,58.9,0.4090452885213874,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Maximum Subarray,58.9,0.5173370618539692,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Search in Rotated Sorted Array,58.9,0.4232396026081868,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Generate Parentheses,58.9,0.7652984497625767,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Single Element in a Sorted Array,58.9,0.5915651550824035,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search"
MEDIUM,Validate Binary Search Tree,58.9,0.33980420123401667,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Rotate Image,58.9,0.7717077385834604,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
EASY,Valid Parentheses,58.9,0.418451702184127,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Climbing Stairs,58.9,0.5334308111113989,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Reverse Linked List II,58.9,0.4910144732935301,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
EASY,Majority Element,52.3,0.6549765654896998,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
MEDIUM,String to Integer (atoi),52.3,0.1871713595677563,https://leetcode.com/problems/string-to-integer-atoi,String
MEDIUM,Break a Palindrome,52.3,0.5153242459429931,https://leetcode.com/problems/break-a-palindrome,"String, Greedy"
MEDIUM,Implement Trie (Prefix Tree),52.3,0.674464083111349,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
MEDIUM,Insert Delete GetRandom O(1),52.3,0.5490690532656376,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
HARD,Max Points on a Line,52.3,0.2842576917602082,https://leetcode.com/problems/max-points-on-a-line,"Array, Hash Table, Math, Geometry"
EASY,Find Pivot Index,52.3,0.5989552769707727,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
EASY,Intersection of Two Arrays,52.3,0.7600191609864649,https://leetcode.com/problems/intersection-of-two-arrays,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
EASY,Design HashMap,52.3,0.6567427613309732,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
MEDIUM,Find The Original Array of Prefix Xor,52.3,0.8806034413162469,https://leetcode.com/problems/find-the-original-array-of-prefix-xor,"Array, Bit Manipulation"
MEDIUM,Dot Product of Two Sparse Vectors,52.3,0.8990963458650579,https://leetcode.com/problems/dot-product-of-two-sparse-vectors,"Array, Hash Table, Two Pointers, Design"
MEDIUM,Minimum Add to Make Parentheses Valid,52.3,0.7469907481614936,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid,"String, Stack, Greedy"
MEDIUM,Kth Largest Element in an Array,52.3,0.6762041114241103,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
HARD,Best Time to Buy and Sell Stock IV,52.3,0.4603548503998769,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,"Array, Dynamic Programming"
MEDIUM,Snapshot Array,52.3,0.36766582325639147,https://leetcode.com/problems/snapshot-array,"Array, Hash Table, Binary Search, Design"
MEDIUM,Reverse Integer,52.3,0.29864317763528553,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Find the Duplicate Number,52.3,0.6234291174328758,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
EASY,Single Number,52.3,0.753312475822824,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
MEDIUM,Shuffle an Array,52.3,0.5883885960363152,https://leetcode.com/problems/shuffle-an-array,"Array, Math, Design, Randomized"
EASY,Is Subsequence,52.3,0.4820858839741619,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming"
MEDIUM,Linked List Cycle II,43.1,0.5400135277360298,https://leetcode.com/problems/linked-list-cycle-ii,"Hash Table, Linked List, Two Pointers"
HARD,Delete Duplicate Folders in System,43.1,0.5489277652370204,https://leetcode.com/problems/delete-duplicate-folders-in-system,"Array, Hash Table, String, Trie, Hash Function"
EASY,Number of 1 Bits,43.1,0.737733566627171,https://leetcode.com/problems/number-of-1-bits,"Divide and Conquer, Bit Manipulation"
MEDIUM,Linked List Random Node,43.1,0.6377488880447968,https://leetcode.com/problems/linked-list-random-node,"Linked List, Math, Reservoir Sampling, Randomized"
EASY,Monotonic Array,43.1,0.6157009958382692,https://leetcode.com/problems/monotonic-array,Array
MEDIUM,Delete Node in a Linked List,43.1,0.8173307165448839,https://leetcode.com/problems/delete-node-in-a-linked-list,Linked List
MEDIUM,Keys and Rooms,43.1,0.7424667703428358,https://leetcode.com/problems/keys-and-rooms,"Depth-First Search, Breadth-First Search, Graph"
MEDIUM,Sort Colors,43.1,0.6636204958851518,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Beautiful Arrangement,43.1,0.6445062035406557,https://leetcode.com/problems/beautiful-arrangement,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
MEDIUM,Sort Characters By Frequency,43.1,0.7365394849683571,https://leetcode.com/problems/sort-characters-by-frequency,"Hash Table, String, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
EASY,Merge Sorted Array,43.1,0.5225683072259871,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Valid Sudoku,43.1,0.6165264377269335,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Min Stack,43.1,0.5591516149558924,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Remove Nth Node From End of List,43.1,0.4810542231663091,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
MEDIUM,Maximum Sum of Distinct Subarrays With Length K,43.1,0.42614454488049275,https://leetcode.com/problems/maximum-sum-of-distinct-subarrays-with-length-k,"Array, Hash Table, Sliding Window"
