Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Last Stone Weight,100.0,0.6579792315865604,https://leetcode.com/problems/last-stone-weight,"Array, Heap (Priority Queue)"
MEDIUM,LRU Cache,87.7,0.4443100242806049,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Minimum Operations to Reduce an Integer to 0,86.2,0.5668778099042334,https://leetcode.com/problems/minimum-operations-to-reduce-an-integer-to-0,"Dynamic Programming, Greedy, Bit Manipulation"
MEDIUM,Group Anagrams,84.6,0.7033699811854448,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
HARD,Special Binary String,84.6,0.633049992796427,https://leetcode.com/problems/special-binary-string,"String, Recursion"
EASY,Two Sum,80.9,0.5507379839524014,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Substring Without Repeating Characters,80.9,0.36326697736793706,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Best Time to Buy and Sell Stock,80.9,0.5476980593511396,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Maximum Number of Visible Points,76.7,0.3747418019527653,https://leetcode.com/problems/maximum-number-of-visible-points,"Array, Math, Geometry, Sliding Window, Sorting"
EASY,Reverse Bits,76.7,0.6216915560375843,https://leetcode.com/problems/reverse-bits,"Divide and Conquer, Bit Manipulation"
MEDIUM,Number of Islands,76.7,0.6158089928119199,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Search in Rotated Sorted Array,74.2,0.4232396026081868,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
EASY,Missing Number,74.2,0.6934723928402792,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
EASY,Valid Parentheses,71.4,0.4184517140756885,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Dot Product of Two Sparse Vectors,71.4,0.8990963458650579,https://leetcode.com/problems/dot-product-of-two-sparse-vectors,"Array, Hash Table, Two Pointers, Design"
MEDIUM,Merge Intervals,68.3,0.4880650144927678,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Task Scheduler II,68.3,0.5364620089390731,https://leetcode.com/problems/task-scheduler-ii,"Array, Hash Table, Simulation"
MEDIUM,Add Two Numbers,68.3,0.4543967564436721,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Copy List with Random Pointer,64.7,0.5950406672934385,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
EASY,Move Zeroes,64.7,0.6254443679238937,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,Fibonacci Number,64.7,0.7253651472515383,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
MEDIUM,Rotate Image,64.7,0.7717077385834604,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
HARD,Merge k Sorted Lists,64.7,0.5579528330363718,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
EASY,Climbing Stairs,64.7,0.5334308111113989,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Maximum Subarray,64.7,0.5173371147673256,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
HARD,Find Median from Data Stream,64.7,0.5297426733978764,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,String to Integer (atoi),60.4,0.18717134082479064,https://leetcode.com/problems/string-to-integer-atoi,String
MEDIUM,Rectangle Area,60.4,0.47197914546811254,https://leetcode.com/problems/rectangle-area,"Math, Geometry"
MEDIUM,Kth Largest Element in an Array,60.4,0.6762041114241103,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Insert Delete GetRandom O(1),60.4,0.5490690532656376,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Find the Duplicate Number,60.4,0.6234291174328758,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
HARD,Trapping Rain Water,60.4,0.6428751630743017,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Intersection of Two Linked Lists,55.2,0.6025967730144908,https://leetcode.com/problems/intersection-of-two-linked-lists,"Hash Table, Linked List, Two Pointers"
