Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Number of Islands,100.0,0.6158088481082719,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,LRU Cache,85.9,0.44431012363701083,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Sliding Window Maximum,85.9,0.4724660010659033,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Binary Tree Right Side View,74.7,0.6563563918832296,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Design Authentication Manager,74.7,0.5812962442633699,https://leetcode.com/problems/design-authentication-manager,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Count Vowel Substrings of a String,74.7,0.6991177568100645,https://leetcode.com/problems/count-vowel-substrings-of-a-string,"Hash Table, String"
HARD,Binary Tree Maximum Path Sum,74.7,0.40904496529876316,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Remove All Adjacent Duplicates in String II,74.7,0.5910194937772792,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,"String, Stack"
MEDIUM,Longest Increasing Subsequence,74.7,0.5717091401226735,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
MEDIUM,Min Stack,74.7,0.5591516149558924,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Palindromic Substrings,74.7,0.7126854175577977,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
EASY,Two Sum,74.7,0.5507379859046995,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Meeting Rooms II,74.7,0.5191555846903048,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
