Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Find Valid Pair of Adjacent Digits in String,100.0,0.6131953428201811,https://leetcode.com/problems/find-valid-pair-of-adjacent-digits-in-string,"Hash Table, String, Counting"
MEDIUM,Number of Islands,88.5,0.6158088481082719,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,Sliding Window Maximum,88.5,0.4724660010659033,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
EASY,Two Sum,84.6,0.5507379859046995,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,LRU Cache,84.6,0.44431012363701083,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Design Authentication Manager,80.0,0.5812962442633699,https://leetcode.com/problems/design-authentication-manager,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Group Anagrams,74.4,0.7033700028669814,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Binary Tree Right Side View,74.4,0.6563563918832296,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,3Sum,74.4,0.3642304958186001,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Longest Increasing Subsequence,74.4,0.5717091401226735,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
MEDIUM,Merge Intervals,67.1,0.48806493100257387,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,67.1,0.3632669023484395,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Remove All Adjacent Duplicates in String II,67.1,0.5910194937772792,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,"String, Stack"
HARD,Binary Tree Maximum Path Sum,67.1,0.40904496529876316,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Palindromic Substrings,67.1,0.7126854175577977,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
EASY,Valid Anagram,67.1,0.6615041910002851,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
EASY,Roman to Integer,67.1,0.6415381791199526,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Count Vowel Substrings of a String,67.1,0.6991177568100645,https://leetcode.com/problems/count-vowel-substrings-of-a-string,"Hash Table, String"
MEDIUM,Coin Change,67.1,0.45813218144780193,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
EASY,Minimum Absolute Difference,67.1,0.7032792719819835,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
HARD,Word Break II,56.9,0.529306108740175,https://leetcode.com/problems/word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
MEDIUM,Top K Frequent Elements,56.9,0.6408013933248895,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,String Compression,56.9,0.5727264946999668,https://leetcode.com/problems/string-compression,"Two Pointers, String"
EASY,Calculate Amount Paid in Taxes,56.9,0.6695508238657737,https://leetcode.com/problems/calculate-amount-paid-in-taxes,"Array, Simulation"
MEDIUM,Min Stack,56.9,0.5591516149558924,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Longest Palindromic Substring,56.9,0.352983545616773,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Valid Parentheses,56.9,0.41845181233182127,https://leetcode.com/problems/valid-parentheses,"String, Stack"
HARD,N-Queens,56.9,0.7166912693579871,https://leetcode.com/problems/n-queens,"Array, Backtracking"
MEDIUM,Maximal Square,56.9,0.48227952054773454,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
EASY,Invert Binary Tree,56.9,0.7859391571344239,https://leetcode.com/problems/invert-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,First Missing Positive,56.9,0.4063430766564612,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
EASY,Design HashMap,56.9,0.6567424129394892,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
MEDIUM,Jump Game,56.9,0.391136318997425,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Maximum Number of Events That Can Be Attended,56.9,0.32741596504043163,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,"Array, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,Meeting Rooms II,56.9,0.5191555846903048,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
