Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Number of Islands,100.0,0.6158088481082719,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Two Sum,97.6,0.5507379859046995,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Group Anagrams,97.6,0.7033700028669814,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Find Valid Pair of Adjacent Digits in String,97.6,0.6131953428201811,https://leetcode.com/problems/find-valid-pair-of-adjacent-digits-in-string,"Hash Table, String, Counting"
MEDIUM,LRU Cache,97.6,0.44431012363701083,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Sliding Window Maximum,85.3,0.4724660010659033,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
EASY,Minimum Absolute Difference,85.3,0.7032792719819835,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
MEDIUM,Merge Intervals,81.1,0.48806493100257387,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,81.1,0.3632669023484395,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Roman to Integer,76.2,0.6415381791199526,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Design Authentication Manager,76.2,0.5812962442633699,https://leetcode.com/problems/design-authentication-manager,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Trapping Rain Water,76.2,0.6428752323916056,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Spiral Matrix,76.2,0.5293292273196886,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Top K Frequent Elements,76.2,0.6408013933248895,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Meeting Rooms II,76.2,0.5191555846903048,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Binary Tree Right Side View,76.2,0.6563563918832296,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,Merge k Sorted Lists,76.2,0.5579528330363718,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
EASY,Reverse Linked List,76.2,0.7865004489015441,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Coin Change,70.1,0.45813218144780193,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Maximum Number of Events That Can Be Attended,70.1,0.32741596504043163,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,"Array, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,3Sum,70.1,0.3642304958186001,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Longest Increasing Subsequence,70.1,0.5717091401226735,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
MEDIUM,Simplify Path,70.1,0.4659590867505188,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Remove All Adjacent Duplicates in String II,70.1,0.5910194937772792,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,"String, Stack"
EASY,Count Vowel Substrings of a String,70.1,0.6991177568100645,https://leetcode.com/problems/count-vowel-substrings-of-a-string,"Hash Table, String"
MEDIUM,Kth Largest Element in an Array,62.4,0.676204125042569,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
EASY,Palindrome Number,62.4,0.5865359513308419,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,"Pow(x, n)",62.4,0.3647741902866651,https://leetcode.com/problems/powx-n,"Math, Recursion"
HARD,Binary Tree Maximum Path Sum,62.4,0.40904512691011946,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Min Stack,62.4,0.5591516149558924,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Maximal Square,62.4,0.48227952054773454,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Lowest Common Ancestor of a Binary Tree,62.4,0.6566966933432192,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
HARD,Median of Two Sorted Arrays,62.4,0.42939363827074994,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,Valid Anagram,62.4,0.6615041910002851,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
EASY,Calculate Amount Paid in Taxes,62.4,0.6695508238657737,https://leetcode.com/problems/calculate-amount-paid-in-taxes,"Array, Simulation"
EASY,Longest Common Prefix,62.4,0.44887913645124494,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
HARD,N-Queens,62.4,0.7166912693579871,https://leetcode.com/problems/n-queens,"Array, Backtracking"
MEDIUM,String Compression,62.4,0.5727264946999668,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Maximum Subarray,62.4,0.5173370618539692,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Palindromic Substrings,62.4,0.7126854175577977,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
MEDIUM,Rotting Oranges,62.4,0.5596874600921532,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Longest Palindromic Substring,62.4,0.352983545616773,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
HARD,Vertical Order Traversal of a Binary Tree,62.4,0.5037496864925847,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
MEDIUM,Jump Game,51.5,0.391136318997425,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Next Permutation,51.5,0.423240509456743,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
EASY,First Unique Character in a String,51.5,0.6322655217965654,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
MEDIUM,Contiguous Array,51.5,0.48931411735148345,https://leetcode.com/problems/contiguous-array,"Array, Hash Table, Prefix Sum"
EASY,Design HashMap,51.5,0.6567424129394892,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
EASY,Invert Binary Tree,51.5,0.7859391571344239,https://leetcode.com/problems/invert-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Letter Tile Possibilities,51.5,0.8362168982220031,https://leetcode.com/problems/letter-tile-possibilities,"Hash Table, String, Backtracking, Counting"
MEDIUM,Longest Substring with At Most K Distinct Characters,51.5,0.49317771778670244,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters,"Hash Table, String, Sliding Window"
MEDIUM,Linked List Cycle II,51.5,0.5400135277360298,https://leetcode.com/problems/linked-list-cycle-ii,"Hash Table, Linked List, Two Pointers"
HARD,Word Break II,51.5,0.529306108740175,https://leetcode.com/problems/word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
MEDIUM,Maximize Greatness of an Array,51.5,0.5873912257079121,https://leetcode.com/problems/maximize-greatness-of-an-array,"Array, Two Pointers, Greedy, Sorting"
EASY,Island Perimeter,51.5,0.7335121364435208,https://leetcode.com/problems/island-perimeter,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,My Calendar I,51.5,0.5836125887892137,https://leetcode.com/problems/my-calendar-i,"Array, Binary Search, Design, Segment Tree, Ordered Set"
MEDIUM,Rotate Array,51.5,0.4246123750602146,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,All Nodes Distance K in Binary Tree,51.5,0.6585736370270115,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Populating Next Right Pointers in Each Node,51.5,0.6484020545884662,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Subarray Sum Equals K,51.5,0.4493130934481267,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
EASY,Valid Palindrome,51.5,0.5015484890275824,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Kill Process,51.5,0.6994483181365413,https://leetcode.com/problems/kill-process,"Array, Hash Table, Tree, Depth-First Search, Breadth-First Search"
EASY,Valid Parentheses,51.5,0.41845181233182127,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Search a 2D Matrix,51.5,0.5177720860586073,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
MEDIUM,Longest Consecutive Sequence,51.5,0.4719066628175957,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
MEDIUM,Search a 2D Matrix II,51.5,0.5444936818816523,https://leetcode.com/problems/search-a-2d-matrix-ii,"Array, Binary Search, Divide and Conquer, Matrix"
MEDIUM,Reorganize String,51.5,0.5578357490628183,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
EASY,Move Zeroes,51.5,0.6254443888495778,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Set Matrix Zeroes,51.5,0.5893209483631097,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
HARD,Minimum One Bit Operations to Make Integers Zero,51.5,0.7356510447408806,https://leetcode.com/problems/minimum-one-bit-operations-to-make-integers-zero,"Dynamic Programming, Bit Manipulation, Memoization"
MEDIUM,Binary Tree Zigzag Level Order Traversal,51.5,0.6100932081428964,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
HARD,First Missing Positive,51.5,0.4063430766564612,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
EASY,Reformat Date,51.5,0.6717332231562555,https://leetcode.com/problems/reformat-date,String
MEDIUM,Fraction to Recurring Decimal,51.5,0.2588380732395776,https://leetcode.com/problems/fraction-to-recurring-decimal,"Hash Table, Math, String"
MEDIUM,Search Suggestions System,51.5,0.650456714791706,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
MEDIUM,Binary Tree Level Order Traversal,51.5,0.6982012546707773,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Integer to Roman,51.5,0.6785814508062822,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
EASY,Linked List Cycle,51.5,0.5197225004708163,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers"
MEDIUM,House Robber,51.5,0.5198829655898356,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
EASY,Degree of an Array,51.5,0.5713919458681063,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
MEDIUM,Restore IP Addresses,51.5,0.5238319309402614,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
MEDIUM,Product of Array Except Self,51.5,0.6738351261546227,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
EASY,Binary Search,51.5,0.591425430416076,https://leetcode.com/problems/binary-search,"Array, Binary Search"
