Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.44431012363701083,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Increasing Subsequence,96.1,0.5717091401226735,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
MEDIUM,Merge Intervals,89.6,0.48806493100257387,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Number of Islands,88.6,0.6158089204601095,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Two Sum,87.7,0.5507379859046995,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Substring Without Repeating Characters,86.6,0.3632669023484395,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Longest Palindromic Substring,84.4,0.352983545616773,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Container With Most Water,76.1,0.5717349533872436,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Meeting Rooms II,74.3,0.5191553183969946,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Add Two Numbers,72.5,0.45439659836741425,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Remove Duplicate Letters,72.5,0.5084022816499225,https://leetcode.com/problems/remove-duplicate-letters,"String, Stack, Greedy, Monotonic Stack"
MEDIUM,Search in Rotated Sorted Array,72.5,0.4232397612918763,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Longest Consecutive Sequence,70.4,0.4719066628175957,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
MEDIUM,Group Anagrams,70.4,0.7033700028669814,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
HARD,Find Median from Data Stream,70.4,0.5297427065626023,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
HARD,Trapping Rain Water,68.2,0.6428752323916056,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
