Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.44431012363701083,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Number of Islands,92.5,0.6158089204601095,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Two Sum,91.2,0.5507380009963408,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Merge Intervals,89.0,0.4880650144927678,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,86.7,0.3632669023484395,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Longest Palindromic Substring,82.2,0.352983545616773,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Group Anagrams,81.2,0.7033700028669814,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Container With Most Water,72.4,0.5717347820726006,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
HARD,Trapping Rain Water,72.4,0.6428752323916056,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Add Two Numbers,70.8,0.45439659836741425,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Spiral Matrix,69.2,0.5293292273196886,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Longest Consecutive Sequence,69.2,0.4719066628175957,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
MEDIUM,Search in Rotated Sorted Array,69.2,0.4232397612918763,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Binary Tree Right Side View,69.2,0.6563563918832296,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,3Sum,67.3,0.3642304958186001,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,Merge k Sorted Lists,67.3,0.5579528330363718,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Jump Game,65.3,0.391136318997425,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,"Pow(x, n)",65.3,0.3647741902866651,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Maximum Subarray,63.2,0.5173370618539692,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Best Time to Buy and Sell Stock,63.2,0.5476981180804024,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Roman to Integer,63.2,0.6415382294669726,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Merge Two Sorted Lists,63.2,0.6628950096443664,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Reverse Linked List,63.2,0.7865004489015441,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Course Schedule II,60.8,0.5263016445803186,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Binary Tree Maximum Path Sum,60.8,0.40904512691011946,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Jump Game II,58.1,0.4113845386485484,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Word Search,58.1,0.4462626302955725,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Binary Tree Zigzag Level Order Traversal,58.1,0.6100932081428964,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
HARD,First Missing Positive,58.1,0.4063430766564612,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Combination Sum,58.1,0.739312724075368,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Gas Station,58.1,0.45978200536017366,https://leetcode.com/problems/gas-station,"Array, Greedy"
