Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Maximal Square,100.0,0.48227954234941156,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
EASY,Minimum Absolute Difference,94.8,0.7032792719819835,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
MEDIUM,Coin Change,94.8,0.4581320080216962,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Number of Islands,88.4,0.615809137515459,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Two Sum,88.4,0.5507380039093085,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Zigzag Conversion,88.4,0.507912374427744,https://leetcode.com/problems/zigzag-conversion,String
MEDIUM,Random Pick with Weight,88.4,0.4820821800014332,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
MEDIUM,LRU Cache,88.4,0.4443100242806049,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Product of Array Except Self,88.4,0.6738349848360352,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Longest Increasing Subsequence,80.2,0.5717085025164522,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
MEDIUM,Loud and Rich,80.2,0.6100672133919514,https://leetcode.com/problems/loud-and-rich,"Array, Depth-First Search, Graph, Topological Sort"
MEDIUM,Minimum Increment to Make Array Unique,80.2,0.6021709757391182,https://leetcode.com/problems/minimum-increment-to-make-array-unique,"Array, Greedy, Sorting, Counting"
EASY,Best Time to Buy and Sell Stock,80.2,0.5476981006566758,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Pairs of Songs With Total Durations Divisible by 60,80.2,0.5315075914228252,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,"Array, Hash Table, Counting"
EASY,Valid Parentheses,68.6,0.4184517497503524,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Group Anagrams,68.6,0.7033699811854448,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Kth Largest Element in an Array,68.6,0.6762042655392038,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
EASY,Degree of an Array,68.6,0.5713919458681063,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
MEDIUM,Longest Substring Without Repeating Characters,68.6,0.3632670149822518,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,First Missing Positive,68.6,0.4063432481245312,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Spiral Matrix,68.6,0.5293293653085535,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Maximum Number of Events That Can Be Attended,68.6,0.32741491607744133,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,"Array, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,Palindromic Substrings,68.6,0.7126854175577977,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
MEDIUM,Flatten Deeply Nested Array,68.6,0.6391762746043576,https://leetcode.com/problems/flatten-deeply-nested-array,
EASY,Last Stone Weight,68.6,0.6579795369701535,https://leetcode.com/problems/last-stone-weight,"Array, Heap (Priority Queue)"
HARD,Find Median from Data Stream,68.6,0.52974237805218,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Find Peak Element,68.6,0.46335552635594035,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,Maximum Subarray,68.6,0.5173371676806704,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Valid Sudoku,68.6,0.6165265631767725,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
