Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Zigzag Conversion,100.0,0.507912374427744,https://leetcode.com/problems/zigzag-conversion,String
MEDIUM,Count Vowel Strings in Ranges,78.7,0.6793653971643827,https://leetcode.com/problems/count-vowel-strings-in-ranges,"Array, String, Prefix Sum"
EASY,Count the Number of Vowel Strings in Range,78.7,0.7449201005840363,https://leetcode.com/problems/count-the-number-of-vowel-strings-in-range,"Array, String, Counting"
HARD,Maximum Frequency Score of a Subarray,76.8,0.3474304068522484,https://leetcode.com/problems/maximum-frequency-score-of-a-subarray,"Array, Hash Table, Math, Stack, Sliding Window"
MEDIUM,Meeting Scheduler,76.8,0.5520802543236836,https://leetcode.com/problems/meeting-scheduler,"Array, Two Pointers, Sorting"
MEDIUM,Maximum Number of Integers to Choose From a Range I,76.8,0.6805568628122086,https://leetcode.com/problems/maximum-number-of-integers-to-choose-from-a-range-i,"Array, Hash Table, Binary Search, Greedy, Sorting"
MEDIUM,Time Needed to Rearrange a Binary String,76.8,0.5150165613605366,https://leetcode.com/problems/time-needed-to-rearrange-a-binary-string,"String, Dynamic Programming, Simulation"
HARD,Minimum Replacements to Sort the Array,76.8,0.5330704139066509,https://leetcode.com/problems/minimum-replacements-to-sort-the-array,"Array, Math, Greedy"
HARD,Count Array Pairs Divisible by K,76.8,0.29673036613167275,https://leetcode.com/problems/count-array-pairs-divisible-by-k,"Array, Math, Number Theory"
MEDIUM,LRU Cache,76.8,0.4443100242806049,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Best Time to Buy and Sell Stock,76.8,0.5476981006566758,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Number of Valid Move Combinations On Chessboard,76.8,0.509837285972562,https://leetcode.com/problems/number-of-valid-move-combinations-on-chessboard,"Array, String, Backtracking, Simulation"
MEDIUM,Smallest Greater Multiple Made of Two Digits,74.6,0.4824803567636441,https://leetcode.com/problems/smallest-greater-multiple-made-of-two-digits,"Math, Enumeration"
MEDIUM,Maximum Sum Obtained of Any Permutation,74.6,0.38940575247330145,https://leetcode.com/problems/maximum-sum-obtained-of-any-permutation,"Array, Greedy, Sorting, Prefix Sum"
HARD,Paint House III,74.6,0.610013429733061,https://leetcode.com/problems/paint-house-iii,"Array, Dynamic Programming"
MEDIUM,Maximum Number of Integers to Choose From a Range II,74.6,0.3567575448316081,https://leetcode.com/problems/maximum-number-of-integers-to-choose-from-a-range-ii,"Array, Binary Search, Greedy, Sorting"
EASY,Two Sum,74.6,0.5507380190009395,https://leetcode.com/problems/two-sum,"Array, Hash Table"
