Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Remove All Adjacent Duplicates In String,100.0,0.7106661551649438,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string,"String, Stack"
EASY,Number of Unequal Triplets in Array,97.6,0.7197923844992156,https://leetcode.com/problems/number-of-unequal-triplets-in-array,"Array, Hash Table, Sorting"
MEDIUM,Minimize Maximum of Array,97.6,0.4641664136046158,https://leetcode.com/problems/minimize-maximum-of-array,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
MEDIUM,Longest Nice Subarray,97.6,0.5234367619073327,https://leetcode.com/problems/longest-nice-subarray,"Array, Bit Manipulation, Sliding Window"
EASY,Find Indices With Index and Value Difference I,97.6,0.608366298000592,https://leetcode.com/problems/find-indices-with-index-and-value-difference-i,"Array, Two Pointers"
MEDIUM,Find Indices With Index and Value Difference II,97.6,0.32012896536081137,https://leetcode.com/problems/find-indices-with-index-and-value-difference-ii,"Array, Two Pointers"
MEDIUM,Min Stack,91.9,0.5591512776680301,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Linked List Cycle II,80.0,0.5400143271405468,https://leetcode.com/problems/linked-list-cycle-ii,"Hash Table, Linked List, Two Pointers"
MEDIUM,Number of Divisible Substrings,80.0,0.7350262213635109,https://leetcode.com/problems/number-of-divisible-substrings,"Hash Table, String, Counting, Prefix Sum"
MEDIUM,Next Permutation,74.3,0.4232409191243779,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
EASY,Valid Parentheses,74.3,0.41845208006648854,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Find the Duplicate Number,67.0,0.6234278735571226,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
MEDIUM,Container With Most Water,67.0,0.571735464756975,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Longest Palindromic Substring,67.0,0.35298411218681,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Find Minimum in Rotated Sorted Array,67.0,0.5215059701533409,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Longest Consecutive Sequence,67.0,0.4719059017598594,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
HARD,Trapping Rain Water,67.0,0.6428748337429268,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,3Sum,67.0,0.36423149147169914,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Two Sum,67.0,0.550738664962529,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Validate Binary Search Tree,56.8,0.3398043882528562,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Second Highest Salary,56.8,0.42976865888973415,https://leetcode.com/problems/second-highest-salary,Database
MEDIUM,Best Time to Buy and Sell Stock II,56.8,0.6885637263991008,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Execute Asynchronous Functions in Parallel,56.8,0.769930667302382,https://leetcode.com/problems/execute-asynchronous-functions-in-parallel,
MEDIUM,String Compression,56.8,0.5727255467145348,https://leetcode.com/problems/string-compression,"Two Pointers, String"
EASY,Palindrome Number,56.8,0.5865356560282144,https://leetcode.com/problems/palindrome-number,Math
EASY,Reverse Linked List,56.8,0.7865008155967065,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Largest Number,56.8,0.40860620343184306,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
MEDIUM,Number of Operations to Make Network Connected,56.8,0.6408071370953178,https://leetcode.com/problems/number-of-operations-to-make-network-connected,"Depth-First Search, Breadth-First Search, Union Find, Graph"
EASY,Unique Number of Occurrences,56.8,0.7803511747344892,https://leetcode.com/problems/unique-number-of-occurrences,"Array, Hash Table"
EASY,Move Zeroes,56.8,0.6254451467226296,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Product of Array Except Self,56.8,0.6738338111955386,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Reverse Words in a String,56.8,0.5006664756087896,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
MEDIUM,Word Search,56.8,0.4462625710704554,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Permutations,56.8,0.8013998284156376,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Sum of Subarray Minimums,56.8,0.3736034108149619,https://leetcode.com/problems/sum-of-subarray-minimums,"Array, Dynamic Programming, Stack, Monotonic Stack"
