Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Count the Number of Arrays with K Matching Adjacent Elements,100.0,0.3761730555113727,https://leetcode.com/problems/count-the-number-of-arrays-with-k-matching-adjacent-elements,"Math, Combinatorics"
MEDIUM,Maximum Amount of Money Robot Can Earn,100.0,0.2977201340567186,https://leetcode.com/problems/maximum-amount-of-money-robot-can-earn,"Array, Dynamic Programming, Matrix"
HARD,Frequencies of Shortest Supersequences,100.0,0.239661348095083,https://leetcode.com/problems/frequencies-of-shortest-supersequences,"Array, String, Bit Manipulation, Graph, Topological Sort, Enumeration"
MEDIUM,Split Array into Consecutive Subsequences,72.9,0.5141023716601621,https://leetcode.com/problems/split-array-into-consecutive-subsequences,"Array, Hash Table, Greedy, Heap (Priority Queue)"
MEDIUM,Most Stones Removed with Same Row or Column,63.8,0.6211556032106801,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column,"Hash Table, Depth-First Search, Union Find, Graph"
MEDIUM,Queue Reconstruction by Height,63.8,0.7400241837968561,https://leetcode.com/problems/queue-reconstruction-by-height,"Array, Binary Indexed Tree, Segment Tree, Sorting"
MEDIUM,Make Lexicographically Smallest Array by Swapping Elements,63.8,0.604568349390175,https://leetcode.com/problems/make-lexicographically-smallest-array-by-swapping-elements,"Array, Union Find, Sorting"
HARD,Sliding Window Maximum,63.8,0.4724672661680572,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Find Duplicate Subtrees,63.8,0.5994563770907163,https://leetcode.com/problems/find-duplicate-subtrees,"Hash Table, Tree, Depth-First Search, Binary Tree"
MEDIUM,Matchsticks to Square,63.8,0.40707573858152407,https://leetcode.com/problems/matchsticks-to-square,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
MEDIUM,Kth Smallest Element in a Sorted Matrix,63.8,0.6323528192734242,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix,"Array, Binary Search, Sorting, Heap (Priority Queue), Matrix"
MEDIUM,Asteroid Collision,63.8,0.4510772345582757,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
