Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Frog Jump,100.0,0.4640178062814826,https://leetcode.com/problems/frog-jump,"Array, Dynamic Programming"
MEDIUM,Decoded String at Index,91.2,0.36579210909735094,https://leetcode.com/problems/decoded-string-at-index,"String, Stack"
HARD,Burst Balloons,89.3,0.6062604022253189,https://leetcode.com/problems/burst-balloons,"Array, Dynamic Programming"
MEDIUM,Remove K Digits,76.9,0.34440602384596486,https://leetcode.com/problems/remove-k-digits,"String, Stack, Greedy, Monotonic Stack"
MEDIUM,Frequency of the Most Frequent Element,73.3,0.4398167613045708,https://leetcode.com/problems/frequency-of-the-most-frequent-element,"Array, Binary Search, Greedy, Sliding Window, Sorting, Prefix Sum"
HARD,Maximum Profit in Job Scheduling,73.3,0.54335067943223,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,House Robber II,69.1,0.43120925185288256,https://leetcode.com/problems/house-robber-ii,"Array, Dynamic Programming"
HARD,Bus Routes,69.1,0.47061101435641456,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
HARD,Trapping Rain Water,69.1,0.6428746431669503,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Best Time to Buy and Sell Stock,69.1,0.5476984156265331,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Most Stones Removed with Same Row or Column,63.9,0.6211556032106801,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column,"Hash Table, Depth-First Search, Union Find, Graph"
HARD,Reachable Nodes In Subdivided Graph,63.9,0.5072270151944372,https://leetcode.com/problems/reachable-nodes-in-subdivided-graph,"Graph, Heap (Priority Queue), Shortest Path"
MEDIUM,Gas Station,63.9,0.45978188247328056,https://leetcode.com/problems/gas-station,"Array, Greedy"
HARD,Split Array Largest Sum,63.9,0.574037287054302,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
MEDIUM,Distribute Coins in Binary Tree,63.9,0.7719464834810218,https://leetcode.com/problems/distribute-coins-in-binary-tree,"Tree, Depth-First Search, Binary Tree"
HARD,Smallest Range Covering Elements from K Lists,63.9,0.6982827529242492,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,"Array, Hash Table, Greedy, Sliding Window, Sorting, Heap (Priority Queue)"
MEDIUM,Koko Eating Bananas,63.9,0.4882394207536966,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,House Robber III,57.3,0.5472186873348618,https://leetcode.com/problems/house-robber-iii,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
HARD,IPO,57.3,0.5300080233718986,https://leetcode.com/problems/ipo,"Array, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,Accounts Merge,57.3,0.5887694847051205,https://leetcode.com/problems/accounts-merge,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting"
HARD,Candy,57.3,0.4438402874070339,https://leetcode.com/problems/candy,"Array, Greedy"
MEDIUM,Number of Islands,57.3,0.6158102940977072,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,57.3,0.5669954538522911,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
MEDIUM,Jump Game II,57.3,0.4113848395686171,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,House Robber,57.3,0.5198828369356351,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Maximum Tastiness of Candy Basket,57.3,0.6545454545454545,https://leetcode.com/problems/maximum-tastiness-of-candy-basket,"Array, Binary Search, Greedy, Sorting"
MEDIUM,Simple Bank System,57.3,0.6338909634055265,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation"
MEDIUM,Smallest String With Swaps,57.3,0.5920895591432669,https://leetcode.com/problems/smallest-string-with-swaps,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting"
MEDIUM,Sort Colors,57.3,0.6636211656327589,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Longest Palindromic Substring,57.3,0.35298387419995314,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Merge Intervals,57.3,0.48806612711046493,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Minimum Cost to Cut a Stick,57.3,0.6178417781097082,https://leetcode.com/problems/minimum-cost-to-cut-a-stick,"Array, Dynamic Programming, Sorting"
MEDIUM,Amount of Time for Binary Tree to Be Infected,57.3,0.6318869294231363,https://leetcode.com/problems/amount-of-time-for-binary-tree-to-be-infected,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,Best Time to Buy and Sell Stock III,57.3,0.5025460934230918,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,"Array, Dynamic Programming"
HARD,Word Ladder,57.3,0.4184673067053698,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,String Compression,48.0,0.5727262724194002,https://leetcode.com/problems/string-compression,"Two Pointers, String"
HARD,Check if Point Is Reachable,48.0,0.43624096385542166,https://leetcode.com/problems/check-if-point-is-reachable,"Math, Number Theory"
HARD,Cracking the Safe,48.0,0.5759507366067403,https://leetcode.com/problems/cracking-the-safe,"Depth-First Search, Graph, Eulerian Circuit"
MEDIUM,Make Lexicographically Smallest Array by Swapping Elements,48.0,0.604568349390175,https://leetcode.com/problems/make-lexicographically-smallest-array-by-swapping-elements,"Array, Union Find, Sorting"
HARD,Number of Islands II,48.0,0.39994130564578967,https://leetcode.com/problems/number-of-islands-ii,"Array, Hash Table, Union Find"
