Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Frog Jump,100.0,0.4640178062814826,https://leetcode.com/problems/frog-jump,"Array, Dynamic Programming"
MEDIUM,Decoded String at Index,92.5,0.36579210909735094,https://leetcode.com/problems/decoded-string-at-index,"String, Stack"
HARD,Burst Balloons,92.5,0.6062604022253189,https://leetcode.com/problems/burst-balloons,"Array, Dynamic Programming"
MEDIUM,Simple Bank System,86.6,0.6338909634055265,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation"
MEDIUM,Smallest String With Swaps,86.6,0.5920895591432669,https://leetcode.com/problems/smallest-string-with-swaps,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting"
MEDIUM,Maximum Tastiness of Candy Basket,86.6,0.6545454545454545,https://leetcode.com/problems/maximum-tastiness-of-candy-basket,"Array, Binary Search, Greedy, Sorting"
HARD,Frequencies of Shortest Supersequences,84.3,0.239661348095083,https://leetcode.com/problems/frequencies-of-shortest-supersequences,"Array, String, Bit Manipulation, Graph, Topological Sort, Enumeration"
HARD,Find Beautiful Indices in the Given Array II,84.3,0.25904018070790025,https://leetcode.com/problems/find-beautiful-indices-in-the-given-array-ii,"Two Pointers, String, Binary Search, Rolling Hash, String Matching, Hash Function"
HARD,Count the Number of Arrays with K Matching Adjacent Elements,84.3,0.3761730555113727,https://leetcode.com/problems/count-the-number-of-arrays-with-k-matching-adjacent-elements,"Math, Combinatorics"
HARD,Viewers Turned Streamers,84.3,0.4342463788900043,https://leetcode.com/problems/viewers-turned-streamers,Database
HARD,Check if Point Is Reachable,84.3,0.43624096385542166,https://leetcode.com/problems/check-if-point-is-reachable,"Math, Number Theory"
HARD,Smallest Range Covering Elements from K Lists,84.3,0.6982827529242492,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,"Array, Hash Table, Greedy, Sliding Window, Sorting, Heap (Priority Queue)"
MEDIUM,Maximum Amount of Money Robot Can Earn,84.3,0.2977201340567186,https://leetcode.com/problems/maximum-amount-of-money-robot-can-earn,"Array, Dynamic Programming, Matrix"
MEDIUM,Remove K Digits,78.8,0.34440602384596486,https://leetcode.com/problems/remove-k-digits,"String, Stack, Greedy, Monotonic Stack"
HARD,Trapping Rain Water,78.8,0.6428746431669503,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Maximum Profit in Job Scheduling,75.5,0.54335067943223,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Most Stones Removed with Same Row or Column,75.5,0.6211556032106801,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column,"Hash Table, Depth-First Search, Union Find, Graph"
HARD,Bus Routes,71.8,0.47061101435641456,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
MEDIUM,Longest Palindromic Substring,71.8,0.35298387419995314,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Frequency of the Most Frequent Element,71.8,0.4398167613045708,https://leetcode.com/problems/frequency-of-the-most-frequent-element,"Array, Binary Search, Greedy, Sliding Window, Sorting, Prefix Sum"
MEDIUM,Queue Reconstruction by Height,67.3,0.7400241837968561,https://leetcode.com/problems/queue-reconstruction-by-height,"Array, Binary Indexed Tree, Segment Tree, Sorting"
MEDIUM,House Robber II,67.3,0.43120925185288256,https://leetcode.com/problems/house-robber-ii,"Array, Dynamic Programming"
HARD,Split Array Largest Sum,67.3,0.574037287054302,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
HARD,Candy,67.3,0.4438402874070339,https://leetcode.com/problems/candy,"Array, Greedy"
EASY,Best Time to Buy and Sell Stock,67.3,0.5476984156265331,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,House Robber,67.3,0.5198828369356351,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Accounts Merge,61.9,0.5887694847051205,https://leetcode.com/problems/accounts-merge,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting"
MEDIUM,Koko Eating Bananas,61.9,0.4882394207536966,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Jump Game II,61.9,0.4113848395686171,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
HARD,Word Ladder,61.9,0.4184673067053698,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
HARD,IPO,61.9,0.5300080233718986,https://leetcode.com/problems/ipo,"Array, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,Gas Station,61.9,0.45978188247328056,https://leetcode.com/problems/gas-station,"Array, Greedy"
MEDIUM,Make Lexicographically Smallest Array by Swapping Elements,61.9,0.604568349390175,https://leetcode.com/problems/make-lexicographically-smallest-array-by-swapping-elements,"Array, Union Find, Sorting"
MEDIUM,Distribute Coins in Binary Tree,61.9,0.7719464834810218,https://leetcode.com/problems/distribute-coins-in-binary-tree,"Tree, Depth-First Search, Binary Tree"
HARD,Reachable Nodes In Subdivided Graph,61.9,0.5072270151944372,https://leetcode.com/problems/reachable-nodes-in-subdivided-graph,"Graph, Heap (Priority Queue), Shortest Path"
MEDIUM,Kth Smallest Element in a Sorted Matrix,61.9,0.6323528192734242,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix,"Array, Binary Search, Sorting, Heap (Priority Queue), Matrix"
MEDIUM,Amount of Time for Binary Tree to Be Infected,61.9,0.6318869294231363,https://leetcode.com/problems/amount-of-time-for-binary-tree-to-be-infected,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Maximal Square,54.9,0.4822803101091829,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Rotting Oranges,54.9,0.5596864451271634,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,54.9,0.5669954538522911,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
MEDIUM,Complete Binary Tree Inserter,54.9,0.662268113790563,https://leetcode.com/problems/complete-binary-tree-inserter,"Tree, Breadth-First Search, Design, Binary Tree"
MEDIUM,Merge Intervals,54.9,0.48806612711046493,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Sort Colors,54.9,0.6636211656327589,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
HARD,Find Minimum Time to Finish All Jobs,54.9,0.4301764348002434,https://leetcode.com/problems/find-minimum-time-to-finish-all-jobs,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
HARD,Swim in Rising Water,54.9,0.622140514215275,https://leetcode.com/problems/swim-in-rising-water,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union Find, Heap (Priority Queue), Matrix"
HARD,Best Time to Buy and Sell Stock III,54.9,0.5025460934230918,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,"Array, Dynamic Programming"
MEDIUM,Number of Islands,54.9,0.6158102940977072,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,House Robber III,54.9,0.5472186873348618,https://leetcode.com/problems/house-robber-iii,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
HARD,Minimum Cost to Cut a Stick,54.9,0.6178417781097082,https://leetcode.com/problems/minimum-cost-to-cut-a-stick,"Array, Dynamic Programming, Sorting"
MEDIUM,Split Array into Consecutive Subsequences,54.9,0.5141023716601621,https://leetcode.com/problems/split-array-into-consecutive-subsequences,"Array, Hash Table, Greedy, Heap (Priority Queue)"
HARD,Sliding Window Maximum,54.9,0.4724672661680572,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Binary Tree Level Order Traversal,45.1,0.6982016460723891,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
HARD,Apply Operations to Maximize Frequency Score,45.1,0.37251614811892897,https://leetcode.com/problems/apply-operations-to-maximize-frequency-score,"Array, Binary Search, Sliding Window, Sorting, Prefix Sum"
MEDIUM,Make Sum Divisible by P,45.1,0.39546124154942447,https://leetcode.com/problems/make-sum-divisible-by-p,"Array, Hash Table, Prefix Sum"
MEDIUM,Matchsticks to Square,45.1,0.40707573858152407,https://leetcode.com/problems/matchsticks-to-square,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
HARD,Partition Array Into Two Arrays to Minimize Sum Difference,45.1,0.213166126175855,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference,"Array, Two Pointers, Binary Search, Dynamic Programming, Bit Manipulation, Ordered Set, Bitmask"
HARD,Binary Tree Cameras,45.1,0.47022319456423417,https://leetcode.com/problems/binary-tree-cameras,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Maximum Total Damage With Spell Casting,45.1,0.2717248908296943,https://leetcode.com/problems/maximum-total-damage-with-spell-casting,"Array, Hash Table, Two Pointers, Binary Search, Dynamic Programming, Sorting, Counting"
MEDIUM,Find the Celebrity,45.1,0.4819091997751583,https://leetcode.com/problems/find-the-celebrity,"Two Pointers, Graph, Interactive"
EASY,Longest Common Prefix,45.1,0.4488794680683252,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Find Duplicate Subtrees,45.1,0.5994563770907163,https://leetcode.com/problems/find-duplicate-subtrees,"Hash Table, Tree, Depth-First Search, Binary Tree"
MEDIUM,Longest Substring Without Repeating Characters,45.1,0.3632672694527904,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Minimum Cost For Tickets,45.1,0.6740565179518804,https://leetcode.com/problems/minimum-cost-for-tickets,"Array, Dynamic Programming"
MEDIUM,LRU Cache,45.1,0.4443108943898094,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Find the Duplicate Number,45.1,0.6234282121021569,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
HARD,Largest Rectangle in Histogram,45.1,0.46599353480065636,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
MEDIUM,Best Time to Buy and Sell Stock II,45.1,0.6885632956395817,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Copy List with Random Pointer,45.1,0.5950412448736729,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
MEDIUM,Magnetic Force Between Two Balls,45.1,0.7113773429238761,https://leetcode.com/problems/magnetic-force-between-two-balls,"Array, Binary Search, Sorting"
MEDIUM,Course Schedule II,45.1,0.5263027840540572,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Daily Temperatures,45.1,0.669688431874366,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
HARD,Cracking the Safe,45.1,0.5759507366067403,https://leetcode.com/problems/cracking-the-safe,"Depth-First Search, Graph, Eulerian Circuit"
HARD,Alien Dictionary,45.1,0.36424425413399997,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Minimum Height Trees,45.1,0.419493452347416,https://leetcode.com/problems/minimum-height-trees,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Minimum Cost Tree From Leaf Values,45.1,0.6766106607378416,https://leetcode.com/problems/minimum-cost-tree-from-leaf-values,"Array, Dynamic Programming, Stack, Greedy, Monotonic Stack"
MEDIUM,Longest Repeating Character Replacement,45.1,0.5641859502421658,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
MEDIUM,String Compression,45.1,0.5727262724194002,https://leetcode.com/problems/string-compression,"Two Pointers, String"
HARD,Number of Islands II,45.1,0.39994130564578967,https://leetcode.com/problems/number-of-islands-ii,"Array, Hash Table, Union Find"
HARD,Decode Ways II,45.1,0.31103070642184083,https://leetcode.com/problems/decode-ways-ii,"String, Dynamic Programming"
MEDIUM,Search in Rotated Sorted Array,45.1,0.4232406210656316,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Find All Possible Recipes from Given Supplies,45.1,0.5066320277489909,https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies,"Array, Hash Table, String, Graph, Topological Sort"
HARD,Sum of Distances in Tree,45.1,0.6529179912996663,https://leetcode.com/problems/sum-of-distances-in-tree,"Dynamic Programming, Tree, Depth-First Search, Graph"
MEDIUM,Walking Robot Simulation,45.1,0.581276902047464,https://leetcode.com/problems/walking-robot-simulation,"Array, Hash Table, Simulation"
MEDIUM,Asteroid Collision,45.1,0.4510772345582757,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
