Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Shortest Path in a Grid with Obstacles Elimination,100.0,0.45473780131290004,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,"Array, Breadth-First Search, Matrix"
HARD,Optimal Account Balancing,100.0,0.4970603718445121,https://leetcode.com/problems/optimal-account-balancing,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
HARD,Count Subarrays With Score Less Than K,97.6,0.5567316324462077,https://leetcode.com/problems/count-subarrays-with-score-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
HARD,Maximum Profit in Job Scheduling,94.8,0.5433508147593182,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Count and Say,91.7,0.5789703915376176,https://leetcode.com/problems/count-and-say,String
HARD,Find Median from Data Stream,83.9,0.529742344887876,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Shortest Way to Form String,78.7,0.6077360369667015,https://leetcode.com/problems/shortest-way-to-form-string,"Two Pointers, String, Binary Search, Greedy"
HARD,Reconstruct Itinerary,78.7,0.4342853599010642,https://leetcode.com/problems/reconstruct-itinerary,"Depth-First Search, Graph, Eulerian Circuit"
HARD,Design Search Autocomplete System,78.7,0.4927223143493807,https://leetcode.com/problems/design-search-autocomplete-system,"String, Depth-First Search, Design, Trie, Sorting, Heap (Priority Queue), Data Stream"
HARD,Expression Add Operators,72.0,0.41073336906004276,https://leetcode.com/problems/expression-add-operators,"Math, String, Backtracking"
EASY,Is Subsequence,62.6,0.482086298014374,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming"
HARD,Meeting Rooms III,62.6,0.4395738124290533,https://leetcode.com/problems/meeting-rooms-iii,"Array, Hash Table, Sorting, Heap (Priority Queue), Simulation"
MEDIUM,Coin Change,62.6,0.45813215578589334,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
HARD,Bus Routes,62.6,0.4706129226502199,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
HARD,Employee Free Time,62.6,0.7250129048185471,https://leetcode.com/problems/employee-free-time,"Array, Sorting, Heap (Priority Queue)"
MEDIUM,Target Sum,62.6,0.5031044003223292,https://leetcode.com/problems/target-sum,"Array, Dynamic Programming, Backtracking"
