Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Count and Say,100.0,0.5789703915376176,https://leetcode.com/problems/count-and-say,String
HARD,Shortest Path in a Grid with Obstacles Elimination,88.9,0.45473780131290004,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,"Array, Breadth-First Search, Matrix"
HARD,Maximum Profit in Job Scheduling,86.1,0.5433508147593182,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
HARD,Count Subarrays With Score Less Than K,83.6,0.5567316324462077,https://leetcode.com/problems/count-subarrays-with-score-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Reorganize String,76.3,0.5578367808394188,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
HARD,Optimal Account Balancing,75.0,0.4970603718445121,https://leetcode.com/problems/optimal-account-balancing,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
MEDIUM,Shortest Way to Form String,73.6,0.6077360369667015,https://leetcode.com/problems/shortest-way-to-form-string,"Two Pointers, String, Binary Search, Greedy"
HARD,Reconstruct Itinerary,72.1,0.4342853599010642,https://leetcode.com/problems/reconstruct-itinerary,"Depth-First Search, Graph, Eulerian Circuit"
HARD,Find Median from Data Stream,72.1,0.529742344887876,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
HARD,Find K-th Smallest Pair Distance,70.4,0.45596769050908703,https://leetcode.com/problems/find-k-th-smallest-pair-distance,"Array, Two Pointers, Binary Search, Sorting"
MEDIUM,Jump Game III,68.6,0.6576501574231048,https://leetcode.com/problems/jump-game-iii,"Array, Depth-First Search, Breadth-First Search"
HARD,Expression Add Operators,68.6,0.41073336906004276,https://leetcode.com/problems/expression-add-operators,"Math, String, Backtracking"
HARD,Unique Paths III,61.8,0.8219475456317562,https://leetcode.com/problems/unique-paths-iii,"Array, Backtracking, Bit Manipulation, Matrix"
MEDIUM,Sparse Matrix Multiplication,61.8,0.6855914370733651,https://leetcode.com/problems/sparse-matrix-multiplication,"Array, Hash Table, Matrix"
HARD,Design Search Autocomplete System,58.9,0.4927223143493807,https://leetcode.com/problems/design-search-autocomplete-system,"String, Depth-First Search, Design, Trie, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,String Compression,58.9,0.5727267954527638,https://leetcode.com/problems/string-compression,"Two Pointers, String"
EASY,Is Subsequence,58.9,0.482086298014374,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming"
MEDIUM,Unique Paths II,58.9,0.42759293119426867,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
MEDIUM,Minimize Result by Adding Parentheses to Expression,51.2,0.682621608373461,https://leetcode.com/problems/minimize-result-by-adding-parentheses-to-expression,"String, Enumeration"
MEDIUM,Is Graph Bipartite?,51.2,0.571947412679897,https://leetcode.com/problems/is-graph-bipartite,"Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,The Number of Weak Characters in the Game,51.2,0.4414600328894335,https://leetcode.com/problems/the-number-of-weak-characters-in-the-game,"Array, Stack, Greedy, Sorting, Monotonic Stack"
MEDIUM,Single Element in a Sorted Array,45.8,0.5915630953839983,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search"
HARD,Meeting Rooms III,45.8,0.4395738124290533,https://leetcode.com/problems/meeting-rooms-iii,"Array, Hash Table, Sorting, Heap (Priority Queue), Simulation"
MEDIUM,Meeting Rooms II,45.8,0.5191550324533768,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Possible Bipartition,45.8,0.5118917103826474,https://leetcode.com/problems/possible-bipartition,"Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,Longest Word in Dictionary,45.8,0.5317106921033505,https://leetcode.com/problems/longest-word-in-dictionary,"Array, Hash Table, String, Trie, Sorting"
MEDIUM,Coin Change,45.8,0.45813215578589334,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
HARD,Employee Free Time,38.1,0.7250129048185471,https://leetcode.com/problems/employee-free-time,"Array, Sorting, Heap (Priority Queue)"
MEDIUM,Top K Frequent Elements,38.1,0.640802247790927,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
HARD,Find Median Given Frequency of Numbers,38.1,0.42488038277511964,https://leetcode.com/problems/find-median-given-frequency-of-numbers,Database
MEDIUM,Multiply Strings,38.1,0.4183023757577601,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
MEDIUM,Number of Islands,38.1,0.6158093545705631,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Letter Combinations of a Phone Number,38.1,0.6308023551472747,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
EASY,Ransom Note,38.1,0.6391447040348359,https://leetcode.com/problems/ransom-note,"Hash Table, String, Counting"
MEDIUM,Merge Intervals,38.1,0.48806527274880024,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Snakes and Ladders,38.1,0.4401399439999851,https://leetcode.com/problems/snakes-and-ladders,"Array, Breadth-First Search, Matrix"
HARD,Shortest Path to Get All Keys,38.1,0.5365046616190124,https://leetcode.com/problems/shortest-path-to-get-all-keys,"Array, Bit Manipulation, Breadth-First Search, Matrix"
HARD,Smallest Range Covering Elements from K Lists,38.1,0.698285078618604,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,"Array, Hash Table, Greedy, Sliding Window, Sorting, Heap (Priority Queue)"
MEDIUM,Implement Trie (Prefix Tree),38.1,0.6744646075005423,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
HARD,Sudoku Solver,38.1,0.636724036210914,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
MEDIUM,The Maze,38.1,0.5912006757117424,https://leetcode.com/problems/the-maze,"Array, Depth-First Search, Breadth-First Search, Matrix"
