Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Clone Graph,100.0,0.6119245281792975,https://leetcode.com/problems/clone-graph,"Hash Table, Depth-First Search, Breadth-First Search, Graph"
MEDIUM,Longest Repeating Character Replacement,100.0,0.5641862860189452,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
MEDIUM,Word Break,100.0,0.478754686224984,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,Sort Colors,100.0,0.6636208817538641,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
HARD,Alien Dictionary,100.0,0.36425028361569983,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Non-negative Integers without Consecutive Ones,100.0,0.40246272890451346,https://leetcode.com/problems/non-negative-integers-without-consecutive-ones,Dynamic Programming
HARD,Basic Calculator III,100.0,0.5191741721756363,https://leetcode.com/problems/basic-calculator-iii,"Math, String, Stack, Recursion"
MEDIUM,Top K Frequent Words,100.0,0.5892399406972233,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
HARD,Shortest Palindrome,100.0,0.4032952650782504,https://leetcode.com/problems/shortest-palindrome,"String, Rolling Hash, String Matching, Hash Function"
MEDIUM,Kth Largest Element in an Array,100.0,0.676207374633936,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Insert Delete GetRandom O(1),100.0,0.5490659816008376,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Find All Duplicates in an Array,100.0,0.762319345894014,https://leetcode.com/problems/find-all-duplicates-in-an-array,"Array, Hash Table"
MEDIUM,Top K Frequent Elements,100.0,0.6408046766973935,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
EASY,Find the Index of the First Occurrence in a String,100.0,0.44463689649216404,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
MEDIUM,Inorder Successor in BST,100.0,0.5048786805975304,https://leetcode.com/problems/inorder-successor-in-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
