Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Reverse Linked List,100.0,0.7865004136819703,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Middle of the Linked List,91.0,0.8011815154246367,https://leetcode.com/problems/middle-of-the-linked-list,"Linked List, Two Pointers"
MEDIUM,LRU Cache,91.0,0.44431037243296573,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Swap Nodes in Pairs,91.0,0.6651432811031728,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion"
EASY,Palindrome Number,78.4,0.5865358826833161,https://leetcode.com/problems/palindrome-number,Math
EASY,Single Number,78.4,0.7533127958693274,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
HARD,Serialize and Deserialize Binary Tree,78.4,0.5835191301589879,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
EASY,Average of Levels in Binary Tree,78.4,0.7381452407247111,https://leetcode.com/problems/average-of-levels-in-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Remove Nth Node From End of List,78.4,0.48105468308212274,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
MEDIUM,String Compression III,78.4,0.6811013448344889,https://leetcode.com/problems/string-compression-iii,String
HARD,Maximum Number of Ones,78.4,0.6850324837581209,https://leetcode.com/problems/maximum-number-of-ones,"Math, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,Design Memory Allocator,78.4,0.5348305788939156,https://leetcode.com/problems/design-memory-allocator,"Array, Hash Table, Design, Simulation"
EASY,Palindrome Linked List,78.4,0.5516248853873876,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion"
EASY,Power of Two,78.4,0.4820304883985657,https://leetcode.com/problems/power-of-two,"Math, Bit Manipulation, Recursion"
EASY,Valid Parentheses,78.4,0.41845176572423154,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Number of 1 Bits,78.4,0.7377330474931214,https://leetcode.com/problems/number-of-1-bits,"Divide and Conquer, Bit Manipulation"
MEDIUM,Rotate Image,78.4,0.7717069940665724,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Longest Substring Without Repeating Characters,78.4,0.36326737179407975,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Find Winner on a Tic Tac Toe Game,78.4,0.5409290484448216,https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game,"Array, Hash Table, Matrix, Simulation"
MEDIUM,Min Stack,78.4,0.5591507865110223,https://leetcode.com/problems/min-stack,"Stack, Design"
EASY,Climbing Stairs,78.4,0.5334308731948875,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Maximum Subarray,78.4,0.5173373188180186,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
HARD,Reverse Nodes in k-Group,78.4,0.6204629349973686,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
EASY,Reverse Bits,78.4,0.62169139740513,https://leetcode.com/problems/reverse-bits,"Divide and Conquer, Bit Manipulation"
