Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,String Compression III,100.0,0.6811013448344889,https://leetcode.com/problems/string-compression-iii,String
HARD,Maximum Number of Ones,97.6,0.6850324837581209,https://leetcode.com/problems/maximum-number-of-ones,"Math, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,LRU Cache,74.7,0.44431037243296573,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Reverse Linked List,74.7,0.7865004136819703,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Reverse Bits,67.5,0.62169139740513,https://leetcode.com/problems/reverse-bits,"Divide and Conquer, Bit Manipulation"
EASY,Palindrome Number,67.5,0.5865359231251294,https://leetcode.com/problems/palindrome-number,Math
EASY,Valid Parentheses,67.5,0.41845176572423154,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Swap Nodes in Pairs,67.5,0.6651432811031728,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion"
EASY,Middle of the Linked List,67.5,0.8011815154246367,https://leetcode.com/problems/middle-of-the-linked-list,"Linked List, Two Pointers"
MEDIUM,Rotate Image,67.5,0.7717069940665724,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
EASY,Climbing Stairs,67.5,0.5334308731948875,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
HARD,Serialize and Deserialize Binary Tree,67.5,0.5835191301589879,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
EASY,Power of Two,67.5,0.4820304883985657,https://leetcode.com/problems/power-of-two,"Math, Bit Manipulation, Recursion"
MEDIUM,Number of Islands,67.5,0.6158098025257719,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Length of Last Word,57.4,0.5544611094840004,https://leetcode.com/problems/length-of-last-word,String
EASY,Remove Duplicates from Sorted Array,57.4,0.5945074430612518,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Longest Substring Without Repeating Characters,57.4,0.36326737179407975,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Implement Queue using Stacks,57.4,0.6773487243241104,https://leetcode.com/problems/implement-queue-using-stacks,"Stack, Design, Queue"
MEDIUM,Best Time to Buy and Sell Stock II,57.4,0.6885636034233434,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Remove Nth Node From End of List,57.4,0.48105468308212274,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
MEDIUM,Design Tic-Tac-Toe,57.4,0.5843353881574888,https://leetcode.com/problems/design-tic-tac-toe,"Array, Hash Table, Design, Matrix, Simulation"
MEDIUM,"Pow(x, n)",57.4,0.36477398088474644,https://leetcode.com/problems/powx-n,"Math, Recursion"
HARD,Trapping Rain Water II,57.4,0.5869661444360983,https://leetcode.com/problems/trapping-rain-water-ii,"Array, Breadth-First Search, Heap (Priority Queue), Matrix"
EASY,Find Winner on a Tic Tac Toe Game,57.4,0.5409290484448216,https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game,"Array, Hash Table, Matrix, Simulation"
MEDIUM,Design Memory Allocator,57.4,0.5348305788939156,https://leetcode.com/problems/design-memory-allocator,"Array, Hash Table, Design, Simulation"
EASY,Average of Levels in Binary Tree,57.4,0.7381452407247111,https://leetcode.com/problems/average-of-levels-in-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Palindrome Linked List,57.4,0.5516248853873876,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion"
EASY,Number of 1 Bits,57.4,0.7377330474931214,https://leetcode.com/problems/number-of-1-bits,"Divide and Conquer, Bit Manipulation"
MEDIUM,Min Stack,57.4,0.5591507865110223,https://leetcode.com/problems/min-stack,"Stack, Design"
EASY,Single Number,57.4,0.7533127958693274,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
MEDIUM,Maximum Subarray,57.4,0.5173373188180186,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
HARD,Reverse Nodes in k-Group,57.4,0.6204629349973686,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
EASY,Two Sum,57.4,0.5507384619870433,https://leetcode.com/problems/two-sum,"Array, Hash Table"
