Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.4443135316926131,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Group Anagrams,88.7,0.7033740767555747,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
HARD,Sliding Window Median,88.7,0.38681008925385396,https://leetcode.com/problems/sliding-window-median,"Array, Hash Table, Sliding Window, Heap (Priority Queue)"
EASY,Product Sales Analysis I,88.7,0.8429242269014706,https://leetcode.com/problems/product-sales-analysis-i,Database
MEDIUM,Linked List Cycle II,88.7,0.5400163429190705,https://leetcode.com/problems/linked-list-cycle-ii,"Hash Table, Linked List, Two Pointers"
MEDIUM,Product of Array Except Self,88.7,0.6738347396650194,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Subarray Sum Equals K,88.7,0.44931362544391634,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Stock Price Fluctuation ,88.7,0.48707546811019126,https://leetcode.com/problems/stock-price-fluctuation,"Hash Table, Design, Heap (Priority Queue), Data Stream, Ordered Set"
MEDIUM,Maximum Subarray,88.7,0.5173398082795865,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,String Compression,88.7,0.5727356539398629,https://leetcode.com/problems/string-compression,"Two Pointers, String"
