Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Number of Orders in the Backlog,100.0,0.5123050948455656,https://leetcode.com/problems/number-of-orders-in-the-backlog,"Array, Heap (Priority Queue), Simulation"
MEDIUM,Restore the Array From Adjacent Pairs,78.6,0.7472472307174044,https://leetcode.com/problems/restore-the-array-from-adjacent-pairs,"Array, Hash Table, Depth-First Search"
EASY,Best Time to Buy and Sell Stock,78.6,0.5476983417277067,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Text Justification,63.9,0.47093350390662947,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Course Schedule II,63.9,0.5263030205005863,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Check if There is a Valid Path in a Grid,63.9,0.4874694558674534,https://leetcode.com/problems/check-if-there-is-a-valid-path-in-a-grid,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Count Good Meals,63.9,0.3112674278340393,https://leetcode.com/problems/count-good-meals,"Array, Hash Table"
MEDIUM,Ways to Split Array Into Three Subarrays,63.9,0.3327234613757975,https://leetcode.com/problems/ways-to-split-array-into-three-subarrays,"Array, Two Pointers, Binary Search, Prefix Sum"
MEDIUM,Capital Gain/Loss,63.9,0.8513530139283703,https://leetcode.com/problems/capital-gainloss,Database
EASY,Count the Number of Consistent Strings,63.9,0.8820937995320836,https://leetcode.com/problems/count-the-number-of-consistent-strings,"Array, Hash Table, String, Bit Manipulation, Counting"
MEDIUM,Brightest Position on Street,63.9,0.6099132787015673,https://leetcode.com/problems/brightest-position-on-street,"Array, Sorting, Prefix Sum, Ordered Set"
