Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Design Browser History,100.0,0.77939540684479,https://leetcode.com/problems/design-browser-history,"Array, Linked List, Stack, Design, Doubly-Linked List, Data Stream"
MEDIUM,Reorganize String,88.7,0.5578367808394188,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Design Hit Counter,76.3,0.690145319433361,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,Minimum Number of Frogs Croaking,74.5,0.5062538297949032,https://leetcode.com/problems/minimum-number-of-frogs-croaking,"String, Counting"
MEDIUM,Merge Intervals,74.5,0.48806527274880024,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Split Message Based on Limit,57.0,0.431437590284094,https://leetcode.com/problems/split-message-based-on-limit,"String, Binary Search, Enumeration"
HARD,Text Justification,57.0,0.47093296579330096,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Rotate Image,51.5,0.7717078200311817,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
HARD,Minimum Falling Path Sum II,51.5,0.6407107539122898,https://leetcode.com/problems/minimum-falling-path-sum-ii,"Array, Dynamic Programming, Matrix"
HARD,Number of Flowers in Full Bloom,51.5,0.5705492453710908,https://leetcode.com/problems/number-of-flowers-in-full-bloom,"Array, Hash Table, Binary Search, Sorting, Prefix Sum, Ordered Set"
EASY,Convert Binary Number in a Linked List to Integer,43.8,0.8121771618215143,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer,"Linked List, Math"
MEDIUM,Group the People Given the Group Size They Belong To,43.8,0.8743443877253029,https://leetcode.com/problems/group-the-people-given-the-group-size-they-belong-to,"Array, Hash Table, Greedy"
MEDIUM,Subdomain Visit Count,43.8,0.7674168269819203,https://leetcode.com/problems/subdomain-visit-count,"Array, Hash Table, String, Counting"
MEDIUM,Count Number of Nice Subarrays,43.8,0.723598610347279,https://leetcode.com/problems/count-number-of-nice-subarrays,"Array, Hash Table, Math, Sliding Window, Prefix Sum"
MEDIUM,Number of Trusted Contacts of a Customer,43.8,0.7512712726286527,https://leetcode.com/problems/number-of-trusted-contacts-of-a-customer,Database
MEDIUM,Maximum Number of Occurrences of a Substring,43.8,0.5295137784000509,https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring,"Hash Table, String, Sliding Window"
MEDIUM,Magnetic Force Between Two Balls,43.8,0.7113762249680442,https://leetcode.com/problems/magnetic-force-between-two-balls,"Array, Binary Search, Sorting"
EASY,Students and Examinations,43.8,0.6025328755161932,https://leetcode.com/problems/students-and-examinations,Database
MEDIUM,Accounts Merge,43.8,0.5887664923091477,https://leetcode.com/problems/accounts-merge,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting"
MEDIUM,Task Scheduler,43.8,0.610292664115186,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
EASY,Two Sum,43.8,0.5507382161525058,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Valid Parentheses,43.8,0.41845167888058926,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Minimum Absolute Difference Between Elements With Constraint,43.8,0.34800377982518316,https://leetcode.com/problems/minimum-absolute-difference-between-elements-with-constraint,"Array, Binary Search, Ordered Set"
HARD,Word Search II,43.8,0.37015804817868336,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
MEDIUM,Unique Paths,43.8,0.6540331070410512,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
EASY,Best Time to Buy and Sell Stock,43.8,0.5476981484202564,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Remove Colored Pieces if Both Neighbors are the Same Color,43.8,0.6287870255659421,https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color,"Math, String, Greedy, Game Theory"
MEDIUM,Word Search,43.8,0.4462619296062389,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
HARD,First Missing Positive,43.8,0.40634301339349543,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
HARD,Integer to English Words,43.8,0.3425973688509723,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
