Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Design Browser History,100.0,0.77939540684479,https://leetcode.com/problems/design-browser-history,"Array, Linked List, Stack, Design, Doubly-Linked List, Data Stream"
MEDIUM,Reorganize String,96.5,0.5578367808394188,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Design Hit Counter,84.8,0.690145319433361,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,Task Scheduler,83.6,0.610292664115186,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Maximize Distance to Closest Person,83.6,0.4870415197084244,https://leetcode.com/problems/maximize-distance-to-closest-person,Array
MEDIUM,Merge Intervals,78.1,0.4880653562388295,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Text Justification,76.5,0.47093296579330096,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
EASY,Students and Examinations,72.8,0.6025328755161932,https://leetcode.com/problems/students-and-examinations,Database
MEDIUM,Subdomain Visit Count,72.8,0.7674168269819203,https://leetcode.com/problems/subdomain-visit-count,"Array, Hash Table, String, Counting"
MEDIUM,Maximum Number of Occurrences of a Substring,72.8,0.5295137784000509,https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring,"Hash Table, String, Sliding Window"
MEDIUM,Number of Trusted Contacts of a Customer,72.8,0.7512712726286527,https://leetcode.com/problems/number-of-trusted-contacts-of-a-customer,Database
MEDIUM,Minimum Number of Frogs Croaking,72.8,0.5062538297949032,https://leetcode.com/problems/minimum-number-of-frogs-croaking,"String, Counting"
MEDIUM,Count Number of Nice Subarrays,72.8,0.723598610347279,https://leetcode.com/problems/count-number-of-nice-subarrays,"Array, Hash Table, Math, Sliding Window, Prefix Sum"
MEDIUM,Magnetic Force Between Two Balls,72.8,0.7113762249680442,https://leetcode.com/problems/magnetic-force-between-two-balls,"Array, Binary Search, Sorting"
EASY,Convert Binary Number in a Linked List to Integer,72.8,0.8121771618215143,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer,"Linked List, Math"
MEDIUM,Group the People Given the Group Size They Belong To,72.8,0.8743443877253029,https://leetcode.com/problems/group-the-people-given-the-group-size-they-belong-to,"Array, Hash Table, Greedy"
HARD,Integer to English Words,70.6,0.3425973688509723,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
EASY,Valid Parentheses,65.5,0.4184515873514677,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Rotate Image,62.3,0.7717078200311817,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
HARD,Number of Flowers in Full Bloom,58.6,0.5705492453710908,https://leetcode.com/problems/number-of-flowers-in-full-bloom,"Array, Hash Table, Binary Search, Sorting, Prefix Sum, Ordered Set"
MEDIUM,Spiral Matrix,54.1,0.5293294861000031,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
HARD,Split Message Based on Limit,54.1,0.431437590284094,https://leetcode.com/problems/split-message-based-on-limit,"String, Binary Search, Enumeration"
MEDIUM,Implement Trie (Prefix Tree),54.1,0.6744646075005423,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
HARD,Block Placement Queries,54.1,0.1609268707482993,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree"
EASY,Longest Common Prefix,48.3,0.448879069966426,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
HARD,Subarrays with K Different Integers,48.3,0.6508083495467054,https://leetcode.com/problems/subarrays-with-k-different-integers,"Array, Hash Table, Sliding Window, Counting"
HARD,Minimum Falling Path Sum II,48.3,0.6407107539122898,https://leetcode.com/problems/minimum-falling-path-sum-ii,"Array, Dynamic Programming, Matrix"
HARD,Largest Rectangle in Histogram,48.3,0.46599567068000325,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
MEDIUM,Find the Length of the Longest Common Prefix,48.3,0.5629081231022979,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,"Array, Hash Table, String, Trie"
HARD,First Missing Positive,48.3,0.40634301339349543,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Brightest Position on Street,40.1,0.6099132787015673,https://leetcode.com/problems/brightest-position-on-street,"Array, Sorting, Prefix Sum, Ordered Set"
MEDIUM,Longest Substring Without Repeating Characters,40.1,0.36326736654377373,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Image Smoother,40.1,0.6814680032699313,https://leetcode.com/problems/image-smoother,"Array, Matrix"
MEDIUM,Longest Consecutive Sequence,40.1,0.4719070568054811,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
MEDIUM,Jump Game II,40.1,0.4113851677888862,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Diagonal Traverse,40.1,0.6245947610298795,https://leetcode.com/problems/diagonal-traverse,"Array, Matrix, Simulation"
MEDIUM,Spiral Matrix II,40.1,0.7294074516081444,https://leetcode.com/problems/spiral-matrix-ii,"Array, Matrix, Simulation"
MEDIUM,Minimum Absolute Difference Between Elements With Constraint,40.1,0.34800377982518316,https://leetcode.com/problems/minimum-absolute-difference-between-elements-with-constraint,"Array, Binary Search, Ordered Set"
MEDIUM,Rotting Oranges,40.1,0.5596871680478486,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
HARD,Employee Free Time,40.1,0.7250129048185471,https://leetcode.com/problems/employee-free-time,"Array, Sorting, Heap (Priority Queue)"
EASY,Two Sum,40.1,0.5507382161525058,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Best Time to Buy and Sell Stock,40.1,0.5476981484202564,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Word Search II,40.1,0.37015804817868336,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
MEDIUM,Accounts Merge,40.1,0.5887664923091477,https://leetcode.com/problems/accounts-merge,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting"
MEDIUM,Remove Colored Pieces if Both Neighbors are the Same Color,40.1,0.6287870255659421,https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color,"Math, String, Greedy, Game Theory"
MEDIUM,Word Search,40.1,0.4462619296062389,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Unique Paths,40.1,0.6540331070410512,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Number of Adjacent Elements With the Same Color,40.1,0.5417296548248929,https://leetcode.com/problems/number-of-adjacent-elements-with-the-same-color,Array
