Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Maximum Points After Enemy Battles,100.0,0.32395282539006587,https://leetcode.com/problems/maximum-points-after-enemy-battles,"Array, Greedy"
MEDIUM,Find Longest Special Substring That Occurs Thrice II,62.8,0.3882929337656587,https://leetcode.com/problems/find-longest-special-substring-that-occurs-thrice-ii,"Hash Table, String, Binary Search, Sliding Window, Counting"
MEDIUM,LRU Cache,61.1,0.444310620958368,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Web Crawler Multithreaded,54.6,0.49623430352824643,https://leetcode.com/problems/web-crawler-multithreaded,"Depth-First Search, Breadth-First Search, Concurrency"
HARD,Stamping the Grid,51.6,0.32717993700410664,https://leetcode.com/problems/stamping-the-grid,"Array, Greedy, Matrix, Prefix Sum"
HARD,Scramble String,48.0,0.41672448567970954,https://leetcode.com/problems/scramble-string,"String, Dynamic Programming"
MEDIUM,Insert Delete GetRandom O(1),48.0,0.5490687367275053,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Design Add and Search Words Data Structure,48.0,0.4669621057497265,https://leetcode.com/problems/design-add-and-search-words-data-structure,"String, Depth-First Search, Design, Trie"
MEDIUM,Edit Distance,48.0,0.5819004009146251,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
MEDIUM,Count Lattice Points Inside a Circle,43.4,0.5460360799609947,https://leetcode.com/problems/count-lattice-points-inside-a-circle,"Array, Hash Table, Math, Geometry, Enumeration"
MEDIUM,Random Pick with Weight,43.4,0.48208390617839436,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
EASY,Distribute Candies Among Children I,36.9,0.7481450126985707,https://leetcode.com/problems/distribute-candies-among-children-i,"Math, Combinatorics, Enumeration"
HARD,Cherry Pickup II,36.9,0.7187069313414197,https://leetcode.com/problems/cherry-pickup-ii,"Array, Dynamic Programming, Matrix"
MEDIUM,Task Scheduler,36.9,0.610292664115186,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
HARD,Alien Dictionary,36.9,0.3642445643656779,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Find the Sum of Subsequence Powers,36.9,0.24524396688391759,https://leetcode.com/problems/find-the-sum-of-subsequence-powers,"Array, Dynamic Programming, Sorting"
EASY,Existence of a Substring in a String and Its Reverse,36.9,0.6631996770721206,https://leetcode.com/problems/existence-of-a-substring-in-a-string-and-its-reverse,"Hash Table, String"
MEDIUM,Next Permutation,36.9,0.4232406617933256,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Candy Crush,36.9,0.7715995982857541,https://leetcode.com/problems/candy-crush,"Array, Two Pointers, Matrix, Simulation"
HARD,Distribute Candies Among Children III,36.9,0.43586550435865506,https://leetcode.com/problems/distribute-candies-among-children-iii,"Math, Combinatorics"
MEDIUM,Distribute Candies Among Children II,36.9,0.3548321100682812,https://leetcode.com/problems/distribute-candies-among-children-ii,"Math, Combinatorics, Enumeration"
MEDIUM,Design Bounded Blocking Queue,36.9,0.728126159080154,https://leetcode.com/problems/design-bounded-blocking-queue,Concurrency
HARD,Design a Text Editor,36.9,0.4735937768474984,https://leetcode.com/problems/design-a-text-editor,"Linked List, String, Stack, Design, Simulation, Doubly-Linked List"
HARD,Minimum Number of Refueling Stops,36.9,0.4040695614250279,https://leetcode.com/problems/minimum-number-of-refueling-stops,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)"
HARD,Sliding Window Maximum,36.9,0.4724674456414386,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Alice and Bob Playing Flower Game,36.9,0.48135401335899464,https://leetcode.com/problems/alice-and-bob-playing-flower-game,Math
