Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Maximum Points After Enemy Battles,100.0,0.32395282539006587,https://leetcode.com/problems/maximum-points-after-enemy-battles,"Array, Greedy"
HARD,Stamping the Grid,68.2,0.32717993700410664,https://leetcode.com/problems/stamping-the-grid,"Array, Greedy, Matrix, Prefix Sum"
MEDIUM,Random Pick with Weight,62.9,0.48208390617839436,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
MEDIUM,Count Lattice Points Inside a Circle,62.9,0.5460360799609947,https://leetcode.com/problems/count-lattice-points-inside-a-circle,"Array, Hash Table, Math, Geometry, Enumeration"
MEDIUM,Candy Crush,62.9,0.7715995982857541,https://leetcode.com/problems/candy-crush,"Array, Two Pointers, Matrix, Simulation"
MEDIUM,Alice and Bob Playing Flower Game,62.9,0.48135401335899464,https://leetcode.com/problems/alice-and-bob-playing-flower-game,Math
HARD,Find the Sum of Subsequence Powers,61.4,0.24524396688391759,https://leetcode.com/problems/find-the-sum-of-subsequence-powers,"Array, Dynamic Programming, Sorting"
EASY,Existence of a Substring in a String and Its Reverse,61.4,0.6631996770721206,https://leetcode.com/problems/existence-of-a-substring-in-a-string-and-its-reverse,"Hash Table, String"
MEDIUM,Find Longest Special Substring That Occurs Thrice II,61.4,0.3882929337656587,https://leetcode.com/problems/find-longest-special-substring-that-occurs-thrice-ii,"Hash Table, String, Binary Search, Sliding Window, Counting"
HARD,Maximize Subarray Sum After Removing All Occurrences of One Element,61.4,0.19437862570471443,https://leetcode.com/problems/maximize-subarray-sum-after-removing-all-occurrences-of-one-element,"Array, Dynamic Programming, Segment Tree"
HARD,Distribute Candies Among Children III,61.4,0.43586550435865506,https://leetcode.com/problems/distribute-candies-among-children-iii,"Math, Combinatorics"
MEDIUM,Distribute Candies Among Children II,61.4,0.3548321100682812,https://leetcode.com/problems/distribute-candies-among-children-ii,"Math, Combinatorics, Enumeration"
EASY,Distribute Candies Among Children I,61.4,0.7481450126985707,https://leetcode.com/problems/distribute-candies-among-children-i,"Math, Combinatorics, Enumeration"
HARD,Manhattan Distances of All Arrangements of Pieces,61.4,0.3549897922421039,https://leetcode.com/problems/manhattan-distances-of-all-arrangements-of-pieces,"Math, Combinatorics"
MEDIUM,LRU Cache,59.6,0.444310620958368,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Insert Delete GetRandom O(1),52.8,0.5490687367275053,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Web Crawler Multithreaded,52.8,0.49623430352824643,https://leetcode.com/problems/web-crawler-multithreaded,"Depth-First Search, Breadth-First Search, Concurrency"
HARD,Scramble String,49.7,0.41672448567970954,https://leetcode.com/problems/scramble-string,"String, Dynamic Programming"
MEDIUM,Design Add and Search Words Data Structure,46.0,0.4669621057497265,https://leetcode.com/problems/design-add-and-search-words-data-structure,"String, Depth-First Search, Design, Trie"
MEDIUM,Edit Distance,46.0,0.5819004009146251,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
MEDIUM,4Sum,41.2,0.37601591873213214,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
MEDIUM,Next Permutation,41.2,0.4232406617933256,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
HARD,Sliding Window Maximum,41.2,0.4724674456414386,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Task Scheduler,41.2,0.610292664115186,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
HARD,Minimum Number of Refueling Stops,34.5,0.4040695614250279,https://leetcode.com/problems/minimum-number-of-refueling-stops,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)"
HARD,Design a Text Editor,34.5,0.4735937768474984,https://leetcode.com/problems/design-a-text-editor,"Linked List, String, Stack, Design, Simulation, Doubly-Linked List"
HARD,Alien Dictionary,34.5,0.3642445643656779,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Cherry Pickup II,34.5,0.7187069313414197,https://leetcode.com/problems/cherry-pickup-ii,"Array, Dynamic Programming, Matrix"
HARD,Remove Invalid Parentheses,34.5,0.4891971726975419,https://leetcode.com/problems/remove-invalid-parentheses,"String, Backtracking, Breadth-First Search"
MEDIUM,Design Bounded Blocking Queue,34.5,0.728126159080154,https://leetcode.com/problems/design-bounded-blocking-queue,Concurrency
HARD,Prefix and Suffix Search,34.5,0.4122858592611087,https://leetcode.com/problems/prefix-and-suffix-search,"Array, Hash Table, String, Design, Trie"
